result/tencentBlock.ns20496.oracleGeneral.zst LRU cache size      242, 1978895 req, miss ratio 0.5768, byte miss ratio 0.5768
result/tencentBlock.ns20496.oracleGeneral.zst LRU cache size      727, 1978895 req, miss ratio 0.5224, byte miss ratio 0.5224
result/tencentBlock.ns20496.oracleGeneral.zst LRU cache size     2425, 1978895 req, miss ratio 0.4828, byte miss ratio 0.4828
result/tencentBlock.ns20496.oracleGeneral.zst LRU cache size     7275, 1978895 req, miss ratio 0.4397, byte miss ratio 0.4397
result/tencentBlock.ns20496.oracleGeneral.zst LRU cache size    24252, 1978895 req, miss ratio 0.3655, byte miss ratio 0.3655
result/tencentBlock.ns20496.oracleGeneral.zst LRU cache size    48505, 1978895 req, miss ratio 0.3204, byte miss ratio 0.3204
result/tencentBlock.ns20496.oracleGeneral.zst LRU cache size    97010, 1978895 req, miss ratio 0.1910, byte miss ratio 0.1910
result/tencentBlock.ns20496.oracleGeneral.zst LRU cache size   194020, 1978895 req, miss ratio 0.1231, byte miss ratio 0.1231
result/tencentBlock.ns20496.oracleGeneral.zst Clock cache size      242, 1978895 req, miss ratio 0.5671, byte miss ratio 0.5671
result/tencentBlock.ns20496.oracleGeneral.zst Clock cache size      727, 1978895 req, miss ratio 0.5210, byte miss ratio 0.5210
result/tencentBlock.ns20496.oracleGeneral.zst Clock cache size     2425, 1978895 req, miss ratio 0.4793, byte miss ratio 0.4793
result/tencentBlock.ns20496.oracleGeneral.zst Clock cache size     7275, 1978895 req, miss ratio 0.4350, byte miss ratio 0.4350
result/tencentBlock.ns20496.oracleGeneral.zst Clock cache size    24252, 1978895 req, miss ratio 0.3647, byte miss ratio 0.3647
result/tencentBlock.ns20496.oracleGeneral.zst Clock cache size    48505, 1978895 req, miss ratio 0.3135, byte miss ratio 0.3135
result/tencentBlock.ns20496.oracleGeneral.zst Clock cache size    97010, 1978895 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns20496.oracleGeneral.zst Clock cache size   194020, 1978895 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns20496.oracleGeneral.zst LHD cache size      242, 1978895 req, miss ratio 0.5509, byte miss ratio 0.5509
result/tencentBlock.ns20496.oracleGeneral.zst LHD cache size      727, 1978895 req, miss ratio 0.5201, byte miss ratio 0.5201
result/tencentBlock.ns20496.oracleGeneral.zst LHD cache size     2425, 1978895 req, miss ratio 0.4726, byte miss ratio 0.4726
result/tencentBlock.ns20496.oracleGeneral.zst LHD cache size     7275, 1978895 req, miss ratio 0.4279, byte miss ratio 0.4279
result/tencentBlock.ns20496.oracleGeneral.zst LHD cache size    24252, 1978895 req, miss ratio 0.3542, byte miss ratio 0.3542
result/tencentBlock.ns20496.oracleGeneral.zst LHD cache size    48505, 1978895 req, miss ratio 0.2918, byte miss ratio 0.2918
result/tencentBlock.ns20496.oracleGeneral.zst LHD cache size    97010, 1978895 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns20496.oracleGeneral.zst LHD cache size   194020, 1978895 req, miss ratio 0.1252, byte miss ratio 0.1252
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-1 cache size      242, 1978895 req, miss ratio 0.5461, byte miss ratio 0.5461
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-1 cache size      727, 1978895 req, miss ratio 0.5046, byte miss ratio 0.5046
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-1 cache size     2425, 1978895 req, miss ratio 0.4300, byte miss ratio 0.4300
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-1 cache size     7275, 1978895 req, miss ratio 0.4119, byte miss ratio 0.4119
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-1 cache size    24252, 1978895 req, miss ratio 0.3179, byte miss ratio 0.3179
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-1 cache size    48505, 1978895 req, miss ratio 0.2602, byte miss ratio 0.2602
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-1 cache size    97010, 1978895 req, miss ratio 0.1729, byte miss ratio 0.1729
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-1 cache size   194020, 1978895 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns20496.oracleGeneral.zst clock2 cache size      242, 1978895 req, miss ratio 0.5585, byte miss ratio 0.5585
result/tencentBlock.ns20496.oracleGeneral.zst clock2 cache size      727, 1978895 req, miss ratio 0.5199, byte miss ratio 0.5199
result/tencentBlock.ns20496.oracleGeneral.zst clock2 cache size     2425, 1978895 req, miss ratio 0.4756, byte miss ratio 0.4756
result/tencentBlock.ns20496.oracleGeneral.zst clock2 cache size     7275, 1978895 req, miss ratio 0.4279, byte miss ratio 0.4279
result/tencentBlock.ns20496.oracleGeneral.zst clock2 cache size    24252, 1978895 req, miss ratio 0.3652, byte miss ratio 0.3652
result/tencentBlock.ns20496.oracleGeneral.zst clock2 cache size    48505, 1978895 req, miss ratio 0.3047, byte miss ratio 0.3047
result/tencentBlock.ns20496.oracleGeneral.zst clock2 cache size    97010, 1978895 req, miss ratio 0.1904, byte miss ratio 0.1904
result/tencentBlock.ns20496.oracleGeneral.zst clock2 cache size   194020, 1978895 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns20496.oracleGeneral.zst LeCaR cache size      242, 1978895 req, miss ratio 0.5563, byte miss ratio 0.5563
result/tencentBlock.ns20496.oracleGeneral.zst LeCaR cache size      727, 1978895 req, miss ratio 0.5211, byte miss ratio 0.5211
result/tencentBlock.ns20496.oracleGeneral.zst LeCaR cache size     2425, 1978895 req, miss ratio 0.4779, byte miss ratio 0.4779
result/tencentBlock.ns20496.oracleGeneral.zst LeCaR cache size     7275, 1978895 req, miss ratio 0.4286, byte miss ratio 0.4286
result/tencentBlock.ns20496.oracleGeneral.zst LeCaR cache size    24252, 1978895 req, miss ratio 0.3605, byte miss ratio 0.3605
result/tencentBlock.ns20496.oracleGeneral.zst LeCaR cache size    48505, 1978895 req, miss ratio 0.3000, byte miss ratio 0.3000
result/tencentBlock.ns20496.oracleGeneral.zst LeCaR cache size    97010, 1978895 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns20496.oracleGeneral.zst LeCaR cache size   194020, 1978895 req, miss ratio 0.1231, byte miss ratio 0.1231
result/tencentBlock.ns20496.oracleGeneral.zst Cacheus cache size      242, 1978895 req, miss ratio 0.5407, byte miss ratio 0.5407
result/tencentBlock.ns20496.oracleGeneral.zst Cacheus cache size      727, 1978895 req, miss ratio 0.5106, byte miss ratio 0.5106
result/tencentBlock.ns20496.oracleGeneral.zst Cacheus cache size     2425, 1978895 req, miss ratio 0.4490, byte miss ratio 0.4490
result/tencentBlock.ns20496.oracleGeneral.zst Cacheus cache size     7275, 1978895 req, miss ratio 0.4115, byte miss ratio 0.4115
result/tencentBlock.ns20496.oracleGeneral.zst Cacheus cache size    24252, 1978895 req, miss ratio 0.3420, byte miss ratio 0.3420
result/tencentBlock.ns20496.oracleGeneral.zst Cacheus cache size    48505, 1978895 req, miss ratio 0.2986, byte miss ratio 0.2986
result/tencentBlock.ns20496.oracleGeneral.zst Cacheus cache size    97010, 1978895 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns20496.oracleGeneral.zst Cacheus cache size   194020, 1978895 req, miss ratio 0.1233, byte miss ratio 0.1233
result/tencentBlock.ns20496.oracleGeneral.zst FIFO cache size      242, 1978895 req, miss ratio 0.6793, byte miss ratio 0.6793
result/tencentBlock.ns20496.oracleGeneral.zst FIFO cache size      727, 1978895 req, miss ratio 0.5692, byte miss ratio 0.5692
result/tencentBlock.ns20496.oracleGeneral.zst FIFO cache size     2425, 1978895 req, miss ratio 0.5041, byte miss ratio 0.5041
result/tencentBlock.ns20496.oracleGeneral.zst FIFO cache size     7275, 1978895 req, miss ratio 0.4608, byte miss ratio 0.4608
result/tencentBlock.ns20496.oracleGeneral.zst FIFO cache size    24252, 1978895 req, miss ratio 0.3870, byte miss ratio 0.3870
result/tencentBlock.ns20496.oracleGeneral.zst FIFO cache size    48505, 1978895 req, miss ratio 0.3418, byte miss ratio 0.3418
result/tencentBlock.ns20496.oracleGeneral.zst FIFO cache size    97010, 1978895 req, miss ratio 0.2161, byte miss ratio 0.2161
result/tencentBlock.ns20496.oracleGeneral.zst FIFO cache size   194020, 1978895 req, miss ratio 0.1322, byte miss ratio 0.1322
result/tencentBlock.ns20496.oracleGeneral.zst ARC cache size      242, 1978895 req, miss ratio 0.5382, byte miss ratio 0.5382
result/tencentBlock.ns20496.oracleGeneral.zst ARC cache size      727, 1978895 req, miss ratio 0.5083, byte miss ratio 0.5083
result/tencentBlock.ns20496.oracleGeneral.zst ARC cache size     2425, 1978895 req, miss ratio 0.4361, byte miss ratio 0.4361
result/tencentBlock.ns20496.oracleGeneral.zst ARC cache size     7275, 1978895 req, miss ratio 0.4171, byte miss ratio 0.4171
result/tencentBlock.ns20496.oracleGeneral.zst ARC cache size    24252, 1978895 req, miss ratio 0.3212, byte miss ratio 0.3212
result/tencentBlock.ns20496.oracleGeneral.zst ARC cache size    48505, 1978895 req, miss ratio 0.2708, byte miss ratio 0.2708
result/tencentBlock.ns20496.oracleGeneral.zst ARC cache size    97010, 1978895 req, miss ratio 0.1865, byte miss ratio 0.1865
result/tencentBlock.ns20496.oracleGeneral.zst ARC cache size   194020, 1978895 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size      242, 1978895 req, miss ratio 0.5629, byte miss ratio 0.5629
result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size      727, 1978895 req, miss ratio 0.5256, byte miss ratio 0.5256
result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size     2425, 1978895 req, miss ratio 0.4427, byte miss ratio 0.4427
result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size     7275, 1978895 req, miss ratio 0.4148, byte miss ratio 0.4148
result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size    24252, 1978895 req, miss ratio 0.3186, byte miss ratio 0.3186
result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size    48505, 1978895 req, miss ratio 0.2576, byte miss ratio 0.2576
result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size    97010, 1978895 req, miss ratio 0.1673, byte miss ratio 0.1673
result/tencentBlock.ns20496.oracleGeneral.zst LIRS cache size   194020, 1978895 req, miss ratio 0.1242, byte miss ratio 0.1242
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size      242, 1978895 req, miss ratio 0.5389, byte miss ratio 0.5389
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size      727, 1978895 req, miss ratio 0.5046, byte miss ratio 0.5046
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size     2425, 1978895 req, miss ratio 0.4299, byte miss ratio 0.4299
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size     7275, 1978895 req, miss ratio 0.4119, byte miss ratio 0.4119
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size    24252, 1978895 req, miss ratio 0.3169, byte miss ratio 0.3169
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size    48505, 1978895 req, miss ratio 0.2564, byte miss ratio 0.2564
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size    97010, 1978895 req, miss ratio 0.1732, byte miss ratio 0.1732
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d-1 cache size   194020, 1978895 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size      242, 1978895 req, miss ratio 0.5624, byte miss ratio 0.5624
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size      727, 1978895 req, miss ratio 0.5067, byte miss ratio 0.5067
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size     2425, 1978895 req, miss ratio 0.4437, byte miss ratio 0.4437
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size     7275, 1978895 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns20496.oracleGeneral.zst LRB cache size    24252, 1978895 req, miss ratio 0.3161, byte miss ratio 0.3161
