result/tencentBlock.ns20699.oracleGeneral.zst ARC cache size     3418, 26074680 req, miss ratio 0.4954, byte miss ratio 0.4954
result/tencentBlock.ns20699.oracleGeneral.zst ARC cache size    10256, 26074680 req, miss ratio 0.3990, byte miss ratio 0.3990
result/tencentBlock.ns20699.oracleGeneral.zst ARC cache size    34189, 26074680 req, miss ratio 0.3411, byte miss ratio 0.3411
result/tencentBlock.ns20699.oracleGeneral.zst ARC cache size   102567, 26074680 req, miss ratio 0.3238, byte miss ratio 0.3238
result/tencentBlock.ns20699.oracleGeneral.zst ARC cache size   341892, 26074680 req, miss ratio 0.2946, byte miss ratio 0.2946
result/tencentBlock.ns20699.oracleGeneral.zst ARC cache size   683784, 26074680 req, miss ratio 0.2420, byte miss ratio 0.2420
result/tencentBlock.ns20699.oracleGeneral.zst ARC cache size  1367569, 26074680 req, miss ratio 0.1817, byte miss ratio 0.1817
result/tencentBlock.ns20699.oracleGeneral.zst ARC cache size  2735138, 26074680 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns20699.oracleGeneral.zst Cacheus cache size     3418, 26074680 req, miss ratio 0.5027, byte miss ratio 0.5027
result/tencentBlock.ns20699.oracleGeneral.zst Cacheus cache size    10256, 26074680 req, miss ratio 0.4009, byte miss ratio 0.4009
result/tencentBlock.ns20699.oracleGeneral.zst Cacheus cache size    34189, 26074680 req, miss ratio 0.3411, byte miss ratio 0.3411
result/tencentBlock.ns20699.oracleGeneral.zst Cacheus cache size   102567, 26074680 req, miss ratio 0.3232, byte miss ratio 0.3232
result/tencentBlock.ns20699.oracleGeneral.zst Cacheus cache size   341892, 26074680 req, miss ratio 0.2963, byte miss ratio 0.2963
result/tencentBlock.ns20699.oracleGeneral.zst Cacheus cache size   683784, 26074680 req, miss ratio 0.2647, byte miss ratio 0.2647
result/tencentBlock.ns20699.oracleGeneral.zst Cacheus cache size  1367569, 26074680 req, miss ratio 0.1801, byte miss ratio 0.1801
result/tencentBlock.ns20699.oracleGeneral.zst Cacheus cache size  2735138, 26074680 req, miss ratio 0.1349, byte miss ratio 0.1349
result/tencentBlock.ns20699.oracleGeneral.zst LIRS cache size     3418, 26074680 req, miss ratio 0.5137, byte miss ratio 0.5137
