result/tencentBlock.ns21436.oracleGeneral.zst LIRS cache size      174, 1112579 req, miss ratio 0.5501, byte miss ratio 0.5501
result/tencentBlock.ns21436.oracleGeneral.zst LIRS cache size      522, 1112579 req, miss ratio 0.5175, byte miss ratio 0.5175
result/tencentBlock.ns21436.oracleGeneral.zst LIRS cache size     1741, 1112579 req, miss ratio 0.4846, byte miss ratio 0.4846
result/tencentBlock.ns21436.oracleGeneral.zst LIRS cache size     5224, 1112579 req, miss ratio 0.4787, byte miss ratio 0.4787
result/tencentBlock.ns21436.oracleGeneral.zst LIRS cache size    17415, 1112579 req, miss ratio 0.4324, byte miss ratio 0.4324
result/tencentBlock.ns21436.oracleGeneral.zst LIRS cache size    34831, 1112579 req, miss ratio 0.3514, byte miss ratio 0.3514
result/tencentBlock.ns21436.oracleGeneral.zst LIRS cache size    69662, 1112579 req, miss ratio 0.2281, byte miss ratio 0.2281
result/tencentBlock.ns21436.oracleGeneral.zst LIRS cache size   139324, 1112579 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-1 cache size      174, 1112579 req, miss ratio 0.4899, byte miss ratio 0.4899
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-1 cache size      522, 1112579 req, miss ratio 0.4827, byte miss ratio 0.4827
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-1 cache size     1741, 1112579 req, miss ratio 0.4813, byte miss ratio 0.4813
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-1 cache size     5224, 1112579 req, miss ratio 0.4806, byte miss ratio 0.4806
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-1 cache size    17415, 1112579 req, miss ratio 0.4349, byte miss ratio 0.4349
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-1 cache size    34831, 1112579 req, miss ratio 0.3941, byte miss ratio 0.3941
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-1 cache size    69662, 1112579 req, miss ratio 0.2384, byte miss ratio 0.2384
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-1 cache size   139324, 1112579 req, miss ratio 0.1584, byte miss ratio 0.1584
result/tencentBlock.ns21436.oracleGeneral.zst Clock cache size      174, 1112579 req, miss ratio 0.4984, byte miss ratio 0.4984
result/tencentBlock.ns21436.oracleGeneral.zst Clock cache size      522, 1112579 req, miss ratio 0.4854, byte miss ratio 0.4854
result/tencentBlock.ns21436.oracleGeneral.zst Clock cache size     1741, 1112579 req, miss ratio 0.4824, byte miss ratio 0.4824
result/tencentBlock.ns21436.oracleGeneral.zst Clock cache size     5224, 1112579 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns21436.oracleGeneral.zst Clock cache size    17415, 1112579 req, miss ratio 0.4782, byte miss ratio 0.4782
result/tencentBlock.ns21436.oracleGeneral.zst Clock cache size    34831, 1112579 req, miss ratio 0.4203, byte miss ratio 0.4203
result/tencentBlock.ns21436.oracleGeneral.zst Clock cache size    69662, 1112579 req, miss ratio 0.2529, byte miss ratio 0.2529
result/tencentBlock.ns21436.oracleGeneral.zst Clock cache size   139324, 1112579 req, miss ratio 0.1589, byte miss ratio 0.1589
result/tencentBlock.ns21436.oracleGeneral.zst LRU cache size      174, 1112579 req, miss ratio 0.5004, byte miss ratio 0.5004
result/tencentBlock.ns21436.oracleGeneral.zst LRU cache size      522, 1112579 req, miss ratio 0.4853, byte miss ratio 0.4853
result/tencentBlock.ns21436.oracleGeneral.zst LRU cache size     1741, 1112579 req, miss ratio 0.4825, byte miss ratio 0.4825
result/tencentBlock.ns21436.oracleGeneral.zst LRU cache size     5224, 1112579 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns21436.oracleGeneral.zst LRU cache size    17415, 1112579 req, miss ratio 0.4584, byte miss ratio 0.4584
result/tencentBlock.ns21436.oracleGeneral.zst LRU cache size    34831, 1112579 req, miss ratio 0.3996, byte miss ratio 0.3996
result/tencentBlock.ns21436.oracleGeneral.zst LRU cache size    69662, 1112579 req, miss ratio 0.2428, byte miss ratio 0.2428
result/tencentBlock.ns21436.oracleGeneral.zst LRU cache size   139324, 1112579 req, miss ratio 0.1572, byte miss ratio 0.1572
result/tencentBlock.ns21436.oracleGeneral.zst ARC cache size      174, 1112579 req, miss ratio 0.4880, byte miss ratio 0.4880
result/tencentBlock.ns21436.oracleGeneral.zst ARC cache size      522, 1112579 req, miss ratio 0.4832, byte miss ratio 0.4832
result/tencentBlock.ns21436.oracleGeneral.zst ARC cache size     1741, 1112579 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns21436.oracleGeneral.zst ARC cache size     5224, 1112579 req, miss ratio 0.4809, byte miss ratio 0.4809
result/tencentBlock.ns21436.oracleGeneral.zst ARC cache size    17415, 1112579 req, miss ratio 0.4440, byte miss ratio 0.4440
result/tencentBlock.ns21436.oracleGeneral.zst ARC cache size    34831, 1112579 req, miss ratio 0.3846, byte miss ratio 0.3846
result/tencentBlock.ns21436.oracleGeneral.zst ARC cache size    69662, 1112579 req, miss ratio 0.2439, byte miss ratio 0.2439
result/tencentBlock.ns21436.oracleGeneral.zst ARC cache size   139324, 1112579 req, miss ratio 0.1575, byte miss ratio 0.1575
result/tencentBlock.ns21436.oracleGeneral.zst LHD cache size      174, 1112579 req, miss ratio 0.4949, byte miss ratio 0.4949
result/tencentBlock.ns21436.oracleGeneral.zst LHD cache size      522, 1112579 req, miss ratio 0.4849, byte miss ratio 0.4849
result/tencentBlock.ns21436.oracleGeneral.zst LHD cache size     1741, 1112579 req, miss ratio 0.4821, byte miss ratio 0.4821
result/tencentBlock.ns21436.oracleGeneral.zst LHD cache size     5224, 1112579 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns21436.oracleGeneral.zst LHD cache size    17415, 1112579 req, miss ratio 0.4594, byte miss ratio 0.4594
result/tencentBlock.ns21436.oracleGeneral.zst LHD cache size    34831, 1112579 req, miss ratio 0.4092, byte miss ratio 0.4092
result/tencentBlock.ns21436.oracleGeneral.zst LHD cache size    69662, 1112579 req, miss ratio 0.2518, byte miss ratio 0.2518
result/tencentBlock.ns21436.oracleGeneral.zst LHD cache size   139324, 1112579 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size      174, 1112579 req, miss ratio 0.5799, byte miss ratio 0.5799
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size      522, 1112579 req, miss ratio 0.5160, byte miss ratio 0.5160
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size     1741, 1112579 req, miss ratio 0.4925, byte miss ratio 0.4925
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size     5224, 1112579 req, miss ratio 0.4848, byte miss ratio 0.4848
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size    17415, 1112579 req, miss ratio 0.4445, byte miss ratio 0.4445
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size    34831, 1112579 req, miss ratio 0.4180, byte miss ratio 0.4180
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size    69662, 1112579 req, miss ratio 0.2743, byte miss ratio 0.2743
