result/tencentBlock.ns3801.oracleGeneral.zst LeCaR cache size     1585, 23854768 req, miss ratio 0.6332, byte miss ratio 0.6332
result/tencentBlock.ns3801.oracleGeneral.zst LeCaR cache size     4756, 23854768 req, miss ratio 0.5746, byte miss ratio 0.5746
result/tencentBlock.ns3801.oracleGeneral.zst LeCaR cache size    15855, 23854768 req, miss ratio 0.5148, byte miss ratio 0.5148
result/tencentBlock.ns3801.oracleGeneral.zst LeCaR cache size    47566, 23854768 req, miss ratio 0.4129, byte miss ratio 0.4129
result/tencentBlock.ns3801.oracleGeneral.zst LeCaR cache size   158555, 23854768 req, miss ratio 0.2386, byte miss ratio 0.2386
result/tencentBlock.ns3801.oracleGeneral.zst LeCaR cache size   317111, 23854768 req, miss ratio 0.1712, byte miss ratio 0.1712
result/tencentBlock.ns3801.oracleGeneral.zst LeCaR cache size   634222, 23854768 req, miss ratio 0.1008, byte miss ratio 0.1008
result/tencentBlock.ns3801.oracleGeneral.zst LeCaR cache size  1268444, 23854768 req, miss ratio 0.0688, byte miss ratio 0.0688
result/tencentBlock.ns3801.oracleGeneral.zst LRU cache size     1585, 23854768 req, miss ratio 0.6359, byte miss ratio 0.6359
result/tencentBlock.ns3801.oracleGeneral.zst LRU cache size     4756, 23854768 req, miss ratio 0.5774, byte miss ratio 0.5774
result/tencentBlock.ns3801.oracleGeneral.zst LRU cache size    15855, 23854768 req, miss ratio 0.5175, byte miss ratio 0.5175
result/tencentBlock.ns3801.oracleGeneral.zst LRU cache size    47566, 23854768 req, miss ratio 0.4176, byte miss ratio 0.4176
result/tencentBlock.ns3801.oracleGeneral.zst LRU cache size   158555, 23854768 req, miss ratio 0.2409, byte miss ratio 0.2409
result/tencentBlock.ns3801.oracleGeneral.zst LRU cache size   317111, 23854768 req, miss ratio 0.1749, byte miss ratio 0.1749
result/tencentBlock.ns3801.oracleGeneral.zst LRU cache size   634222, 23854768 req, miss ratio 0.0974, byte miss ratio 0.0974
result/tencentBlock.ns3801.oracleGeneral.zst LRU cache size  1268444, 23854768 req, miss ratio 0.0686, byte miss ratio 0.0686
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-1 cache size     1585, 23854768 req, miss ratio 0.6275, byte miss ratio 0.6275
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-1 cache size     4756, 23854768 req, miss ratio 0.5650, byte miss ratio 0.5650
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-1 cache size    15855, 23854768 req, miss ratio 0.4911, byte miss ratio 0.4911
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-1 cache size    47566, 23854768 req, miss ratio 0.3801, byte miss ratio 0.3801
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-1 cache size   158555, 23854768 req, miss ratio 0.2371, byte miss ratio 0.2371
