result/tencentBlock.ns3944.oracleGeneral.zst LRU cache size     8970, 25965545 req, miss ratio 0.9229, byte miss ratio 0.9229
result/tencentBlock.ns3944.oracleGeneral.zst LRU cache size    26911, 25965545 req, miss ratio 0.9090, byte miss ratio 0.9090
result/tencentBlock.ns3944.oracleGeneral.zst LRU cache size    89703, 25965545 req, miss ratio 0.8889, byte miss ratio 0.8889
result/tencentBlock.ns3944.oracleGeneral.zst LRU cache size   269111, 25965545 req, miss ratio 0.8505, byte miss ratio 0.8505
result/tencentBlock.ns3944.oracleGeneral.zst LRU cache size   897038, 25965545 req, miss ratio 0.7925, byte miss ratio 0.7925
result/tencentBlock.ns3944.oracleGeneral.zst LRU cache size  1794076, 25965545 req, miss ratio 0.7184, byte miss ratio 0.7184
result/tencentBlock.ns3944.oracleGeneral.zst LRU cache size  3588152, 25965545 req, miss ratio 0.5210, byte miss ratio 0.5210
result/tencentBlock.ns3944.oracleGeneral.zst LRU cache size  7176305, 25965545 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns3944.oracleGeneral.zst LeCaR cache size     8970, 25965545 req, miss ratio 0.9217, byte miss ratio 0.9217
result/tencentBlock.ns3944.oracleGeneral.zst LeCaR cache size    26911, 25965545 req, miss ratio 0.9080, byte miss ratio 0.9080
result/tencentBlock.ns3944.oracleGeneral.zst LeCaR cache size    89703, 25965545 req, miss ratio 0.8882, byte miss ratio 0.8882
result/tencentBlock.ns3944.oracleGeneral.zst LeCaR cache size   269111, 25965545 req, miss ratio 0.8483, byte miss ratio 0.8483
result/tencentBlock.ns3944.oracleGeneral.zst LeCaR cache size   897038, 25965545 req, miss ratio 0.7923, byte miss ratio 0.7923
result/tencentBlock.ns3944.oracleGeneral.zst LeCaR cache size  1794076, 25965545 req, miss ratio 0.6941, byte miss ratio 0.6941
result/tencentBlock.ns3944.oracleGeneral.zst LeCaR cache size  3588152, 25965545 req, miss ratio 0.4928, byte miss ratio 0.4928
result/tencentBlock.ns3944.oracleGeneral.zst LeCaR cache size  7176305, 25965545 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns3944.oracleGeneral.zst LIRS cache size     8970, 25965545 req, miss ratio 0.9026, byte miss ratio 0.9026
result/tencentBlock.ns3944.oracleGeneral.zst LIRS cache size    26911, 25965545 req, miss ratio 0.8770, byte miss ratio 0.8770
result/tencentBlock.ns3944.oracleGeneral.zst LIRS cache size    89703, 25965545 req, miss ratio 0.8439, byte miss ratio 0.8439
result/tencentBlock.ns3944.oracleGeneral.zst LIRS cache size   269111, 25965545 req, miss ratio 0.7774, byte miss ratio 0.7774
result/tencentBlock.ns3944.oracleGeneral.zst LIRS cache size   897038, 25965545 req, miss ratio 0.6581, byte miss ratio 0.6581
result/tencentBlock.ns3944.oracleGeneral.zst LIRS cache size  1794076, 25965545 req, miss ratio 0.5051, byte miss ratio 0.5051
result/tencentBlock.ns3944.oracleGeneral.zst LIRS cache size  3588152, 25965545 req, miss ratio 0.4271, byte miss ratio 0.4271
result/tencentBlock.ns3944.oracleGeneral.zst LIRS cache size  7176305, 25965545 req, miss ratio 0.3475, byte miss ratio 0.3475
result/tencentBlock.ns3944.oracleGeneral.zst Clock cache size     8970, 25965545 req, miss ratio 0.9216, byte miss ratio 0.9216
result/tencentBlock.ns3944.oracleGeneral.zst Clock cache size    26911, 25965545 req, miss ratio 0.9076, byte miss ratio 0.9076
result/tencentBlock.ns3944.oracleGeneral.zst Clock cache size    89703, 25965545 req, miss ratio 0.8856, byte miss ratio 0.8856
result/tencentBlock.ns3944.oracleGeneral.zst Clock cache size   269111, 25965545 req, miss ratio 0.8422, byte miss ratio 0.8422
result/tencentBlock.ns3944.oracleGeneral.zst Clock cache size   897038, 25965545 req, miss ratio 0.7917, byte miss ratio 0.7917
result/tencentBlock.ns3944.oracleGeneral.zst Clock cache size  1794076, 25965545 req, miss ratio 0.7044, byte miss ratio 0.7044
result/tencentBlock.ns3944.oracleGeneral.zst Clock cache size  3588152, 25965545 req, miss ratio 0.4930, byte miss ratio 0.4930
result/tencentBlock.ns3944.oracleGeneral.zst Clock cache size  7176305, 25965545 req, miss ratio 0.4706, byte miss ratio 0.4706
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-1 cache size     8970, 25965545 req, miss ratio 0.9023, byte miss ratio 0.9023
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-1 cache size    26911, 25965545 req, miss ratio 0.8693, byte miss ratio 0.8693
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-1 cache size    89703, 25965545 req, miss ratio 0.8441, byte miss ratio 0.8441
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-1 cache size   269111, 25965545 req, miss ratio 0.7961, byte miss ratio 0.7961
