result/tencentBlock.ns4116.oracleGeneral.zst FIFO cache size     2224, 45020916 req, miss ratio 0.7683, byte miss ratio 0.7683
result/tencentBlock.ns4116.oracleGeneral.zst FIFO cache size     6673, 45020916 req, miss ratio 0.6594, byte miss ratio 0.6594
result/tencentBlock.ns4116.oracleGeneral.zst FIFO cache size    22243, 45020916 req, miss ratio 0.5467, byte miss ratio 0.5467
result/tencentBlock.ns4116.oracleGeneral.zst FIFO cache size    66731, 45020916 req, miss ratio 0.4243, byte miss ratio 0.4243
result/tencentBlock.ns4116.oracleGeneral.zst FIFO cache size   222437, 45020916 req, miss ratio 0.2487, byte miss ratio 0.2487
result/tencentBlock.ns4116.oracleGeneral.zst FIFO cache size   444875, 45020916 req, miss ratio 0.1587, byte miss ratio 0.1587
result/tencentBlock.ns4116.oracleGeneral.zst FIFO cache size   889750, 45020916 req, miss ratio 0.0900, byte miss ratio 0.0900
result/tencentBlock.ns4116.oracleGeneral.zst FIFO cache size  1779501, 45020916 req, miss ratio 0.0583, byte miss ratio 0.0583
result/tencentBlock.ns4116.oracleGeneral.zst LRU cache size     2224, 45020916 req, miss ratio 0.7534, byte miss ratio 0.7534
result/tencentBlock.ns4116.oracleGeneral.zst LRU cache size     6673, 45020916 req, miss ratio 0.6397, byte miss ratio 0.6397
result/tencentBlock.ns4116.oracleGeneral.zst LRU cache size    22243, 45020916 req, miss ratio 0.5226, byte miss ratio 0.5226
result/tencentBlock.ns4116.oracleGeneral.zst LRU cache size    66731, 45020916 req, miss ratio 0.3968, byte miss ratio 0.3968
result/tencentBlock.ns4116.oracleGeneral.zst LRU cache size   222437, 45020916 req, miss ratio 0.2113, byte miss ratio 0.2113
result/tencentBlock.ns4116.oracleGeneral.zst LRU cache size   444875, 45020916 req, miss ratio 0.1250, byte miss ratio 0.1250
result/tencentBlock.ns4116.oracleGeneral.zst LRU cache size   889750, 45020916 req, miss ratio 0.0666, byte miss ratio 0.0666
result/tencentBlock.ns4116.oracleGeneral.zst LRU cache size  1779501, 45020916 req, miss ratio 0.0502, byte miss ratio 0.0502
result/tencentBlock.ns4116.oracleGeneral.zst ARC cache size     2224, 45020916 req, miss ratio 0.7460, byte miss ratio 0.7460
result/tencentBlock.ns4116.oracleGeneral.zst ARC cache size     6673, 45020916 req, miss ratio 0.6346, byte miss ratio 0.6346
result/tencentBlock.ns4116.oracleGeneral.zst ARC cache size    22243, 45020916 req, miss ratio 0.5190, byte miss ratio 0.5190
result/tencentBlock.ns4116.oracleGeneral.zst ARC cache size    66731, 45020916 req, miss ratio 0.3957, byte miss ratio 0.3957
result/tencentBlock.ns4116.oracleGeneral.zst ARC cache size   222437, 45020916 req, miss ratio 0.2227, byte miss ratio 0.2227
result/tencentBlock.ns4116.oracleGeneral.zst ARC cache size   444875, 45020916 req, miss ratio 0.1287, byte miss ratio 0.1287
result/tencentBlock.ns4116.oracleGeneral.zst ARC cache size   889750, 45020916 req, miss ratio 0.0673, byte miss ratio 0.0673
result/tencentBlock.ns4116.oracleGeneral.zst ARC cache size  1779501, 45020916 req, miss ratio 0.0506, byte miss ratio 0.0506
result/tencentBlock.ns4116.oracleGeneral.zst LIRS cache size     2224, 45020916 req, miss ratio 0.7631, byte miss ratio 0.7631
result/tencentBlock.ns4116.oracleGeneral.zst LIRS cache size     6673, 45020916 req, miss ratio 0.6784, byte miss ratio 0.6784
result/tencentBlock.ns4116.oracleGeneral.zst LIRS cache size    22243, 45020916 req, miss ratio 0.5608, byte miss ratio 0.5608
result/tencentBlock.ns4116.oracleGeneral.zst LIRS cache size    66731, 45020916 req, miss ratio 0.4186, byte miss ratio 0.4186
result/tencentBlock.ns4116.oracleGeneral.zst LIRS cache size   222437, 45020916 req, miss ratio 0.2255, byte miss ratio 0.2255
result/tencentBlock.ns4116.oracleGeneral.zst LIRS cache size   444875, 45020916 req, miss ratio 0.1347, byte miss ratio 0.1347
result/tencentBlock.ns4116.oracleGeneral.zst LIRS cache size   889750, 45020916 req, miss ratio 0.0700, byte miss ratio 0.0700
result/tencentBlock.ns4116.oracleGeneral.zst LIRS cache size  1779501, 45020916 req, miss ratio 0.0507, byte miss ratio 0.0507
result/tencentBlock.ns4116.oracleGeneral.zst Cacheus cache size     2224, 45020916 req, miss ratio 0.7464, byte miss ratio 0.7464
result/tencentBlock.ns4116.oracleGeneral.zst Cacheus cache size     6673, 45020916 req, miss ratio 0.6312, byte miss ratio 0.6312
result/tencentBlock.ns4116.oracleGeneral.zst Cacheus cache size    22243, 45020916 req, miss ratio 0.5097, byte miss ratio 0.5097
result/tencentBlock.ns4116.oracleGeneral.zst Cacheus cache size    66731, 45020916 req, miss ratio 0.3880, byte miss ratio 0.3880
result/tencentBlock.ns4116.oracleGeneral.zst Cacheus cache size   222437, 45020916 req, miss ratio 0.2083, byte miss ratio 0.2083
result/tencentBlock.ns4116.oracleGeneral.zst Cacheus cache size   444875, 45020916 req, miss ratio 0.1241, byte miss ratio 0.1241
result/tencentBlock.ns4116.oracleGeneral.zst Cacheus cache size   889750, 45020916 req, miss ratio 0.0691, byte miss ratio 0.0691
result/tencentBlock.ns4116.oracleGeneral.zst Cacheus cache size  1779501, 45020916 req, miss ratio 0.0503, byte miss ratio 0.0503
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size     2224, 45020916 req, miss ratio 0.7515, byte miss ratio 0.7515
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size     6673, 45020916 req, miss ratio 0.6485, byte miss ratio 0.6485
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size    22243, 45020916 req, miss ratio 0.5119, byte miss ratio 0.5119
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size    66731, 45020916 req, miss ratio 0.3816, byte miss ratio 0.3816
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size   222437, 45020916 req, miss ratio 0.2024, byte miss ratio 0.2024
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size   444875, 45020916 req, miss ratio 0.1165, byte miss ratio 0.1165
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size   889750, 45020916 req, miss ratio 0.0670, byte miss ratio 0.0670
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-1 cache size  1779501, 45020916 req, miss ratio 0.0513, byte miss ratio 0.0513
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size     2224, 45020916 req, miss ratio 0.7527, byte miss ratio 0.7527
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size     6673, 45020916 req, miss ratio 0.6408, byte miss ratio 0.6408
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size    22243, 45020916 req, miss ratio 0.5224, byte miss ratio 0.5224
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size    66731, 45020916 req, miss ratio 0.4019, byte miss ratio 0.4019
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size   222437, 45020916 req, miss ratio 0.2180, byte miss ratio 0.2180
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size   444875, 45020916 req, miss ratio 0.1304, byte miss ratio 0.1304
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size   889750, 45020916 req, miss ratio 0.0698, byte miss ratio 0.0698
result/tencentBlock.ns4116.oracleGeneral.zst Clock cache size  1779501, 45020916 req, miss ratio 0.0512, byte miss ratio 0.0512
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size     2224, 45020916 req, miss ratio 0.7508, byte miss ratio 0.7508
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size     6673, 45020916 req, miss ratio 0.6378, byte miss ratio 0.6378
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size    22243, 45020916 req, miss ratio 0.5184, byte miss ratio 0.5184
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size    66731, 45020916 req, miss ratio 0.3947, byte miss ratio 0.3947
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size   222437, 45020916 req, miss ratio 0.2104, byte miss ratio 0.2104
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size   444875, 45020916 req, miss ratio 0.1269, byte miss ratio 0.1269
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size   889750, 45020916 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns4116.oracleGeneral.zst LeCaR cache size  1779501, 45020916 req, miss ratio 0.0503, byte miss ratio 0.0503
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size     2224, 45020916 req, miss ratio 0.7495, byte miss ratio 0.7495
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size     6673, 45020916 req, miss ratio 0.6383, byte miss ratio 0.6383
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size    22243, 45020916 req, miss ratio 0.5146, byte miss ratio 0.5146
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size    66731, 45020916 req, miss ratio 0.3946, byte miss ratio 0.3946
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size   222437, 45020916 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size   444875, 45020916 req, miss ratio 0.1211, byte miss ratio 0.1211
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size   889750, 45020916 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns4116.oracleGeneral.zst clock2 cache size  1779501, 45020916 req, miss ratio 0.0506, byte miss ratio 0.0506
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size     2224, 45020916 req, miss ratio 0.7452, byte miss ratio 0.7452
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size     6673, 45020916 req, miss ratio 0.6278, byte miss ratio 0.6278
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size    22243, 45020916 req, miss ratio 0.4999, byte miss ratio 0.4999
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size    66731, 45020916 req, miss ratio 0.3727, byte miss ratio 0.3727
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size   222437, 45020916 req, miss ratio 0.1959, byte miss ratio 0.1959
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size   444875, 45020916 req, miss ratio 0.1136, byte miss ratio 0.1136
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size   889750, 45020916 req, miss ratio 0.0700, byte miss ratio 0.0700
result/tencentBlock.ns4116.oracleGeneral.zst LHD cache size  1779501, 45020916 req, miss ratio 0.0514, byte miss ratio 0.0514
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size     2224, 45020916 req, miss ratio 0.7459, byte miss ratio 0.7459
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size     6673, 45020916 req, miss ratio 0.6333, byte miss ratio 0.6333
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size    22243, 45020916 req, miss ratio 0.5053, byte miss ratio 0.5053
result/tencentBlock.ns4116.oracleGeneral.zst S3FIFO-d-1 cache size    66731, 45020916 req, miss ratio 0.3928, byte miss ratio 0.3928
