result/tencentBlock.ns6229.oracleGeneral.zst LHD cache size       94, 1846135 req, miss ratio 0.4960, byte miss ratio 0.4960
result/tencentBlock.ns6229.oracleGeneral.zst LHD cache size      282, 1846135 req, miss ratio 0.3429, byte miss ratio 0.3429
result/tencentBlock.ns6229.oracleGeneral.zst LHD cache size      942, 1846135 req, miss ratio 0.2598, byte miss ratio 0.2598
result/tencentBlock.ns6229.oracleGeneral.zst LHD cache size     2828, 1846135 req, miss ratio 0.2475, byte miss ratio 0.2475
result/tencentBlock.ns6229.oracleGeneral.zst LHD cache size     9428, 1846135 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns6229.oracleGeneral.zst LHD cache size    18857, 1846135 req, miss ratio 0.2221, byte miss ratio 0.2221
result/tencentBlock.ns6229.oracleGeneral.zst LHD cache size    37714, 1846135 req, miss ratio 0.1658, byte miss ratio 0.1658
result/tencentBlock.ns6229.oracleGeneral.zst LHD cache size    75428, 1846135 req, miss ratio 0.0641, byte miss ratio 0.0641
result/tencentBlock.ns6229.oracleGeneral.zst Clock cache size       94, 1846135 req, miss ratio 0.5544, byte miss ratio 0.5544
result/tencentBlock.ns6229.oracleGeneral.zst Clock cache size      282, 1846135 req, miss ratio 0.3774, byte miss ratio 0.3774
result/tencentBlock.ns6229.oracleGeneral.zst Clock cache size      942, 1846135 req, miss ratio 0.2610, byte miss ratio 0.2610
result/tencentBlock.ns6229.oracleGeneral.zst Clock cache size     2828, 1846135 req, miss ratio 0.2481, byte miss ratio 0.2481
result/tencentBlock.ns6229.oracleGeneral.zst Clock cache size     9428, 1846135 req, miss ratio 0.2409, byte miss ratio 0.2409
result/tencentBlock.ns6229.oracleGeneral.zst Clock cache size    18857, 1846135 req, miss ratio 0.2361, byte miss ratio 0.2361
result/tencentBlock.ns6229.oracleGeneral.zst Clock cache size    37714, 1846135 req, miss ratio 0.1813, byte miss ratio 0.1813
result/tencentBlock.ns6229.oracleGeneral.zst Clock cache size    75428, 1846135 req, miss ratio 0.0565, byte miss ratio 0.0565
result/tencentBlock.ns6229.oracleGeneral.zst FIFO cache size       94, 1846135 req, miss ratio 0.6140, byte miss ratio 0.6140
result/tencentBlock.ns6229.oracleGeneral.zst FIFO cache size      282, 1846135 req, miss ratio 0.4431, byte miss ratio 0.4431
result/tencentBlock.ns6229.oracleGeneral.zst FIFO cache size      942, 1846135 req, miss ratio 0.2984, byte miss ratio 0.2984
result/tencentBlock.ns6229.oracleGeneral.zst FIFO cache size     2828, 1846135 req, miss ratio 0.2627, byte miss ratio 0.2627
result/tencentBlock.ns6229.oracleGeneral.zst FIFO cache size     9428, 1846135 req, miss ratio 0.2480, byte miss ratio 0.2480
result/tencentBlock.ns6229.oracleGeneral.zst FIFO cache size    18857, 1846135 req, miss ratio 0.2382, byte miss ratio 0.2382
result/tencentBlock.ns6229.oracleGeneral.zst FIFO cache size    37714, 1846135 req, miss ratio 0.1720, byte miss ratio 0.1720
result/tencentBlock.ns6229.oracleGeneral.zst FIFO cache size    75428, 1846135 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns6229.oracleGeneral.zst Cacheus cache size       94, 1846135 req, miss ratio 0.4731, byte miss ratio 0.4731
result/tencentBlock.ns6229.oracleGeneral.zst Cacheus cache size      282, 1846135 req, miss ratio 0.3535, byte miss ratio 0.3535
result/tencentBlock.ns6229.oracleGeneral.zst Cacheus cache size      942, 1846135 req, miss ratio 0.2566, byte miss ratio 0.2566
result/tencentBlock.ns6229.oracleGeneral.zst Cacheus cache size     2828, 1846135 req, miss ratio 0.2458, byte miss ratio 0.2458
result/tencentBlock.ns6229.oracleGeneral.zst Cacheus cache size     9428, 1846135 req, miss ratio 0.2358, byte miss ratio 0.2358
result/tencentBlock.ns6229.oracleGeneral.zst Cacheus cache size    18857, 1846135 req, miss ratio 0.2172, byte miss ratio 0.2172
result/tencentBlock.ns6229.oracleGeneral.zst Cacheus cache size    37714, 1846135 req, miss ratio 0.1563, byte miss ratio 0.1563
result/tencentBlock.ns6229.oracleGeneral.zst Cacheus cache size    75428, 1846135 req, miss ratio 0.0592, byte miss ratio 0.0592
result/tencentBlock.ns6229.oracleGeneral.zst LIRS cache size       94, 1846135 req, miss ratio 0.4874, byte miss ratio 0.4874
result/tencentBlock.ns6229.oracleGeneral.zst LIRS cache size      282, 1846135 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns6229.oracleGeneral.zst LIRS cache size      942, 1846135 req, miss ratio 0.2675, byte miss ratio 0.2675
result/tencentBlock.ns6229.oracleGeneral.zst LIRS cache size     2828, 1846135 req, miss ratio 0.2572, byte miss ratio 0.2572
result/tencentBlock.ns6229.oracleGeneral.zst LIRS cache size     9428, 1846135 req, miss ratio 0.2267, byte miss ratio 0.2267
result/tencentBlock.ns6229.oracleGeneral.zst LIRS cache size    18857, 1846135 req, miss ratio 0.1897, byte miss ratio 0.1897
result/tencentBlock.ns6229.oracleGeneral.zst LIRS cache size    37714, 1846135 req, miss ratio 0.1390, byte miss ratio 0.1390
result/tencentBlock.ns6229.oracleGeneral.zst LIRS cache size    75428, 1846135 req, miss ratio 0.0641, byte miss ratio 0.0641
result/tencentBlock.ns6229.oracleGeneral.zst ARC cache size       94, 1846135 req, miss ratio 0.4849, byte miss ratio 0.4849
result/tencentBlock.ns6229.oracleGeneral.zst ARC cache size      282, 1846135 req, miss ratio 0.3379, byte miss ratio 0.3379
result/tencentBlock.ns6229.oracleGeneral.zst ARC cache size      942, 1846135 req, miss ratio 0.2574, byte miss ratio 0.2574
result/tencentBlock.ns6229.oracleGeneral.zst ARC cache size     2828, 1846135 req, miss ratio 0.2465, byte miss ratio 0.2465
result/tencentBlock.ns6229.oracleGeneral.zst ARC cache size     9428, 1846135 req, miss ratio 0.2281, byte miss ratio 0.2281
result/tencentBlock.ns6229.oracleGeneral.zst ARC cache size    18857, 1846135 req, miss ratio 0.2099, byte miss ratio 0.2099
result/tencentBlock.ns6229.oracleGeneral.zst ARC cache size    37714, 1846135 req, miss ratio 0.1625, byte miss ratio 0.1625
result/tencentBlock.ns6229.oracleGeneral.zst ARC cache size    75428, 1846135 req, miss ratio 0.0536, byte miss ratio 0.0536
result/tencentBlock.ns6229.oracleGeneral.zst LeCaR cache size       94, 1846135 req, miss ratio 0.5432, byte miss ratio 0.5432
result/tencentBlock.ns6229.oracleGeneral.zst LeCaR cache size      282, 1846135 req, miss ratio 0.3593, byte miss ratio 0.3593
result/tencentBlock.ns6229.oracleGeneral.zst LeCaR cache size      942, 1846135 req, miss ratio 0.2603, byte miss ratio 0.2603
result/tencentBlock.ns6229.oracleGeneral.zst LeCaR cache size     2828, 1846135 req, miss ratio 0.2479, byte miss ratio 0.2479
result/tencentBlock.ns6229.oracleGeneral.zst LeCaR cache size     9428, 1846135 req, miss ratio 0.2352, byte miss ratio 0.2352
result/tencentBlock.ns6229.oracleGeneral.zst LeCaR cache size    18857, 1846135 req, miss ratio 0.2212, byte miss ratio 0.2212
result/tencentBlock.ns6229.oracleGeneral.zst LeCaR cache size    37714, 1846135 req, miss ratio 0.1651, byte miss ratio 0.1651
result/tencentBlock.ns6229.oracleGeneral.zst LeCaR cache size    75428, 1846135 req, miss ratio 0.0551, byte miss ratio 0.0551
result/tencentBlock.ns6229.oracleGeneral.zst LRU cache size       94, 1846135 req, miss ratio 0.5574, byte miss ratio 0.5574
result/tencentBlock.ns6229.oracleGeneral.zst LRU cache size      282, 1846135 req, miss ratio 0.3858, byte miss ratio 0.3858
result/tencentBlock.ns6229.oracleGeneral.zst LRU cache size      942, 1846135 req, miss ratio 0.2619, byte miss ratio 0.2619
result/tencentBlock.ns6229.oracleGeneral.zst LRU cache size     2828, 1846135 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns6229.oracleGeneral.zst LRU cache size     9428, 1846135 req, miss ratio 0.2433, byte miss ratio 0.2433
result/tencentBlock.ns6229.oracleGeneral.zst LRU cache size    18857, 1846135 req, miss ratio 0.2363, byte miss ratio 0.2363
result/tencentBlock.ns6229.oracleGeneral.zst LRU cache size    37714, 1846135 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencentBlock.ns6229.oracleGeneral.zst LRU cache size    75428, 1846135 req, miss ratio 0.0611, byte miss ratio 0.0611
result/tencentBlock.ns6229.oracleGeneral.zst clock2 cache size       94, 1846135 req, miss ratio 0.5541, byte miss ratio 0.5541
result/tencentBlock.ns6229.oracleGeneral.zst clock2 cache size      282, 1846135 req, miss ratio 0.3692, byte miss ratio 0.3692
result/tencentBlock.ns6229.oracleGeneral.zst clock2 cache size      942, 1846135 req, miss ratio 0.2593, byte miss ratio 0.2593
result/tencentBlock.ns6229.oracleGeneral.zst clock2 cache size     2828, 1846135 req, miss ratio 0.2476, byte miss ratio 0.2476
result/tencentBlock.ns6229.oracleGeneral.zst clock2 cache size     9428, 1846135 req, miss ratio 0.2406, byte miss ratio 0.2406
result/tencentBlock.ns6229.oracleGeneral.zst clock2 cache size    18857, 1846135 req, miss ratio 0.2294, byte miss ratio 0.2294
result/tencentBlock.ns6229.oracleGeneral.zst clock2 cache size    37714, 1846135 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tencentBlock.ns6229.oracleGeneral.zst clock2 cache size    75428, 1846135 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-1 cache size       94, 1846135 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-1 cache size      282, 1846135 req, miss ratio 0.3314, byte miss ratio 0.3314
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-1 cache size      942, 1846135 req, miss ratio 0.2580, byte miss ratio 0.2580
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-1 cache size     2828, 1846135 req, miss ratio 0.2443, byte miss ratio 0.2443
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-1 cache size     9428, 1846135 req, miss ratio 0.2267, byte miss ratio 0.2267
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-1 cache size    18857, 1846135 req, miss ratio 0.1967, byte miss ratio 0.1967
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-1 cache size    37714, 1846135 req, miss ratio 0.1536, byte miss ratio 0.1536
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-1 cache size    75428, 1846135 req, miss ratio 0.0546, byte miss ratio 0.0546
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d-1 cache size       94, 1846135 req, miss ratio 0.4846, byte miss ratio 0.4846
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d-1 cache size      282, 1846135 req, miss ratio 0.3344, byte miss ratio 0.3344
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d-1 cache size      942, 1846135 req, miss ratio 0.2556, byte miss ratio 0.2556
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d-1 cache size     2828, 1846135 req, miss ratio 0.2441, byte miss ratio 0.2441
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d-1 cache size     9428, 1846135 req, miss ratio 0.2271, byte miss ratio 0.2271
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d-1 cache size    18857, 1846135 req, miss ratio 0.1964, byte miss ratio 0.1964
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d-1 cache size    37714, 1846135 req, miss ratio 0.1529, byte miss ratio 0.1529
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d-1 cache size    75428, 1846135 req, miss ratio 0.0545, byte miss ratio 0.0545
result/tencentBlock.ns6229.oracleGeneral.zst LRB cache size       94, 1846135 req, miss ratio 0.4708, byte miss ratio 0.4708
result/tencentBlock.ns6229.oracleGeneral.zst LRB cache size      282, 1846135 req, miss ratio 0.3321, byte miss ratio 0.3321
result/tencentBlock.ns6229.oracleGeneral.zst LRB cache size      942, 1846135 req, miss ratio 0.2654, byte miss ratio 0.2654
result/tencentBlock.ns6229.oracleGeneral.zst LRB cache size     2828, 1846135 req, miss ratio 0.2480, byte miss ratio 0.2480
result/tencentBlock.ns6229.oracleGeneral.zst LRB cache size     9428, 1846135 req, miss ratio 0.2277, byte miss ratio 0.2277
result/tencentBlock.ns6229.oracleGeneral.zst LRB cache size    18857, 1846135 req, miss ratio 0.2036, byte miss ratio 0.2036
result/tencentBlock.ns6229.oracleGeneral.zst LRB cache size    37714, 1846135 req, miss ratio 0.1457, byte miss ratio 0.1457
result/tencentBlock.ns6229.oracleGeneral.zst LRB cache size    75428, 1846135 req, miss ratio 0.0653, byte miss ratio 0.0653
result/tencentBlock.ns6229.oracleGeneral.zst TwoQ cache size       94, 1846135 req, miss ratio 0.5096, byte miss ratio 0.5096
result/tencentBlock.ns6229.oracleGeneral.zst TwoQ cache size      282, 1846135 req, miss ratio 0.3345, byte miss ratio 0.3345
result/tencentBlock.ns6229.oracleGeneral.zst TwoQ cache size      942, 1846135 req, miss ratio 0.2564, byte miss ratio 0.2564
result/tencentBlock.ns6229.oracleGeneral.zst TwoQ cache size     2828, 1846135 req, miss ratio 0.2439, byte miss ratio 0.2439
result/tencentBlock.ns6229.oracleGeneral.zst TwoQ cache size     9428, 1846135 req, miss ratio 0.2357, byte miss ratio 0.2357
result/tencentBlock.ns6229.oracleGeneral.zst TwoQ cache size    18857, 1846135 req, miss ratio 0.2083, byte miss ratio 0.2083
result/tencentBlock.ns6229.oracleGeneral.zst TwoQ cache size    37714, 1846135 req, miss ratio 0.1559, byte miss ratio 0.1559
result/tencentBlock.ns6229.oracleGeneral.zst TwoQ cache size    75428, 1846135 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size       94, 1846135 req, miss ratio 0.5430, byte miss ratio 0.5430
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size      282, 1846135 req, miss ratio 0.4529, byte miss ratio 0.4529
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size      942, 1846135 req, miss ratio 0.2599, byte miss ratio 0.2599
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2828, 1846135 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9428, 1846135 req, miss ratio 0.2270, byte miss ratio 0.2270
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18857, 1846135 req, miss ratio 0.1990, byte miss ratio 0.1990
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size    37714, 1846135 req, miss ratio 0.1528, byte miss ratio 0.1528
result/tencentBlock.ns6229.oracleGeneral.zst S4LRU(25:25:25:25) cache size    75428, 1846135 req, miss ratio 0.0550, byte miss ratio 0.0550
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       94, 1846135 req, miss ratio 0.6140, byte miss ratio 0.6140
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      282, 1846135 req, miss ratio 0.4058, byte miss ratio 0.4058
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      942, 1846135 req, miss ratio 0.2718, byte miss ratio 0.2718
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2828, 1846135 req, miss ratio 0.2512, byte miss ratio 0.2512
result/tencentBlock.ns6229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9428, 1846135 req, miss ratio 0.2375, byte miss ratio 0.2375
