result/tencentBlock.ns8324.oracleGeneral.zst LRU cache size       46, 1251610 req, miss ratio 0.3641, byte miss ratio 0.3641
result/tencentBlock.ns8324.oracleGeneral.zst LRU cache size      139, 1251610 req, miss ratio 0.1976, byte miss ratio 0.1976
result/tencentBlock.ns8324.oracleGeneral.zst LRU cache size      464, 1251610 req, miss ratio 0.1756, byte miss ratio 0.1756
result/tencentBlock.ns8324.oracleGeneral.zst LRU cache size     1392, 1251610 req, miss ratio 0.1614, byte miss ratio 0.1614
result/tencentBlock.ns8324.oracleGeneral.zst LRU cache size     4640, 1251610 req, miss ratio 0.1093, byte miss ratio 0.1093
result/tencentBlock.ns8324.oracleGeneral.zst LRU cache size     9281, 1251610 req, miss ratio 0.0930, byte miss ratio 0.0930
result/tencentBlock.ns8324.oracleGeneral.zst LRU cache size    18562, 1251610 req, miss ratio 0.0630, byte miss ratio 0.0630
result/tencentBlock.ns8324.oracleGeneral.zst LRU cache size    37124, 1251610 req, miss ratio 0.0377, byte miss ratio 0.0377
result/tencentBlock.ns8324.oracleGeneral.zst FIFO cache size       46, 1251610 req, miss ratio 0.4300, byte miss ratio 0.4300
result/tencentBlock.ns8324.oracleGeneral.zst FIFO cache size      139, 1251610 req, miss ratio 0.2528, byte miss ratio 0.2528
result/tencentBlock.ns8324.oracleGeneral.zst FIFO cache size      464, 1251610 req, miss ratio 0.1971, byte miss ratio 0.1971
result/tencentBlock.ns8324.oracleGeneral.zst FIFO cache size     1392, 1251610 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns8324.oracleGeneral.zst FIFO cache size     4640, 1251610 req, miss ratio 0.1308, byte miss ratio 0.1308
result/tencentBlock.ns8324.oracleGeneral.zst FIFO cache size     9281, 1251610 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns8324.oracleGeneral.zst FIFO cache size    18562, 1251610 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns8324.oracleGeneral.zst FIFO cache size    37124, 1251610 req, miss ratio 0.0447, byte miss ratio 0.0447
result/tencentBlock.ns8324.oracleGeneral.zst Clock cache size       46, 1251610 req, miss ratio 0.3676, byte miss ratio 0.3676
result/tencentBlock.ns8324.oracleGeneral.zst Clock cache size      139, 1251610 req, miss ratio 0.1974, byte miss ratio 0.1974
result/tencentBlock.ns8324.oracleGeneral.zst Clock cache size      464, 1251610 req, miss ratio 0.1743, byte miss ratio 0.1743
result/tencentBlock.ns8324.oracleGeneral.zst Clock cache size     1392, 1251610 req, miss ratio 0.1604, byte miss ratio 0.1604
result/tencentBlock.ns8324.oracleGeneral.zst Clock cache size     4640, 1251610 req, miss ratio 0.1115, byte miss ratio 0.1115
result/tencentBlock.ns8324.oracleGeneral.zst Clock cache size     9281, 1251610 req, miss ratio 0.0955, byte miss ratio 0.0955
result/tencentBlock.ns8324.oracleGeneral.zst Clock cache size    18562, 1251610 req, miss ratio 0.0698, byte miss ratio 0.0698
result/tencentBlock.ns8324.oracleGeneral.zst Clock cache size    37124, 1251610 req, miss ratio 0.0407, byte miss ratio 0.0407
result/tencentBlock.ns8324.oracleGeneral.zst Cacheus cache size       46, 1251610 req, miss ratio 0.2590, byte miss ratio 0.2590
result/tencentBlock.ns8324.oracleGeneral.zst Cacheus cache size      139, 1251610 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns8324.oracleGeneral.zst Cacheus cache size      464, 1251610 req, miss ratio 0.1664, byte miss ratio 0.1664
result/tencentBlock.ns8324.oracleGeneral.zst Cacheus cache size     1392, 1251610 req, miss ratio 0.1494, byte miss ratio 0.1494
