result/tencentBlock.ns8937.oracleGeneral.zst Clock cache size     7180, 39709499 req, miss ratio 0.8354, byte miss ratio 0.8354
result/tencentBlock.ns8937.oracleGeneral.zst Clock cache size    21542, 39709499 req, miss ratio 0.8084, byte miss ratio 0.8084
result/tencentBlock.ns8937.oracleGeneral.zst Clock cache size    71807, 39709499 req, miss ratio 0.6990, byte miss ratio 0.6990
result/tencentBlock.ns8937.oracleGeneral.zst Clock cache size   215421, 39709499 req, miss ratio 0.3068, byte miss ratio 0.3068
result/tencentBlock.ns8937.oracleGeneral.zst Clock cache size   718072, 39709499 req, miss ratio 0.2466, byte miss ratio 0.2466
result/tencentBlock.ns8937.oracleGeneral.zst Clock cache size  1436145, 39709499 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns8937.oracleGeneral.zst Clock cache size  2872290, 39709499 req, miss ratio 0.2262, byte miss ratio 0.2262
result/tencentBlock.ns8937.oracleGeneral.zst Clock cache size  5744580, 39709499 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns8937.oracleGeneral.zst clock2 cache size     7180, 39709499 req, miss ratio 0.8338, byte miss ratio 0.8338
result/tencentBlock.ns8937.oracleGeneral.zst clock2 cache size    21542, 39709499 req, miss ratio 0.8062, byte miss ratio 0.8062
result/tencentBlock.ns8937.oracleGeneral.zst clock2 cache size    71807, 39709499 req, miss ratio 0.6899, byte miss ratio 0.6899
result/tencentBlock.ns8937.oracleGeneral.zst clock2 cache size   215421, 39709499 req, miss ratio 0.3078, byte miss ratio 0.3078
result/tencentBlock.ns8937.oracleGeneral.zst clock2 cache size   718072, 39709499 req, miss ratio 0.2469, byte miss ratio 0.2469
result/tencentBlock.ns8937.oracleGeneral.zst clock2 cache size  1436145, 39709499 req, miss ratio 0.2370, byte miss ratio 0.2370
result/tencentBlock.ns8937.oracleGeneral.zst clock2 cache size  2872290, 39709499 req, miss ratio 0.2217, byte miss ratio 0.2217
result/tencentBlock.ns8937.oracleGeneral.zst clock2 cache size  5744580, 39709499 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-1 cache size     7180, 39709499 req, miss ratio 0.8099, byte miss ratio 0.8099
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-1 cache size    21542, 39709499 req, miss ratio 0.7303, byte miss ratio 0.7303
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-1 cache size    71807, 39709499 req, miss ratio 0.6062, byte miss ratio 0.6062
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-1 cache size   215421, 39709499 req, miss ratio 0.3606, byte miss ratio 0.3606
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-1 cache size   718072, 39709499 req, miss ratio 0.2714, byte miss ratio 0.2714
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-1 cache size  1436145, 39709499 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-1 cache size  2872290, 39709499 req, miss ratio 0.2230, byte miss ratio 0.2230
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-1 cache size  5744580, 39709499 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns8937.oracleGeneral.zst FIFO cache size     7180, 39709499 req, miss ratio 0.8540, byte miss ratio 0.8540
result/tencentBlock.ns8937.oracleGeneral.zst FIFO cache size    21542, 39709499 req, miss ratio 0.8195, byte miss ratio 0.8195
result/tencentBlock.ns8937.oracleGeneral.zst FIFO cache size    71807, 39709499 req, miss ratio 0.7107, byte miss ratio 0.7107
result/tencentBlock.ns8937.oracleGeneral.zst FIFO cache size   215421, 39709499 req, miss ratio 0.3868, byte miss ratio 0.3868
result/tencentBlock.ns8937.oracleGeneral.zst FIFO cache size   718072, 39709499 req, miss ratio 0.2672, byte miss ratio 0.2672
result/tencentBlock.ns8937.oracleGeneral.zst FIFO cache size  1436145, 39709499 req, miss ratio 0.2483, byte miss ratio 0.2483
result/tencentBlock.ns8937.oracleGeneral.zst FIFO cache size  2872290, 39709499 req, miss ratio 0.2285, byte miss ratio 0.2285
result/tencentBlock.ns8937.oracleGeneral.zst FIFO cache size  5744580, 39709499 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns8937.oracleGeneral.zst LeCaR cache size     7180, 39709499 req, miss ratio 0.8347, byte miss ratio 0.8347
result/tencentBlock.ns8937.oracleGeneral.zst LeCaR cache size    21542, 39709499 req, miss ratio 0.8062, byte miss ratio 0.8062
result/tencentBlock.ns8937.oracleGeneral.zst LeCaR cache size    71807, 39709499 req, miss ratio 0.7001, byte miss ratio 0.7001
result/tencentBlock.ns8937.oracleGeneral.zst LeCaR cache size   215421, 39709499 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tencentBlock.ns8937.oracleGeneral.zst LeCaR cache size   718072, 39709499 req, miss ratio 0.2459, byte miss ratio 0.2459
result/tencentBlock.ns8937.oracleGeneral.zst LeCaR cache size  1436145, 39709499 req, miss ratio 0.2375, byte miss ratio 0.2375
result/tencentBlock.ns8937.oracleGeneral.zst LeCaR cache size  2872290, 39709499 req, miss ratio 0.2257, byte miss ratio 0.2257
result/tencentBlock.ns8937.oracleGeneral.zst LeCaR cache size  5744580, 39709499 req, miss ratio 0.1916, byte miss ratio 0.1916
result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size     7180, 39709499 req, miss ratio 0.8046, byte miss ratio 0.8046
result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size    21542, 39709499 req, miss ratio 0.7156, byte miss ratio 0.7156
result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size    71807, 39709499 req, miss ratio 0.6278, byte miss ratio 0.6278
result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size   215421, 39709499 req, miss ratio 0.3080, byte miss ratio 0.3080
result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size   718072, 39709499 req, miss ratio 0.2478, byte miss ratio 0.2478
result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size  1436145, 39709499 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size  2872290, 39709499 req, miss ratio 0.2351, byte miss ratio 0.2351
result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size  5744580, 39709499 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size     7180, 39709499 req, miss ratio 0.8172, byte miss ratio 0.8172
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size    21542, 39709499 req, miss ratio 0.7590, byte miss ratio 0.7590
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size    71807, 39709499 req, miss ratio 0.7129, byte miss ratio 0.7129
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size   215421, 39709499 req, miss ratio 0.3080, byte miss ratio 0.3080
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size   718072, 39709499 req, miss ratio 0.2453, byte miss ratio 0.2453
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size  1436145, 39709499 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size  2872290, 39709499 req, miss ratio 0.2478, byte miss ratio 0.2478
