result/tencentBlock.ns9249.oracleGeneral.zst Cacheus cache size      271, 2834389 req, miss ratio 0.4639, byte miss ratio 0.4639
result/tencentBlock.ns9249.oracleGeneral.zst Cacheus cache size      814, 2834389 req, miss ratio 0.4015, byte miss ratio 0.4015
result/tencentBlock.ns9249.oracleGeneral.zst Cacheus cache size     2715, 2834389 req, miss ratio 0.3137, byte miss ratio 0.3137
result/tencentBlock.ns9249.oracleGeneral.zst Cacheus cache size     8145, 2834389 req, miss ratio 0.2762, byte miss ratio 0.2762
result/tencentBlock.ns9249.oracleGeneral.zst Cacheus cache size    27151, 2834389 req, miss ratio 0.2348, byte miss ratio 0.2348
result/tencentBlock.ns9249.oracleGeneral.zst Cacheus cache size    54303, 2834389 req, miss ratio 0.1991, byte miss ratio 0.1991
result/tencentBlock.ns9249.oracleGeneral.zst Cacheus cache size   108607, 2834389 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns9249.oracleGeneral.zst Cacheus cache size   217215, 2834389 req, miss ratio 0.0964, byte miss ratio 0.0964
result/tencentBlock.ns9249.oracleGeneral.zst LIRS cache size      271, 2834389 req, miss ratio 0.4714, byte miss ratio 0.4714
result/tencentBlock.ns9249.oracleGeneral.zst LIRS cache size      814, 2834389 req, miss ratio 0.4000, byte miss ratio 0.4000
result/tencentBlock.ns9249.oracleGeneral.zst LIRS cache size     2715, 2834389 req, miss ratio 0.3068, byte miss ratio 0.3068
result/tencentBlock.ns9249.oracleGeneral.zst LIRS cache size     8145, 2834389 req, miss ratio 0.2739, byte miss ratio 0.2739
result/tencentBlock.ns9249.oracleGeneral.zst LIRS cache size    27151, 2834389 req, miss ratio 0.2275, byte miss ratio 0.2275
result/tencentBlock.ns9249.oracleGeneral.zst LIRS cache size    54303, 2834389 req, miss ratio 0.1801, byte miss ratio 0.1801
result/tencentBlock.ns9249.oracleGeneral.zst LIRS cache size   108607, 2834389 req, miss ratio 0.1174, byte miss ratio 0.1174
result/tencentBlock.ns9249.oracleGeneral.zst LIRS cache size   217215, 2834389 req, miss ratio 0.0976, byte miss ratio 0.0976
result/tencentBlock.ns9249.oracleGeneral.zst clock2 cache size      271, 2834389 req, miss ratio 0.5381, byte miss ratio 0.5381
result/tencentBlock.ns9249.oracleGeneral.zst clock2 cache size      814, 2834389 req, miss ratio 0.4143, byte miss ratio 0.4143
result/tencentBlock.ns9249.oracleGeneral.zst clock2 cache size     2715, 2834389 req, miss ratio 0.3366, byte miss ratio 0.3366
result/tencentBlock.ns9249.oracleGeneral.zst clock2 cache size     8145, 2834389 req, miss ratio 0.2842, byte miss ratio 0.2842
result/tencentBlock.ns9249.oracleGeneral.zst clock2 cache size    27151, 2834389 req, miss ratio 0.2456, byte miss ratio 0.2456
result/tencentBlock.ns9249.oracleGeneral.zst clock2 cache size    54303, 2834389 req, miss ratio 0.2066, byte miss ratio 0.2066
result/tencentBlock.ns9249.oracleGeneral.zst clock2 cache size   108607, 2834389 req, miss ratio 0.1344, byte miss ratio 0.1344
result/tencentBlock.ns9249.oracleGeneral.zst clock2 cache size   217215, 2834389 req, miss ratio 0.0971, byte miss ratio 0.0971
result/tencentBlock.ns9249.oracleGeneral.zst ARC cache size      271, 2834389 req, miss ratio 0.4474, byte miss ratio 0.4474
result/tencentBlock.ns9249.oracleGeneral.zst ARC cache size      814, 2834389 req, miss ratio 0.3943, byte miss ratio 0.3943
result/tencentBlock.ns9249.oracleGeneral.zst ARC cache size     2715, 2834389 req, miss ratio 0.3021, byte miss ratio 0.3021
result/tencentBlock.ns9249.oracleGeneral.zst ARC cache size     8145, 2834389 req, miss ratio 0.2733, byte miss ratio 0.2733
result/tencentBlock.ns9249.oracleGeneral.zst ARC cache size    27151, 2834389 req, miss ratio 0.2305, byte miss ratio 0.2305
result/tencentBlock.ns9249.oracleGeneral.zst ARC cache size    54303, 2834389 req, miss ratio 0.1837, byte miss ratio 0.1837
result/tencentBlock.ns9249.oracleGeneral.zst ARC cache size   108607, 2834389 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns9249.oracleGeneral.zst ARC cache size   217215, 2834389 req, miss ratio 0.0969, byte miss ratio 0.0969
result/tencentBlock.ns9249.oracleGeneral.zst LeCaR cache size      271, 2834389 req, miss ratio 0.5210, byte miss ratio 0.5210
result/tencentBlock.ns9249.oracleGeneral.zst LeCaR cache size      814, 2834389 req, miss ratio 0.4128, byte miss ratio 0.4128
result/tencentBlock.ns9249.oracleGeneral.zst LeCaR cache size     2715, 2834389 req, miss ratio 0.3346, byte miss ratio 0.3346
result/tencentBlock.ns9249.oracleGeneral.zst LeCaR cache size     8145, 2834389 req, miss ratio 0.2847, byte miss ratio 0.2847
result/tencentBlock.ns9249.oracleGeneral.zst LeCaR cache size    27151, 2834389 req, miss ratio 0.2321, byte miss ratio 0.2321
result/tencentBlock.ns9249.oracleGeneral.zst LeCaR cache size    54303, 2834389 req, miss ratio 0.1994, byte miss ratio 0.1994
result/tencentBlock.ns9249.oracleGeneral.zst LeCaR cache size   108607, 2834389 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns9249.oracleGeneral.zst LeCaR cache size   217215, 2834389 req, miss ratio 0.0961, byte miss ratio 0.0961
result/tencentBlock.ns9249.oracleGeneral.zst Clock cache size      271, 2834389 req, miss ratio 0.5467, byte miss ratio 0.5467
result/tencentBlock.ns9249.oracleGeneral.zst Clock cache size      814, 2834389 req, miss ratio 0.4130, byte miss ratio 0.4130
