result/cluster26.oracleGeneral.sample10.zst LIRS cache size     1223, 15519097 req, miss ratio 0.1156, byte miss ratio 0.1156
result/cluster26.oracleGeneral.sample10.zst LIRS cache size     3671, 15519097 req, miss ratio 0.0944, byte miss ratio 0.0944
result/cluster26.oracleGeneral.sample10.zst LIRS cache size    12237, 15519097 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cluster26.oracleGeneral.sample10.zst LIRS cache size    36713, 15519097 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cluster26.oracleGeneral.sample10.zst LIRS cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LIRS cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LIRS cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LIRS cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Clock cache size     1223, 15519097 req, miss ratio 0.0963, byte miss ratio 0.0963
result/cluster26.oracleGeneral.sample10.zst Clock cache size     3671, 15519097 req, miss ratio 0.0801, byte miss ratio 0.0801
result/cluster26.oracleGeneral.sample10.zst Clock cache size    12237, 15519097 req, miss ratio 0.0796, byte miss ratio 0.0796
result/cluster26.oracleGeneral.sample10.zst Clock cache size    36713, 15519097 req, miss ratio 0.0790, byte miss ratio 0.0790
result/cluster26.oracleGeneral.sample10.zst Clock cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Clock cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Clock cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Clock cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LeCaR cache size     1223, 15519097 req, miss ratio 0.0973, byte miss ratio 0.0973
result/cluster26.oracleGeneral.sample10.zst LeCaR cache size     3671, 15519097 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cluster26.oracleGeneral.sample10.zst LeCaR cache size    12237, 15519097 req, miss ratio 0.0796, byte miss ratio 0.0796
result/cluster26.oracleGeneral.sample10.zst LeCaR cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LeCaR cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LeCaR cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LeCaR cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LeCaR cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-1 cache size     1223, 15519097 req, miss ratio 0.1142, byte miss ratio 0.1142
result/cluster26.oracleGeneral.sample10.zst S3FIFO-1 cache size     3671, 15519097 req, miss ratio 0.0803, byte miss ratio 0.0803
result/cluster26.oracleGeneral.sample10.zst S3FIFO-1 cache size    12237, 15519097 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cluster26.oracleGeneral.sample10.zst S3FIFO-1 cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-1 cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-1 cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-1 cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-1 cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst FIFO cache size     1223, 15519097 req, miss ratio 0.1120, byte miss ratio 0.1120
result/cluster26.oracleGeneral.sample10.zst FIFO cache size     3671, 15519097 req, miss ratio 0.0846, byte miss ratio 0.0846
result/cluster26.oracleGeneral.sample10.zst FIFO cache size    12237, 15519097 req, miss ratio 0.0806, byte miss ratio 0.0806
result/cluster26.oracleGeneral.sample10.zst FIFO cache size    36713, 15519097 req, miss ratio 0.0795, byte miss ratio 0.0795
result/cluster26.oracleGeneral.sample10.zst FIFO cache size   122379, 15519097 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cluster26.oracleGeneral.sample10.zst FIFO cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst FIFO cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst FIFO cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Cacheus cache size     1223, 15519097 req, miss ratio 0.0961, byte miss ratio 0.0961
result/cluster26.oracleGeneral.sample10.zst Cacheus cache size     3671, 15519097 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cluster26.oracleGeneral.sample10.zst Cacheus cache size    12237, 15519097 req, miss ratio 0.0796, byte miss ratio 0.0796
result/cluster26.oracleGeneral.sample10.zst Cacheus cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Cacheus cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Cacheus cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Cacheus cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst Cacheus cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRU cache size     1223, 15519097 req, miss ratio 0.0959, byte miss ratio 0.0959
result/cluster26.oracleGeneral.sample10.zst LRU cache size     3671, 15519097 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cluster26.oracleGeneral.sample10.zst LRU cache size    12237, 15519097 req, miss ratio 0.0796, byte miss ratio 0.0796
result/cluster26.oracleGeneral.sample10.zst LRU cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRU cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRU cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRU cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRU cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst ARC cache size     1223, 15519097 req, miss ratio 0.1031, byte miss ratio 0.1031
result/cluster26.oracleGeneral.sample10.zst ARC cache size     3671, 15519097 req, miss ratio 0.0801, byte miss ratio 0.0801
result/cluster26.oracleGeneral.sample10.zst ARC cache size    12237, 15519097 req, miss ratio 0.0797, byte miss ratio 0.0797
result/cluster26.oracleGeneral.sample10.zst ARC cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst ARC cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst ARC cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst ARC cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst ARC cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LHD cache size     1223, 15519097 req, miss ratio 0.1069, byte miss ratio 0.1069
result/cluster26.oracleGeneral.sample10.zst LHD cache size     3671, 15519097 req, miss ratio 0.0807, byte miss ratio 0.0807
result/cluster26.oracleGeneral.sample10.zst LHD cache size    12237, 15519097 req, miss ratio 0.0792, byte miss ratio 0.0792
result/cluster26.oracleGeneral.sample10.zst LHD cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LHD cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LHD cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LHD cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LHD cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst clock2 cache size     1223, 15519097 req, miss ratio 0.1036, byte miss ratio 0.1036
result/cluster26.oracleGeneral.sample10.zst clock2 cache size     3671, 15519097 req, miss ratio 0.0802, byte miss ratio 0.0802
result/cluster26.oracleGeneral.sample10.zst clock2 cache size    12237, 15519097 req, miss ratio 0.0799, byte miss ratio 0.0799
result/cluster26.oracleGeneral.sample10.zst clock2 cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
