result/cluster46.oracleGeneral.sample10.zst LRU cache size   115885, 676371275 req, miss ratio 0.2387, byte miss ratio 0.2387
result/cluster46.oracleGeneral.sample10.zst LRU cache size   347656, 676371275 req, miss ratio 0.2254, byte miss ratio 0.2254
result/cluster46.oracleGeneral.sample10.zst LRU cache size  1158854, 676371275 req, miss ratio 0.2116, byte miss ratio 0.2116
result/cluster46.oracleGeneral.sample10.zst LRU cache size  3476562, 676371275 req, miss ratio 0.2000, byte miss ratio 0.2000
result/cluster46.oracleGeneral.sample10.zst LRU cache size 11588541, 676371275 req, miss ratio 0.1892, byte miss ratio 0.1892
result/cluster46.oracleGeneral.sample10.zst LRU cache size 23177083, 676371275 req, miss ratio 0.1807, byte miss ratio 0.1807
result/cluster46.oracleGeneral.sample10.zst LRU cache size 46354167, 676371275 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cluster46.oracleGeneral.sample10.zst LRU cache size 92708334, 676371275 req, miss ratio 0.1716, byte miss ratio 0.1716
result/cluster46.oracleGeneral.sample10.zst ARC cache size   115885, 676371275 req, miss ratio 0.2411, byte miss ratio 0.2411
result/cluster46.oracleGeneral.sample10.zst ARC cache size   347656, 676371275 req, miss ratio 0.2285, byte miss ratio 0.2285
result/cluster46.oracleGeneral.sample10.zst ARC cache size  1158854, 676371275 req, miss ratio 0.2120, byte miss ratio 0.2120
result/cluster46.oracleGeneral.sample10.zst ARC cache size  3476562, 676371275 req, miss ratio 0.2001, byte miss ratio 0.2001
result/cluster46.oracleGeneral.sample10.zst ARC cache size 11588541, 676371275 req, miss ratio 0.1893, byte miss ratio 0.1893
result/cluster46.oracleGeneral.sample10.zst ARC cache size 23177083, 676371275 req, miss ratio 0.1807, byte miss ratio 0.1807
result/cluster46.oracleGeneral.sample10.zst ARC cache size 46354167, 676371275 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cluster46.oracleGeneral.sample10.zst ARC cache size 92708334, 676371275 req, miss ratio 0.1716, byte miss ratio 0.1716
result/cluster46.oracleGeneral.sample10.zst LeCaR cache size   115885, 676371275 req, miss ratio 0.2399, byte miss ratio 0.2399
result/cluster46.oracleGeneral.sample10.zst LeCaR cache size   347656, 676371275 req, miss ratio 0.2263, byte miss ratio 0.2263
result/cluster46.oracleGeneral.sample10.zst LeCaR cache size  1158854, 676371275 req, miss ratio 0.2122, byte miss ratio 0.2122
result/cluster46.oracleGeneral.sample10.zst LeCaR cache size  3476562, 676371275 req, miss ratio 0.2005, byte miss ratio 0.2005
result/cluster46.oracleGeneral.sample10.zst LeCaR cache size 11588541, 676371275 req, miss ratio 0.1896, byte miss ratio 0.1896
result/cluster46.oracleGeneral.sample10.zst LeCaR cache size 23177083, 676371275 req, miss ratio 0.1810, byte miss ratio 0.1810
