result/cluster53.oracleGeneral.sample10.zst LeCaR cache size      726, 26142189 req, miss ratio 0.4230, byte miss ratio 0.4230
result/cluster53.oracleGeneral.sample10.zst LeCaR cache size     2179, 26142189 req, miss ratio 0.2363, byte miss ratio 0.2363
result/cluster53.oracleGeneral.sample10.zst LeCaR cache size     7264, 26142189 req, miss ratio 0.1450, byte miss ratio 0.1450
result/cluster53.oracleGeneral.sample10.zst LeCaR cache size    21793, 26142189 req, miss ratio 0.0894, byte miss ratio 0.0894
result/cluster53.oracleGeneral.sample10.zst LeCaR cache size    72644, 26142189 req, miss ratio 0.0531, byte miss ratio 0.0531
result/cluster53.oracleGeneral.sample10.zst LeCaR cache size   145289, 26142189 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cluster53.oracleGeneral.sample10.zst LeCaR cache size   290578, 26142189 req, miss ratio 0.0305, byte miss ratio 0.0305
result/cluster53.oracleGeneral.sample10.zst LeCaR cache size   581156, 26142189 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cluster53.oracleGeneral.sample10.zst LHD cache size      726, 26142189 req, miss ratio 0.3914, byte miss ratio 0.3914
result/cluster53.oracleGeneral.sample10.zst LHD cache size     2179, 26142189 req, miss ratio 0.2294, byte miss ratio 0.2294
result/cluster53.oracleGeneral.sample10.zst LHD cache size     7264, 26142189 req, miss ratio 0.1382, byte miss ratio 0.1382
result/cluster53.oracleGeneral.sample10.zst LHD cache size    21793, 26142189 req, miss ratio 0.0850, byte miss ratio 0.0850
result/cluster53.oracleGeneral.sample10.zst LHD cache size    72644, 26142189 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cluster53.oracleGeneral.sample10.zst LHD cache size   145289, 26142189 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cluster53.oracleGeneral.sample10.zst LHD cache size   290578, 26142189 req, miss ratio 0.0305, byte miss ratio 0.0305
result/cluster53.oracleGeneral.sample10.zst LHD cache size   581156, 26142189 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cluster53.oracleGeneral.sample10.zst Cacheus cache size      726, 26142189 req, miss ratio 0.3646, byte miss ratio 0.3646
result/cluster53.oracleGeneral.sample10.zst Cacheus cache size     2179, 26142189 req, miss ratio 0.2322, byte miss ratio 0.2322
result/cluster53.oracleGeneral.sample10.zst Cacheus cache size     7264, 26142189 req, miss ratio 0.1461, byte miss ratio 0.1461
result/cluster53.oracleGeneral.sample10.zst Cacheus cache size    21793, 26142189 req, miss ratio 0.0892, byte miss ratio 0.0892
result/cluster53.oracleGeneral.sample10.zst Cacheus cache size    72644, 26142189 req, miss ratio 0.0529, byte miss ratio 0.0529
result/cluster53.oracleGeneral.sample10.zst Cacheus cache size   145289, 26142189 req, miss ratio 0.0384, byte miss ratio 0.0384
result/cluster53.oracleGeneral.sample10.zst Cacheus cache size   290578, 26142189 req, miss ratio 0.0312, byte miss ratio 0.0312
result/cluster53.oracleGeneral.sample10.zst Cacheus cache size   581156, 26142189 req, miss ratio 0.0281, byte miss ratio 0.0281
result/cluster53.oracleGeneral.sample10.zst S3FIFO-1 cache size      726, 26142189 req, miss ratio 0.3674, byte miss ratio 0.3674
result/cluster53.oracleGeneral.sample10.zst S3FIFO-1 cache size     2179, 26142189 req, miss ratio 0.2181, byte miss ratio 0.2181
result/cluster53.oracleGeneral.sample10.zst S3FIFO-1 cache size     7264, 26142189 req, miss ratio 0.1364, byte miss ratio 0.1364
result/cluster53.oracleGeneral.sample10.zst S3FIFO-1 cache size    21793, 26142189 req, miss ratio 0.0845, byte miss ratio 0.0845
result/cluster53.oracleGeneral.sample10.zst S3FIFO-1 cache size    72644, 26142189 req, miss ratio 0.0508, byte miss ratio 0.0508
result/cluster53.oracleGeneral.sample10.zst S3FIFO-1 cache size   145289, 26142189 req, miss ratio 0.0375, byte miss ratio 0.0375
result/cluster53.oracleGeneral.sample10.zst S3FIFO-1 cache size   290578, 26142189 req, miss ratio 0.0306, byte miss ratio 0.0306
result/cluster53.oracleGeneral.sample10.zst S3FIFO-1 cache size   581156, 26142189 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cluster53.oracleGeneral.sample10.zst LIRS cache size      726, 26142189 req, miss ratio 0.3602, byte miss ratio 0.3602
result/cluster53.oracleGeneral.sample10.zst LIRS cache size     2179, 26142189 req, miss ratio 0.2345, byte miss ratio 0.2345
result/cluster53.oracleGeneral.sample10.zst LIRS cache size     7264, 26142189 req, miss ratio 0.1467, byte miss ratio 0.1467
result/cluster53.oracleGeneral.sample10.zst LIRS cache size    21793, 26142189 req, miss ratio 0.0910, byte miss ratio 0.0910
result/cluster53.oracleGeneral.sample10.zst LIRS cache size    72644, 26142189 req, miss ratio 0.0541, byte miss ratio 0.0541
result/cluster53.oracleGeneral.sample10.zst LIRS cache size   145289, 26142189 req, miss ratio 0.0398, byte miss ratio 0.0398
result/cluster53.oracleGeneral.sample10.zst LIRS cache size   290578, 26142189 req, miss ratio 0.0306, byte miss ratio 0.0306
result/cluster53.oracleGeneral.sample10.zst LIRS cache size   581156, 26142189 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cluster53.oracleGeneral.sample10.zst FIFO cache size      726, 26142189 req, miss ratio 0.4877, byte miss ratio 0.4877
result/cluster53.oracleGeneral.sample10.zst FIFO cache size     2179, 26142189 req, miss ratio 0.3042, byte miss ratio 0.3042
result/cluster53.oracleGeneral.sample10.zst FIFO cache size     7264, 26142189 req, miss ratio 0.1795, byte miss ratio 0.1795
result/cluster53.oracleGeneral.sample10.zst FIFO cache size    21793, 26142189 req, miss ratio 0.1104, byte miss ratio 0.1104
result/cluster53.oracleGeneral.sample10.zst FIFO cache size    72644, 26142189 req, miss ratio 0.0638, byte miss ratio 0.0638
result/cluster53.oracleGeneral.sample10.zst FIFO cache size   145289, 26142189 req, miss ratio 0.0461, byte miss ratio 0.0461
result/cluster53.oracleGeneral.sample10.zst FIFO cache size   290578, 26142189 req, miss ratio 0.0350, byte miss ratio 0.0350
result/cluster53.oracleGeneral.sample10.zst FIFO cache size   581156, 26142189 req, miss ratio 0.0297, byte miss ratio 0.0297
result/cluster53.oracleGeneral.sample10.zst clock2 cache size      726, 26142189 req, miss ratio 0.4273, byte miss ratio 0.4273
result/cluster53.oracleGeneral.sample10.zst clock2 cache size     2179, 26142189 req, miss ratio 0.2353, byte miss ratio 0.2353
result/cluster53.oracleGeneral.sample10.zst clock2 cache size     7264, 26142189 req, miss ratio 0.1443, byte miss ratio 0.1443
result/cluster53.oracleGeneral.sample10.zst clock2 cache size    21793, 26142189 req, miss ratio 0.0889, byte miss ratio 0.0889
result/cluster53.oracleGeneral.sample10.zst clock2 cache size    72644, 26142189 req, miss ratio 0.0520, byte miss ratio 0.0520
result/cluster53.oracleGeneral.sample10.zst clock2 cache size   145289, 26142189 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cluster53.oracleGeneral.sample10.zst clock2 cache size   290578, 26142189 req, miss ratio 0.0301, byte miss ratio 0.0301
result/cluster53.oracleGeneral.sample10.zst clock2 cache size   581156, 26142189 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cluster53.oracleGeneral.sample10.zst LRU cache size      726, 26142189 req, miss ratio 0.4452, byte miss ratio 0.4452
result/cluster53.oracleGeneral.sample10.zst LRU cache size     2179, 26142189 req, miss ratio 0.2415, byte miss ratio 0.2415
result/cluster53.oracleGeneral.sample10.zst LRU cache size     7264, 26142189 req, miss ratio 0.1484, byte miss ratio 0.1484
result/cluster53.oracleGeneral.sample10.zst LRU cache size    21793, 26142189 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cluster53.oracleGeneral.sample10.zst LRU cache size    72644, 26142189 req, miss ratio 0.0531, byte miss ratio 0.0531
result/cluster53.oracleGeneral.sample10.zst LRU cache size   145289, 26142189 req, miss ratio 0.0385, byte miss ratio 0.0385
