result/cdn1_lax.ns194.oracleGeneral.bin.zst LRU cache size      116, 4153796 req, miss ratio 0.6180, byte miss ratio 0.6180
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRU cache size      348, 4153796 req, miss ratio 0.5580, byte miss ratio 0.5580
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRU cache size     1161, 4153796 req, miss ratio 0.4601, byte miss ratio 0.4601
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRU cache size     3485, 4153796 req, miss ratio 0.3317, byte miss ratio 0.3317
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRU cache size    11619, 4153796 req, miss ratio 0.1683, byte miss ratio 0.1683
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRU cache size    23239, 4153796 req, miss ratio 0.0882, byte miss ratio 0.0882
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRU cache size    46479, 4153796 req, miss ratio 0.0423, byte miss ratio 0.0423
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRU cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst ARC cache size      116, 4153796 req, miss ratio 0.5803, byte miss ratio 0.5803
result/cdn1_lax.ns194.oracleGeneral.bin.zst ARC cache size      348, 4153796 req, miss ratio 0.5141, byte miss ratio 0.5141
result/cdn1_lax.ns194.oracleGeneral.bin.zst ARC cache size     1161, 4153796 req, miss ratio 0.4117, byte miss ratio 0.4117
result/cdn1_lax.ns194.oracleGeneral.bin.zst ARC cache size     3485, 4153796 req, miss ratio 0.2927, byte miss ratio 0.2927
result/cdn1_lax.ns194.oracleGeneral.bin.zst ARC cache size    11619, 4153796 req, miss ratio 0.1478, byte miss ratio 0.1478
result/cdn1_lax.ns194.oracleGeneral.bin.zst ARC cache size    23239, 4153796 req, miss ratio 0.0778, byte miss ratio 0.0778
result/cdn1_lax.ns194.oracleGeneral.bin.zst ARC cache size    46479, 4153796 req, miss ratio 0.0392, byte miss ratio 0.0392
result/cdn1_lax.ns194.oracleGeneral.bin.zst ARC cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst LHD cache size      116, 4153796 req, miss ratio 0.5959, byte miss ratio 0.5959
result/cdn1_lax.ns194.oracleGeneral.bin.zst LHD cache size      348, 4153796 req, miss ratio 0.5487, byte miss ratio 0.5487
result/cdn1_lax.ns194.oracleGeneral.bin.zst LHD cache size     1161, 4153796 req, miss ratio 0.4398, byte miss ratio 0.4398
result/cdn1_lax.ns194.oracleGeneral.bin.zst LHD cache size     3485, 4153796 req, miss ratio 0.3072, byte miss ratio 0.3072
result/cdn1_lax.ns194.oracleGeneral.bin.zst LHD cache size    11619, 4153796 req, miss ratio 0.1523, byte miss ratio 0.1523
result/cdn1_lax.ns194.oracleGeneral.bin.zst LHD cache size    23239, 4153796 req, miss ratio 0.0815, byte miss ratio 0.0815
result/cdn1_lax.ns194.oracleGeneral.bin.zst LHD cache size    46479, 4153796 req, miss ratio 0.0411, byte miss ratio 0.0411
result/cdn1_lax.ns194.oracleGeneral.bin.zst LHD cache size    92958, 4153796 req, miss ratio 0.0287, byte miss ratio 0.0287
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-1 cache size      116, 4153796 req, miss ratio 0.5694, byte miss ratio 0.5694
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-1 cache size      348, 4153796 req, miss ratio 0.5004, byte miss ratio 0.5004
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-1 cache size     1161, 4153796 req, miss ratio 0.3979, byte miss ratio 0.3979
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-1 cache size     3485, 4153796 req, miss ratio 0.2810, byte miss ratio 0.2810
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-1 cache size    11619, 4153796 req, miss ratio 0.1421, byte miss ratio 0.1421
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-1 cache size    23239, 4153796 req, miss ratio 0.0753, byte miss ratio 0.0753
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-1 cache size    46479, 4153796 req, miss ratio 0.0387, byte miss ratio 0.0387
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-1 cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO cache size      116, 4153796 req, miss ratio 0.6517, byte miss ratio 0.6517
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO cache size      348, 4153796 req, miss ratio 0.5822, byte miss ratio 0.5822
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO cache size     1161, 4153796 req, miss ratio 0.4861, byte miss ratio 0.4861
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO cache size     3485, 4153796 req, miss ratio 0.3665, byte miss ratio 0.3665
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO cache size    11619, 4153796 req, miss ratio 0.2062, byte miss ratio 0.2062
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO cache size    23239, 4153796 req, miss ratio 0.1198, byte miss ratio 0.1198
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO cache size    46479, 4153796 req, miss ratio 0.0600, byte miss ratio 0.0600
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO cache size    92958, 4153796 req, miss ratio 0.0337, byte miss ratio 0.0337
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size      116, 4153796 req, miss ratio 0.5873, byte miss ratio 0.5873
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size      348, 4153796 req, miss ratio 0.5148, byte miss ratio 0.5148
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size     1161, 4153796 req, miss ratio 0.4115, byte miss ratio 0.4115
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size     3485, 4153796 req, miss ratio 0.2927, byte miss ratio 0.2927
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size    11619, 4153796 req, miss ratio 0.1456, byte miss ratio 0.1456
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size    23239, 4153796 req, miss ratio 0.0762, byte miss ratio 0.0762
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size    46479, 4153796 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size    92958, 4153796 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size      116, 4153796 req, miss ratio 0.6125, byte miss ratio 0.6125
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size      348, 4153796 req, miss ratio 0.5540, byte miss ratio 0.5540
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size     1161, 4153796 req, miss ratio 0.4540, byte miss ratio 0.4540
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size     3485, 4153796 req, miss ratio 0.3257, byte miss ratio 0.3257
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size    11619, 4153796 req, miss ratio 0.1641, byte miss ratio 0.1641
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size    23239, 4153796 req, miss ratio 0.0854, byte miss ratio 0.0854
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size    46479, 4153796 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size      116, 4153796 req, miss ratio 0.5909, byte miss ratio 0.5909
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size      348, 4153796 req, miss ratio 0.5287, byte miss ratio 0.5287
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size     1161, 4153796 req, miss ratio 0.4307, byte miss ratio 0.4307
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size     3485, 4153796 req, miss ratio 0.3099, byte miss ratio 0.3099
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size    11619, 4153796 req, miss ratio 0.1591, byte miss ratio 0.1591
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size    23239, 4153796 req, miss ratio 0.0842, byte miss ratio 0.0842
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size    46479, 4153796 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size    92958, 4153796 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size      116, 4153796 req, miss ratio 0.6094, byte miss ratio 0.6094
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size      348, 4153796 req, miss ratio 0.5540, byte miss ratio 0.5540
