result/cdn1_lax.ns209.oracleGeneral.bin.zst LIRS cache size      386, 5059171 req, miss ratio 0.2360, byte miss ratio 0.2360
result/cdn1_lax.ns209.oracleGeneral.bin.zst LIRS cache size     1158, 5059171 req, miss ratio 0.1969, byte miss ratio 0.1969
result/cdn1_lax.ns209.oracleGeneral.bin.zst LIRS cache size     3860, 5059171 req, miss ratio 0.1712, byte miss ratio 0.1712
result/cdn1_lax.ns209.oracleGeneral.bin.zst LIRS cache size    11580, 5059171 req, miss ratio 0.1414, byte miss ratio 0.1414
result/cdn1_lax.ns209.oracleGeneral.bin.zst LIRS cache size    38603, 5059171 req, miss ratio 0.1072, byte miss ratio 0.1072
result/cdn1_lax.ns209.oracleGeneral.bin.zst LIRS cache size    77206, 5059171 req, miss ratio 0.0934, byte miss ratio 0.0934
result/cdn1_lax.ns209.oracleGeneral.bin.zst LIRS cache size   154412, 5059171 req, miss ratio 0.0829, byte miss ratio 0.0829
result/cdn1_lax.ns209.oracleGeneral.bin.zst LIRS cache size   308824, 5059171 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn1_lax.ns209.oracleGeneral.bin.zst clock2 cache size      386, 5059171 req, miss ratio 0.1884, byte miss ratio 0.1884
result/cdn1_lax.ns209.oracleGeneral.bin.zst clock2 cache size     1158, 5059171 req, miss ratio 0.1796, byte miss ratio 0.1796
result/cdn1_lax.ns209.oracleGeneral.bin.zst clock2 cache size     3860, 5059171 req, miss ratio 0.1657, byte miss ratio 0.1657
result/cdn1_lax.ns209.oracleGeneral.bin.zst clock2 cache size    11580, 5059171 req, miss ratio 0.1436, byte miss ratio 0.1436
result/cdn1_lax.ns209.oracleGeneral.bin.zst clock2 cache size    38603, 5059171 req, miss ratio 0.1092, byte miss ratio 0.1092
result/cdn1_lax.ns209.oracleGeneral.bin.zst clock2 cache size    77206, 5059171 req, miss ratio 0.0935, byte miss ratio 0.0935
result/cdn1_lax.ns209.oracleGeneral.bin.zst clock2 cache size   154412, 5059171 req, miss ratio 0.0829, byte miss ratio 0.0829
result/cdn1_lax.ns209.oracleGeneral.bin.zst clock2 cache size   308824, 5059171 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRU cache size      386, 5059171 req, miss ratio 0.1869, byte miss ratio 0.1869
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRU cache size     1158, 5059171 req, miss ratio 0.1784, byte miss ratio 0.1784
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRU cache size     3860, 5059171 req, miss ratio 0.1642, byte miss ratio 0.1642
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRU cache size    11580, 5059171 req, miss ratio 0.1416, byte miss ratio 0.1416
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRU cache size    38603, 5059171 req, miss ratio 0.1094, byte miss ratio 0.1094
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRU cache size    77206, 5059171 req, miss ratio 0.0946, byte miss ratio 0.0946
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRU cache size   154412, 5059171 req, miss ratio 0.0839, byte miss ratio 0.0839
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRU cache size   308824, 5059171 req, miss ratio 0.0768, byte miss ratio 0.0768
result/cdn1_lax.ns209.oracleGeneral.bin.zst Cacheus cache size      386, 5059171 req, miss ratio 0.1882, byte miss ratio 0.1882
result/cdn1_lax.ns209.oracleGeneral.bin.zst Cacheus cache size     1158, 5059171 req, miss ratio 0.1784, byte miss ratio 0.1784
result/cdn1_lax.ns209.oracleGeneral.bin.zst Cacheus cache size     3860, 5059171 req, miss ratio 0.1639, byte miss ratio 0.1639
result/cdn1_lax.ns209.oracleGeneral.bin.zst Cacheus cache size    11580, 5059171 req, miss ratio 0.1464, byte miss ratio 0.1464
result/cdn1_lax.ns209.oracleGeneral.bin.zst Cacheus cache size    38603, 5059171 req, miss ratio 0.1072, byte miss ratio 0.1072
result/cdn1_lax.ns209.oracleGeneral.bin.zst Cacheus cache size    77206, 5059171 req, miss ratio 0.0970, byte miss ratio 0.0970
result/cdn1_lax.ns209.oracleGeneral.bin.zst Cacheus cache size   154412, 5059171 req, miss ratio 0.0861, byte miss ratio 0.0861
result/cdn1_lax.ns209.oracleGeneral.bin.zst Cacheus cache size   308824, 5059171 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn1_lax.ns209.oracleGeneral.bin.zst ARC cache size      386, 5059171 req, miss ratio 0.1873, byte miss ratio 0.1873
result/cdn1_lax.ns209.oracleGeneral.bin.zst ARC cache size     1158, 5059171 req, miss ratio 0.1786, byte miss ratio 0.1786
result/cdn1_lax.ns209.oracleGeneral.bin.zst ARC cache size     3860, 5059171 req, miss ratio 0.1637, byte miss ratio 0.1637
result/cdn1_lax.ns209.oracleGeneral.bin.zst ARC cache size    11580, 5059171 req, miss ratio 0.1403, byte miss ratio 0.1403
