result/cdn1_lax.ns27.oracleGeneral.bin.zst LHD cache size      639, 3502955 req, miss ratio 0.8414, byte miss ratio 0.8414
result/cdn1_lax.ns27.oracleGeneral.bin.zst LHD cache size     1919, 3502955 req, miss ratio 0.8108, byte miss ratio 0.8108
result/cdn1_lax.ns27.oracleGeneral.bin.zst LHD cache size     6399, 3502955 req, miss ratio 0.7229, byte miss ratio 0.7229
result/cdn1_lax.ns27.oracleGeneral.bin.zst LHD cache size    19199, 3502955 req, miss ratio 0.5794, byte miss ratio 0.5794
result/cdn1_lax.ns27.oracleGeneral.bin.zst LHD cache size    63999, 3502955 req, miss ratio 0.3721, byte miss ratio 0.3721
result/cdn1_lax.ns27.oracleGeneral.bin.zst LHD cache size   127999, 3502955 req, miss ratio 0.2658, byte miss ratio 0.2658
result/cdn1_lax.ns27.oracleGeneral.bin.zst LHD cache size   255998, 3502955 req, miss ratio 0.2059, byte miss ratio 0.2059
result/cdn1_lax.ns27.oracleGeneral.bin.zst LHD cache size   511996, 3502955 req, miss ratio 0.1842, byte miss ratio 0.1842
result/cdn1_lax.ns27.oracleGeneral.bin.zst LIRS cache size      639, 3502955 req, miss ratio 0.8414, byte miss ratio 0.8414
result/cdn1_lax.ns27.oracleGeneral.bin.zst LIRS cache size     1919, 3502955 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn1_lax.ns27.oracleGeneral.bin.zst LIRS cache size     6399, 3502955 req, miss ratio 0.7093, byte miss ratio 0.7093
result/cdn1_lax.ns27.oracleGeneral.bin.zst LIRS cache size    19199, 3502955 req, miss ratio 0.5643, byte miss ratio 0.5643
result/cdn1_lax.ns27.oracleGeneral.bin.zst LIRS cache size    63999, 3502955 req, miss ratio 0.3516, byte miss ratio 0.3516
result/cdn1_lax.ns27.oracleGeneral.bin.zst LIRS cache size   127999, 3502955 req, miss ratio 0.2665, byte miss ratio 0.2665
result/cdn1_lax.ns27.oracleGeneral.bin.zst LIRS cache size   255998, 3502955 req, miss ratio 0.2225, byte miss ratio 0.2225
