result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-1 cache size       16, 5749960 req, miss ratio 0.7231, byte miss ratio 0.7231
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-1 cache size       48, 5749960 req, miss ratio 0.6115, byte miss ratio 0.6115
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-1 cache size      160, 5749960 req, miss ratio 0.5054, byte miss ratio 0.5054
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-1 cache size      481, 5749960 req, miss ratio 0.4338, byte miss ratio 0.4338
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-1 cache size     1605, 5749960 req, miss ratio 0.3417, byte miss ratio 0.3417
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-1 cache size     3210, 5749960 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-1 cache size     6420, 5749960 req, miss ratio 0.1031, byte miss ratio 0.1031
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-1 cache size    12840, 5749960 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO cache size       16, 5749960 req, miss ratio 0.6652, byte miss ratio 0.6652
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO cache size       48, 5749960 req, miss ratio 0.5686, byte miss ratio 0.5686
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO cache size      160, 5749960 req, miss ratio 0.4987, byte miss ratio 0.4987
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO cache size      481, 5749960 req, miss ratio 0.4459, byte miss ratio 0.4459
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO cache size     1605, 5749960 req, miss ratio 0.3630, byte miss ratio 0.3630
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO cache size     3210, 5749960 req, miss ratio 0.2767, byte miss ratio 0.2767
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO cache size     6420, 5749960 req, miss ratio 0.1357, byte miss ratio 0.1357
result/cdn1_sjc.ns349.oracleGeneral.bin.zst FIFO cache size    12840, 5749960 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRU cache size       16, 5749960 req, miss ratio 0.6506, byte miss ratio 0.6506
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRU cache size       48, 5749960 req, miss ratio 0.5567, byte miss ratio 0.5567
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRU cache size      160, 5749960 req, miss ratio 0.4880, byte miss ratio 0.4880
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRU cache size      481, 5749960 req, miss ratio 0.4362, byte miss ratio 0.4362
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRU cache size     1605, 5749960 req, miss ratio 0.3536, byte miss ratio 0.3536
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRU cache size     3210, 5749960 req, miss ratio 0.2666, byte miss ratio 0.2666
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRU cache size     6420, 5749960 req, miss ratio 0.1188, byte miss ratio 0.1188
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRU cache size    12840, 5749960 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LHD cache size       16, 5749960 req, miss ratio 0.8275, byte miss ratio 0.8275
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LHD cache size       48, 5749960 req, miss ratio 0.7550, byte miss ratio 0.7550
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LHD cache size      160, 5749960 req, miss ratio 0.5592, byte miss ratio 0.5592
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LHD cache size      481, 5749960 req, miss ratio 0.4385, byte miss ratio 0.4385
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LHD cache size     1605, 5749960 req, miss ratio 0.3497, byte miss ratio 0.3497
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LHD cache size     3210, 5749960 req, miss ratio 0.2609, byte miss ratio 0.2609
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LHD cache size     6420, 5749960 req, miss ratio 0.1116, byte miss ratio 0.1116
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LHD cache size    12840, 5749960 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LeCaR cache size       16, 5749960 req, miss ratio 0.6505, byte miss ratio 0.6505
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LeCaR cache size       48, 5749960 req, miss ratio 0.5561, byte miss ratio 0.5561
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LeCaR cache size      160, 5749960 req, miss ratio 0.4868, byte miss ratio 0.4868
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LeCaR cache size      481, 5749960 req, miss ratio 0.4342, byte miss ratio 0.4342
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LeCaR cache size     1605, 5749960 req, miss ratio 0.3480, byte miss ratio 0.3480
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LeCaR cache size     3210, 5749960 req, miss ratio 0.2561, byte miss ratio 0.2561
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LeCaR cache size     6420, 5749960 req, miss ratio 0.1038, byte miss ratio 0.1038
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LeCaR cache size    12840, 5749960 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size       16, 5749960 req, miss ratio 0.6647, byte miss ratio 0.6647
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size       48, 5749960 req, miss ratio 0.5694, byte miss ratio 0.5694
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size      160, 5749960 req, miss ratio 0.4848, byte miss ratio 0.4848
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size      481, 5749960 req, miss ratio 0.4317, byte miss ratio 0.4317
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size     1605, 5749960 req, miss ratio 0.3484, byte miss ratio 0.3484
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size     3210, 5749960 req, miss ratio 0.2677, byte miss ratio 0.2677
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size     6420, 5749960 req, miss ratio 0.0948, byte miss ratio 0.0948
