result/cdn1_sjc.ns397.oracleGeneral.bin.zst LeCaR cache size       68, 21059890 req, miss ratio 0.9626, byte miss ratio 0.9626
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LeCaR cache size      204, 21059890 req, miss ratio 0.9510, byte miss ratio 0.9510
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LeCaR cache size      680, 21059890 req, miss ratio 0.9124, byte miss ratio 0.9124
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LeCaR cache size     2042, 21059890 req, miss ratio 0.8040, byte miss ratio 0.8040
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LeCaR cache size     6809, 21059890 req, miss ratio 0.4434, byte miss ratio 0.4434
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LeCaR cache size    13618, 21059890 req, miss ratio 0.1707, byte miss ratio 0.1707
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LeCaR cache size    27237, 21059890 req, miss ratio 0.0343, byte miss ratio 0.0343
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LeCaR cache size    54474, 21059890 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRU cache size       68, 21059890 req, miss ratio 0.9626, byte miss ratio 0.9626
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRU cache size      204, 21059890 req, miss ratio 0.9510, byte miss ratio 0.9510
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRU cache size      680, 21059890 req, miss ratio 0.9125, byte miss ratio 0.9125
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRU cache size     2042, 21059890 req, miss ratio 0.8051, byte miss ratio 0.8051
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRU cache size     6809, 21059890 req, miss ratio 0.4667, byte miss ratio 0.4667
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRU cache size    13618, 21059890 req, miss ratio 0.1939, byte miss ratio 0.1939
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRU cache size    27237, 21059890 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LRU cache size    54474, 21059890 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Clock cache size       68, 21059890 req, miss ratio 0.9626, byte miss ratio 0.9626
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Clock cache size      204, 21059890 req, miss ratio 0.9511, byte miss ratio 0.9511
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Clock cache size      680, 21059890 req, miss ratio 0.9127, byte miss ratio 0.9127
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Clock cache size     2042, 21059890 req, miss ratio 0.8033, byte miss ratio 0.8033
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Clock cache size     6809, 21059890 req, miss ratio 0.4530, byte miss ratio 0.4530
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Clock cache size    13618, 21059890 req, miss ratio 0.1861, byte miss ratio 0.1861
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Clock cache size    27237, 21059890 req, miss ratio 0.0378, byte miss ratio 0.0378
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Clock cache size    54474, 21059890 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns397.oracleGeneral.bin.zst clock2 cache size       68, 21059890 req, miss ratio 0.9626, byte miss ratio 0.9626
result/cdn1_sjc.ns397.oracleGeneral.bin.zst clock2 cache size      204, 21059890 req, miss ratio 0.9509, byte miss ratio 0.9509
