result/cdn1_sjc.ns764.oracleGeneral.bin.zst Cacheus cache size      370, 1232453 req, miss ratio 0.8414, byte miss ratio 0.8414
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Cacheus cache size     1111, 1232453 req, miss ratio 0.8054, byte miss ratio 0.8054
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Cacheus cache size     3705, 1232453 req, miss ratio 0.7462, byte miss ratio 0.7462
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Cacheus cache size    11117, 1232453 req, miss ratio 0.6618, byte miss ratio 0.6618
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Cacheus cache size    37059, 1232453 req, miss ratio 0.5313, byte miss ratio 0.5313
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Cacheus cache size    74118, 1232453 req, miss ratio 0.4494, byte miss ratio 0.4494
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Cacheus cache size   148237, 1232453 req, miss ratio 0.3509, byte miss ratio 0.3509
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Cacheus cache size   296474, 1232453 req, miss ratio 0.3045, byte miss ratio 0.3045
result/cdn1_sjc.ns764.oracleGeneral.bin.zst clock2 cache size      370, 1232453 req, miss ratio 0.8356, byte miss ratio 0.8356
result/cdn1_sjc.ns764.oracleGeneral.bin.zst clock2 cache size     1111, 1232453 req, miss ratio 0.8065, byte miss ratio 0.8065
result/cdn1_sjc.ns764.oracleGeneral.bin.zst clock2 cache size     3705, 1232453 req, miss ratio 0.7478, byte miss ratio 0.7478
result/cdn1_sjc.ns764.oracleGeneral.bin.zst clock2 cache size    11117, 1232453 req, miss ratio 0.6625, byte miss ratio 0.6625
result/cdn1_sjc.ns764.oracleGeneral.bin.zst clock2 cache size    37059, 1232453 req, miss ratio 0.5347, byte miss ratio 0.5347
result/cdn1_sjc.ns764.oracleGeneral.bin.zst clock2 cache size    74118, 1232453 req, miss ratio 0.4382, byte miss ratio 0.4382
result/cdn1_sjc.ns764.oracleGeneral.bin.zst clock2 cache size   148237, 1232453 req, miss ratio 0.3512, byte miss ratio 0.3512
result/cdn1_sjc.ns764.oracleGeneral.bin.zst clock2 cache size   296474, 1232453 req, miss ratio 0.3033, byte miss ratio 0.3033
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Clock cache size      370, 1232453 req, miss ratio 0.8359, byte miss ratio 0.8359
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Clock cache size     1111, 1232453 req, miss ratio 0.8072, byte miss ratio 0.8072
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Clock cache size     3705, 1232453 req, miss ratio 0.7496, byte miss ratio 0.7496
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Clock cache size    11117, 1232453 req, miss ratio 0.6642, byte miss ratio 0.6642
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Clock cache size    37059, 1232453 req, miss ratio 0.5433, byte miss ratio 0.5433
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Clock cache size    74118, 1232453 req, miss ratio 0.4508, byte miss ratio 0.4508
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Clock cache size   148237, 1232453 req, miss ratio 0.3552, byte miss ratio 0.3552
result/cdn1_sjc.ns764.oracleGeneral.bin.zst Clock cache size   296474, 1232453 req, miss ratio 0.3033, byte miss ratio 0.3033
result/cdn1_sjc.ns764.oracleGeneral.bin.zst ARC cache size      370, 1232453 req, miss ratio 0.8360, byte miss ratio 0.8360
result/cdn1_sjc.ns764.oracleGeneral.bin.zst ARC cache size     1111, 1232453 req, miss ratio 0.8057, byte miss ratio 0.8057
result/cdn1_sjc.ns764.oracleGeneral.bin.zst ARC cache size     3705, 1232453 req, miss ratio 0.7469, byte miss ratio 0.7469
result/cdn1_sjc.ns764.oracleGeneral.bin.zst ARC cache size    11117, 1232453 req, miss ratio 0.6634, byte miss ratio 0.6634
result/cdn1_sjc.ns764.oracleGeneral.bin.zst ARC cache size    37059, 1232453 req, miss ratio 0.5400, byte miss ratio 0.5400
result/cdn1_sjc.ns764.oracleGeneral.bin.zst ARC cache size    74118, 1232453 req, miss ratio 0.4374, byte miss ratio 0.4374
result/cdn1_sjc.ns764.oracleGeneral.bin.zst ARC cache size   148237, 1232453 req, miss ratio 0.3465, byte miss ratio 0.3465
result/cdn1_sjc.ns764.oracleGeneral.bin.zst ARC cache size   296474, 1232453 req, miss ratio 0.3033, byte miss ratio 0.3033
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-1 cache size      370, 1232453 req, miss ratio 0.8504, byte miss ratio 0.8504
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-1 cache size     1111, 1232453 req, miss ratio 0.8157, byte miss ratio 0.8157
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-1 cache size     3705, 1232453 req, miss ratio 0.7569, byte miss ratio 0.7569
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-1 cache size    11117, 1232453 req, miss ratio 0.6755, byte miss ratio 0.6755
