result/cdn2_allcolo.ns1569.oracleGeneral.zst Clock cache size      102, 1244890 req, miss ratio 0.1283, byte miss ratio 0.1283
result/cdn2_allcolo.ns1569.oracleGeneral.zst Clock cache size      307, 1244890 req, miss ratio 0.0941, byte miss ratio 0.0941
result/cdn2_allcolo.ns1569.oracleGeneral.zst Clock cache size     1024, 1244890 req, miss ratio 0.0884, byte miss ratio 0.0884
result/cdn2_allcolo.ns1569.oracleGeneral.zst Clock cache size     3074, 1244890 req, miss ratio 0.0852, byte miss ratio 0.0852
result/cdn2_allcolo.ns1569.oracleGeneral.zst Clock cache size    10247, 1244890 req, miss ratio 0.0829, byte miss ratio 0.0829
result/cdn2_allcolo.ns1569.oracleGeneral.zst Clock cache size    20495, 1244890 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns1569.oracleGeneral.zst Clock cache size    40990, 1244890 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_allcolo.ns1569.oracleGeneral.zst Clock cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRU cache size      102, 1244890 req, miss ratio 0.1313, byte miss ratio 0.1313
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRU cache size      307, 1244890 req, miss ratio 0.0948, byte miss ratio 0.0948
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRU cache size     1024, 1244890 req, miss ratio 0.0886, byte miss ratio 0.0886
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRU cache size     3074, 1244890 req, miss ratio 0.0853, byte miss ratio 0.0853
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRU cache size    10247, 1244890 req, miss ratio 0.0829, byte miss ratio 0.0829
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRU cache size    20495, 1244890 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRU cache size    40990, 1244890 req, miss ratio 0.0824, byte miss ratio 0.0824
