result/cdn2_allcolo.ns1605.oracleGeneral.zst clock2 cache size        7, 1724371 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn2_allcolo.ns1605.oracleGeneral.zst clock2 cache size       21, 1724371 req, miss ratio 0.1530, byte miss ratio 0.1530
result/cdn2_allcolo.ns1605.oracleGeneral.zst clock2 cache size       70, 1724371 req, miss ratio 0.0968, byte miss ratio 0.0968
result/cdn2_allcolo.ns1605.oracleGeneral.zst clock2 cache size      212, 1724371 req, miss ratio 0.0597, byte miss ratio 0.0597
result/cdn2_allcolo.ns1605.oracleGeneral.zst clock2 cache size      708, 1724371 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cdn2_allcolo.ns1605.oracleGeneral.zst clock2 cache size     1416, 1724371 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1605.oracleGeneral.zst clock2 cache size     2832, 1724371 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns1605.oracleGeneral.zst clock2 cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst LHD cache size        7, 1724371 req, miss ratio 0.2085, byte miss ratio 0.2085
result/cdn2_allcolo.ns1605.oracleGeneral.zst LHD cache size       21, 1724371 req, miss ratio 0.1654, byte miss ratio 0.1654
result/cdn2_allcolo.ns1605.oracleGeneral.zst LHD cache size       70, 1724371 req, miss ratio 0.0976, byte miss ratio 0.0976
result/cdn2_allcolo.ns1605.oracleGeneral.zst LHD cache size      212, 1724371 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_allcolo.ns1605.oracleGeneral.zst LHD cache size      708, 1724371 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn2_allcolo.ns1605.oracleGeneral.zst LHD cache size     1416, 1724371 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_allcolo.ns1605.oracleGeneral.zst LHD cache size     2832, 1724371 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn2_allcolo.ns1605.oracleGeneral.zst LHD cache size     5664, 1724371 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns1605.oracleGeneral.zst Cacheus cache size        7, 1724371 req, miss ratio 0.1952, byte miss ratio 0.1952
result/cdn2_allcolo.ns1605.oracleGeneral.zst Cacheus cache size       21, 1724371 req, miss ratio 0.1511, byte miss ratio 0.1511
