result/cdn2_allcolo.ns1693.oracleGeneral.zst ARC cache size     1528, 1544613 req, miss ratio 0.9901, byte miss ratio 0.9901
result/cdn2_allcolo.ns1693.oracleGeneral.zst ARC cache size     4586, 1544613 req, miss ratio 0.9901, byte miss ratio 0.9901
result/cdn2_allcolo.ns1693.oracleGeneral.zst ARC cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst ARC cache size    45867, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst ARC cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst ARC cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst ARC cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst ARC cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst Clock cache size     1528, 1544613 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns1693.oracleGeneral.zst Clock cache size     4586, 1544613 req, miss ratio 0.9901, byte miss ratio 0.9901
result/cdn2_allcolo.ns1693.oracleGeneral.zst Clock cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst Clock cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst Clock cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst Clock cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst Clock cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst Clock cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst LeCaR cache size     1528, 1544613 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns1693.oracleGeneral.zst LeCaR cache size     4586, 1544613 req, miss ratio 0.9901, byte miss ratio 0.9901
result/cdn2_allcolo.ns1693.oracleGeneral.zst LeCaR cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst LeCaR cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst LeCaR cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst LeCaR cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst LeCaR cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst LeCaR cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRU cache size     1528, 1544613 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRU cache size     4586, 1544613 req, miss ratio 0.9902, byte miss ratio 0.9902
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRU cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
