result/cdn2_allcolo.ns198.oracleGeneral.zst LRU cache size     1356, 95487082 req, miss ratio 0.7259, byte miss ratio 0.7259
result/cdn2_allcolo.ns198.oracleGeneral.zst LRU cache size     4069, 95487082 req, miss ratio 0.5826, byte miss ratio 0.5826
result/cdn2_allcolo.ns198.oracleGeneral.zst LRU cache size    13563, 95487082 req, miss ratio 0.3878, byte miss ratio 0.3878
result/cdn2_allcolo.ns198.oracleGeneral.zst LRU cache size    40691, 95487082 req, miss ratio 0.2166, byte miss ratio 0.2166
result/cdn2_allcolo.ns198.oracleGeneral.zst LRU cache size   135637, 95487082 req, miss ratio 0.0870, byte miss ratio 0.0870
result/cdn2_allcolo.ns198.oracleGeneral.zst LRU cache size   271275, 95487082 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn2_allcolo.ns198.oracleGeneral.zst LRU cache size   542551, 95487082 req, miss ratio 0.0303, byte miss ratio 0.0303
result/cdn2_allcolo.ns198.oracleGeneral.zst LRU cache size  1085103, 95487082 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_allcolo.ns198.oracleGeneral.zst LHD cache size     1356, 95487082 req, miss ratio 0.6419, byte miss ratio 0.6419
result/cdn2_allcolo.ns198.oracleGeneral.zst LHD cache size     4069, 95487082 req, miss ratio 0.4994, byte miss ratio 0.4994
result/cdn2_allcolo.ns198.oracleGeneral.zst LHD cache size    13563, 95487082 req, miss ratio 0.3278, byte miss ratio 0.3278
result/cdn2_allcolo.ns198.oracleGeneral.zst LHD cache size    40691, 95487082 req, miss ratio 0.1876, byte miss ratio 0.1876
result/cdn2_allcolo.ns198.oracleGeneral.zst LHD cache size   135637, 95487082 req, miss ratio 0.0835, byte miss ratio 0.0835
result/cdn2_allcolo.ns198.oracleGeneral.zst LHD cache size   271275, 95487082 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_allcolo.ns198.oracleGeneral.zst LHD cache size   542551, 95487082 req, miss ratio 0.0266, byte miss ratio 0.0266
result/cdn2_allcolo.ns198.oracleGeneral.zst LHD cache size  1085103, 95487082 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO cache size     1356, 95487082 req, miss ratio 0.7550, byte miss ratio 0.7550
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO cache size     4069, 95487082 req, miss ratio 0.6239, byte miss ratio 0.6239
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO cache size    13563, 95487082 req, miss ratio 0.4406, byte miss ratio 0.4406
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO cache size    40691, 95487082 req, miss ratio 0.2655, byte miss ratio 0.2655
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO cache size   135637, 95487082 req, miss ratio 0.1156, byte miss ratio 0.1156
