result/cdn2_allcolo.ns2265.oracleGeneral.zst LHD cache size       90, 2147283 req, miss ratio 0.4364, byte miss ratio 0.4364
result/cdn2_allcolo.ns2265.oracleGeneral.zst LHD cache size      270, 2147283 req, miss ratio 0.3551, byte miss ratio 0.3551
result/cdn2_allcolo.ns2265.oracleGeneral.zst LHD cache size      902, 2147283 req, miss ratio 0.2635, byte miss ratio 0.2635
result/cdn2_allcolo.ns2265.oracleGeneral.zst LHD cache size     2707, 2147283 req, miss ratio 0.1869, byte miss ratio 0.1869
result/cdn2_allcolo.ns2265.oracleGeneral.zst LHD cache size     9023, 2147283 req, miss ratio 0.1134, byte miss ratio 0.1134
result/cdn2_allcolo.ns2265.oracleGeneral.zst LHD cache size    18046, 2147283 req, miss ratio 0.0793, byte miss ratio 0.0793
result/cdn2_allcolo.ns2265.oracleGeneral.zst LHD cache size    36093, 2147283 req, miss ratio 0.0536, byte miss ratio 0.0536
result/cdn2_allcolo.ns2265.oracleGeneral.zst LHD cache size    72187, 2147283 req, miss ratio 0.0431, byte miss ratio 0.0431
result/cdn2_allcolo.ns2265.oracleGeneral.zst LeCaR cache size       90, 2147283 req, miss ratio 0.3985, byte miss ratio 0.3985
result/cdn2_allcolo.ns2265.oracleGeneral.zst LeCaR cache size      270, 2147283 req, miss ratio 0.3384, byte miss ratio 0.3384
result/cdn2_allcolo.ns2265.oracleGeneral.zst LeCaR cache size      902, 2147283 req, miss ratio 0.2616, byte miss ratio 0.2616
result/cdn2_allcolo.ns2265.oracleGeneral.zst LeCaR cache size     2707, 2147283 req, miss ratio 0.1866, byte miss ratio 0.1866
result/cdn2_allcolo.ns2265.oracleGeneral.zst LeCaR cache size     9023, 2147283 req, miss ratio 0.1128, byte miss ratio 0.1128
result/cdn2_allcolo.ns2265.oracleGeneral.zst LeCaR cache size    18046, 2147283 req, miss ratio 0.0778, byte miss ratio 0.0778
result/cdn2_allcolo.ns2265.oracleGeneral.zst LeCaR cache size    36093, 2147283 req, miss ratio 0.0531, byte miss ratio 0.0531
result/cdn2_allcolo.ns2265.oracleGeneral.zst LeCaR cache size    72187, 2147283 req, miss ratio 0.0426, byte miss ratio 0.0426
result/cdn2_allcolo.ns2265.oracleGeneral.zst Clock cache size       90, 2147283 req, miss ratio 0.4023, byte miss ratio 0.4023
result/cdn2_allcolo.ns2265.oracleGeneral.zst Clock cache size      270, 2147283 req, miss ratio 0.3427, byte miss ratio 0.3427
result/cdn2_allcolo.ns2265.oracleGeneral.zst Clock cache size      902, 2147283 req, miss ratio 0.2663, byte miss ratio 0.2663
result/cdn2_allcolo.ns2265.oracleGeneral.zst Clock cache size     2707, 2147283 req, miss ratio 0.1913, byte miss ratio 0.1913
result/cdn2_allcolo.ns2265.oracleGeneral.zst Clock cache size     9023, 2147283 req, miss ratio 0.1164, byte miss ratio 0.1164
result/cdn2_allcolo.ns2265.oracleGeneral.zst Clock cache size    18046, 2147283 req, miss ratio 0.0816, byte miss ratio 0.0816
result/cdn2_allcolo.ns2265.oracleGeneral.zst Clock cache size    36093, 2147283 req, miss ratio 0.0546, byte miss ratio 0.0546
result/cdn2_allcolo.ns2265.oracleGeneral.zst Clock cache size    72187, 2147283 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2265.oracleGeneral.zst Cacheus cache size       90, 2147283 req, miss ratio 0.3971, byte miss ratio 0.3971
result/cdn2_allcolo.ns2265.oracleGeneral.zst Cacheus cache size      270, 2147283 req, miss ratio 0.3376, byte miss ratio 0.3376
result/cdn2_allcolo.ns2265.oracleGeneral.zst Cacheus cache size      902, 2147283 req, miss ratio 0.2624, byte miss ratio 0.2624
result/cdn2_allcolo.ns2265.oracleGeneral.zst Cacheus cache size     2707, 2147283 req, miss ratio 0.1865, byte miss ratio 0.1865
result/cdn2_allcolo.ns2265.oracleGeneral.zst Cacheus cache size     9023, 2147283 req, miss ratio 0.1129, byte miss ratio 0.1129
result/cdn2_allcolo.ns2265.oracleGeneral.zst Cacheus cache size    18046, 2147283 req, miss ratio 0.0782, byte miss ratio 0.0782
result/cdn2_allcolo.ns2265.oracleGeneral.zst Cacheus cache size    36093, 2147283 req, miss ratio 0.0533, byte miss ratio 0.0533
result/cdn2_allcolo.ns2265.oracleGeneral.zst Cacheus cache size    72187, 2147283 req, miss ratio 0.0426, byte miss ratio 0.0426
result/cdn2_allcolo.ns2265.oracleGeneral.zst LIRS cache size       90, 2147283 req, miss ratio 0.4007, byte miss ratio 0.4007
result/cdn2_allcolo.ns2265.oracleGeneral.zst LIRS cache size      270, 2147283 req, miss ratio 0.3407, byte miss ratio 0.3407
result/cdn2_allcolo.ns2265.oracleGeneral.zst LIRS cache size      902, 2147283 req, miss ratio 0.2645, byte miss ratio 0.2645
result/cdn2_allcolo.ns2265.oracleGeneral.zst LIRS cache size     2707, 2147283 req, miss ratio 0.1911, byte miss ratio 0.1911
result/cdn2_allcolo.ns2265.oracleGeneral.zst LIRS cache size     9023, 2147283 req, miss ratio 0.1168, byte miss ratio 0.1168
result/cdn2_allcolo.ns2265.oracleGeneral.zst LIRS cache size    18046, 2147283 req, miss ratio 0.0799, byte miss ratio 0.0799
result/cdn2_allcolo.ns2265.oracleGeneral.zst LIRS cache size    36093, 2147283 req, miss ratio 0.0536, byte miss ratio 0.0536
result/cdn2_allcolo.ns2265.oracleGeneral.zst LIRS cache size    72187, 2147283 req, miss ratio 0.0428, byte miss ratio 0.0428
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-1 cache size       90, 2147283 req, miss ratio 0.3869, byte miss ratio 0.3869
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-1 cache size      270, 2147283 req, miss ratio 0.3254, byte miss ratio 0.3254
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-1 cache size      902, 2147283 req, miss ratio 0.2493, byte miss ratio 0.2493
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-1 cache size     2707, 2147283 req, miss ratio 0.1772, byte miss ratio 0.1772
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-1 cache size     9023, 2147283 req, miss ratio 0.1063, byte miss ratio 0.1063
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-1 cache size    18046, 2147283 req, miss ratio 0.0735, byte miss ratio 0.0735
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-1 cache size    36093, 2147283 req, miss ratio 0.0519, byte miss ratio 0.0519
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-1 cache size    72187, 2147283 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2265.oracleGeneral.zst ARC cache size       90, 2147283 req, miss ratio 0.3977, byte miss ratio 0.3977
result/cdn2_allcolo.ns2265.oracleGeneral.zst ARC cache size      270, 2147283 req, miss ratio 0.3374, byte miss ratio 0.3374
result/cdn2_allcolo.ns2265.oracleGeneral.zst ARC cache size      902, 2147283 req, miss ratio 0.2615, byte miss ratio 0.2615
result/cdn2_allcolo.ns2265.oracleGeneral.zst ARC cache size     2707, 2147283 req, miss ratio 0.1882, byte miss ratio 0.1882
result/cdn2_allcolo.ns2265.oracleGeneral.zst ARC cache size     9023, 2147283 req, miss ratio 0.1152, byte miss ratio 0.1152
result/cdn2_allcolo.ns2265.oracleGeneral.zst ARC cache size    18046, 2147283 req, miss ratio 0.0794, byte miss ratio 0.0794
result/cdn2_allcolo.ns2265.oracleGeneral.zst ARC cache size    36093, 2147283 req, miss ratio 0.0529, byte miss ratio 0.0529
result/cdn2_allcolo.ns2265.oracleGeneral.zst ARC cache size    72187, 2147283 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRU cache size       90, 2147283 req, miss ratio 0.4017, byte miss ratio 0.4017
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRU cache size      270, 2147283 req, miss ratio 0.3420, byte miss ratio 0.3420
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRU cache size      902, 2147283 req, miss ratio 0.2656, byte miss ratio 0.2656
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRU cache size     2707, 2147283 req, miss ratio 0.1904, byte miss ratio 0.1904
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRU cache size     9023, 2147283 req, miss ratio 0.1160, byte miss ratio 0.1160
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRU cache size    18046, 2147283 req, miss ratio 0.0811, byte miss ratio 0.0811
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRU cache size    36093, 2147283 req, miss ratio 0.0542, byte miss ratio 0.0542
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRU cache size    72187, 2147283 req, miss ratio 0.0427, byte miss ratio 0.0427
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO cache size       90, 2147283 req, miss ratio 0.4152, byte miss ratio 0.4152
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO cache size      270, 2147283 req, miss ratio 0.3580, byte miss ratio 0.3580
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO cache size      902, 2147283 req, miss ratio 0.2850, byte miss ratio 0.2850
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO cache size     2707, 2147283 req, miss ratio 0.2115, byte miss ratio 0.2115
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO cache size     9023, 2147283 req, miss ratio 0.1348, byte miss ratio 0.1348
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO cache size    18046, 2147283 req, miss ratio 0.0976, byte miss ratio 0.0976
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO cache size    36093, 2147283 req, miss ratio 0.0662, byte miss ratio 0.0662
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO cache size    72187, 2147283 req, miss ratio 0.0475, byte miss ratio 0.0475
result/cdn2_allcolo.ns2265.oracleGeneral.zst clock2 cache size       90, 2147283 req, miss ratio 0.3932, byte miss ratio 0.3932
result/cdn2_allcolo.ns2265.oracleGeneral.zst clock2 cache size      270, 2147283 req, miss ratio 0.3315, byte miss ratio 0.3315
result/cdn2_allcolo.ns2265.oracleGeneral.zst clock2 cache size      902, 2147283 req, miss ratio 0.2551, byte miss ratio 0.2551
result/cdn2_allcolo.ns2265.oracleGeneral.zst clock2 cache size     2707, 2147283 req, miss ratio 0.1817, byte miss ratio 0.1817
result/cdn2_allcolo.ns2265.oracleGeneral.zst clock2 cache size     9023, 2147283 req, miss ratio 0.1102, byte miss ratio 0.1102
result/cdn2_allcolo.ns2265.oracleGeneral.zst clock2 cache size    18046, 2147283 req, miss ratio 0.0763, byte miss ratio 0.0763
result/cdn2_allcolo.ns2265.oracleGeneral.zst clock2 cache size    36093, 2147283 req, miss ratio 0.0524, byte miss ratio 0.0524
result/cdn2_allcolo.ns2265.oracleGeneral.zst clock2 cache size    72187, 2147283 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d-1 cache size       90, 2147283 req, miss ratio 0.3871, byte miss ratio 0.3871
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d-1 cache size      270, 2147283 req, miss ratio 0.3253, byte miss ratio 0.3253
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d-1 cache size      902, 2147283 req, miss ratio 0.2493, byte miss ratio 0.2493
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d-1 cache size     2707, 2147283 req, miss ratio 0.1772, byte miss ratio 0.1772
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d-1 cache size     9023, 2147283 req, miss ratio 0.1063, byte miss ratio 0.1063
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d-1 cache size    18046, 2147283 req, miss ratio 0.0735, byte miss ratio 0.0735
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d-1 cache size    36093, 2147283 req, miss ratio 0.0519, byte miss ratio 0.0519
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d-1 cache size    72187, 2147283 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRB cache size       90, 2147283 req, miss ratio 0.3727, byte miss ratio 0.3727
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRB cache size      270, 2147283 req, miss ratio 0.3117, byte miss ratio 0.3117
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRB cache size      902, 2147283 req, miss ratio 0.2370, byte miss ratio 0.2370
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRB cache size     2707, 2147283 req, miss ratio 0.1692, byte miss ratio 0.1692
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRB cache size     9023, 2147283 req, miss ratio 0.1034, byte miss ratio 0.1034
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRB cache size    18046, 2147283 req, miss ratio 0.0753, byte miss ratio 0.0753
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRB cache size    36093, 2147283 req, miss ratio 0.0515, byte miss ratio 0.0515
result/cdn2_allcolo.ns2265.oracleGeneral.zst LRB cache size    72187, 2147283 req, miss ratio 0.0427, byte miss ratio 0.0427
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       90, 2147283 req, miss ratio 0.4152, byte miss ratio 0.4152
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      270, 2147283 req, miss ratio 0.3336, byte miss ratio 0.3336
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      902, 2147283 req, miss ratio 0.2578, byte miss ratio 0.2578
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2707, 2147283 req, miss ratio 0.1864, byte miss ratio 0.1864
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9023, 2147283 req, miss ratio 0.1142, byte miss ratio 0.1142
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18046, 2147283 req, miss ratio 0.0798, byte miss ratio 0.0798
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36093, 2147283 req, miss ratio 0.0554, byte miss ratio 0.0554
result/cdn2_allcolo.ns2265.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    72187, 2147283 req, miss ratio 0.0453, byte miss ratio 0.0453
result/cdn2_allcolo.ns2265.oracleGeneral.zst TwoQ cache size       90, 2147283 req, miss ratio 0.3786, byte miss ratio 0.3786
result/cdn2_allcolo.ns2265.oracleGeneral.zst TwoQ cache size      270, 2147283 req, miss ratio 0.3171, byte miss ratio 0.3171
result/cdn2_allcolo.ns2265.oracleGeneral.zst TwoQ cache size      902, 2147283 req, miss ratio 0.2432, byte miss ratio 0.2432
result/cdn2_allcolo.ns2265.oracleGeneral.zst TwoQ cache size     2707, 2147283 req, miss ratio 0.1745, byte miss ratio 0.1745
result/cdn2_allcolo.ns2265.oracleGeneral.zst TwoQ cache size     9023, 2147283 req, miss ratio 0.1059, byte miss ratio 0.1059
result/cdn2_allcolo.ns2265.oracleGeneral.zst TwoQ cache size    18046, 2147283 req, miss ratio 0.0759, byte miss ratio 0.0759
result/cdn2_allcolo.ns2265.oracleGeneral.zst TwoQ cache size    36093, 2147283 req, miss ratio 0.0585, byte miss ratio 0.0585
result/cdn2_allcolo.ns2265.oracleGeneral.zst TwoQ cache size    72187, 2147283 req, miss ratio 0.0475, byte miss ratio 0.0475
result/cdn2_allcolo.ns2265.oracleGeneral.zst S4LRU(25:25:25:25) cache size       90, 2147283 req, miss ratio 0.3800, byte miss ratio 0.3800
result/cdn2_allcolo.ns2265.oracleGeneral.zst S4LRU(25:25:25:25) cache size      270, 2147283 req, miss ratio 0.3200, byte miss ratio 0.3200
result/cdn2_allcolo.ns2265.oracleGeneral.zst S4LRU(25:25:25:25) cache size      902, 2147283 req, miss ratio 0.2468, byte miss ratio 0.2468
result/cdn2_allcolo.ns2265.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2707, 2147283 req, miss ratio 0.1771, byte miss ratio 0.1771
result/cdn2_allcolo.ns2265.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9023, 2147283 req, miss ratio 0.1079, byte miss ratio 0.1079
result/cdn2_allcolo.ns2265.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18046, 2147283 req, miss ratio 0.0750, byte miss ratio 0.0750
result/cdn2_allcolo.ns2265.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36093, 2147283 req, miss ratio 0.0520, byte miss ratio 0.0520
result/cdn2_allcolo.ns2265.oracleGeneral.zst S4LRU(25:25:25:25) cache size    72187, 2147283 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2265.oracleGeneral.zst B-LRU cache size       90, 2147283 req, miss ratio 0.4166, byte miss ratio 0.4166
result/cdn2_allcolo.ns2265.oracleGeneral.zst B-LRU cache size      270, 2147283 req, miss ratio 0.3568, byte miss ratio 0.3568
result/cdn2_allcolo.ns2265.oracleGeneral.zst B-LRU cache size      902, 2147283 req, miss ratio 0.2802, byte miss ratio 0.2802
result/cdn2_allcolo.ns2265.oracleGeneral.zst B-LRU cache size     2707, 2147283 req, miss ratio 0.2051, byte miss ratio 0.2051
result/cdn2_allcolo.ns2265.oracleGeneral.zst B-LRU cache size     9023, 2147283 req, miss ratio 0.1316, byte miss ratio 0.1316
result/cdn2_allcolo.ns2265.oracleGeneral.zst B-LRU cache size    18046, 2147283 req, miss ratio 0.0982, byte miss ratio 0.0982
result/cdn2_allcolo.ns2265.oracleGeneral.zst B-LRU cache size    36093, 2147283 req, miss ratio 0.0763, byte miss ratio 0.0763
result/cdn2_allcolo.ns2265.oracleGeneral.zst B-LRU cache size    72187, 2147283 req, miss ratio 0.0714, byte miss ratio 0.0714
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d cache size       90, 2147283 req, miss ratio 0.3756, byte miss ratio 0.3756
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d cache size      270, 2147283 req, miss ratio 0.3139, byte miss ratio 0.3139
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d cache size      902, 2147283 req, miss ratio 0.2400, byte miss ratio 0.2400
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d cache size     2707, 2147283 req, miss ratio 0.1719, byte miss ratio 0.1719
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d cache size     9023, 2147283 req, miss ratio 0.1028, byte miss ratio 0.1028
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d cache size    18046, 2147283 req, miss ratio 0.0715, byte miss ratio 0.0715
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d cache size    36093, 2147283 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO-d cache size    72187, 2147283 req, miss ratio 0.0427, byte miss ratio 0.0427
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO cache size       90, 2147283 req, miss ratio 0.3747, byte miss ratio 0.3747
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO cache size      270, 2147283 req, miss ratio 0.3148, byte miss ratio 0.3148
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO cache size      902, 2147283 req, miss ratio 0.2405, byte miss ratio 0.2405
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO cache size     2707, 2147283 req, miss ratio 0.1722, byte miss ratio 0.1722
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO cache size     9023, 2147283 req, miss ratio 0.1028, byte miss ratio 0.1028
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO cache size    18046, 2147283 req, miss ratio 0.0715, byte miss ratio 0.0715
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO cache size    36093, 2147283 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn2_allcolo.ns2265.oracleGeneral.zst S3FIFO cache size    72187, 2147283 req, miss ratio 0.0427, byte miss ratio 0.0427
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       90, 2147283 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      270, 2147283 req, miss ratio 0.3234, byte miss ratio 0.3234
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      902, 2147283 req, miss ratio 0.2486, byte miss ratio 0.2486
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2707, 2147283 req, miss ratio 0.1864, byte miss ratio 0.1864
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9023, 2147283 req, miss ratio 0.1072, byte miss ratio 0.1072
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18046, 2147283 req, miss ratio 0.0763, byte miss ratio 0.0763
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36093, 2147283 req, miss ratio 0.0555, byte miss ratio 0.0555
