result/cdn2_allcolo.ns2473.oracleGeneral.zst LRU cache size       19, 5083712 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRU cache size       58, 5083712 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRU cache size      194, 5083712 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRU cache size      583, 5083712 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRU cache size     1945, 5083712 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRU cache size     3891, 5083712 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRU cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRU cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst clock2 cache size       19, 5083712 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn2_allcolo.ns2473.oracleGeneral.zst clock2 cache size       58, 5083712 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns2473.oracleGeneral.zst clock2 cache size      194, 5083712 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_allcolo.ns2473.oracleGeneral.zst clock2 cache size      583, 5083712 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns2473.oracleGeneral.zst clock2 cache size     1945, 5083712 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_allcolo.ns2473.oracleGeneral.zst clock2 cache size     3891, 5083712 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns2473.oracleGeneral.zst clock2 cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst clock2 cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst LHD cache size       19, 5083712 req, miss ratio 0.0226, byte miss ratio 0.0226
result/cdn2_allcolo.ns2473.oracleGeneral.zst LHD cache size       58, 5083712 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_allcolo.ns2473.oracleGeneral.zst LHD cache size      194, 5083712 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns2473.oracleGeneral.zst LHD cache size      583, 5083712 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns2473.oracleGeneral.zst LHD cache size     1945, 5083712 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns2473.oracleGeneral.zst LHD cache size     3891, 5083712 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns2473.oracleGeneral.zst LHD cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst LHD cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-1 cache size       19, 5083712 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-1 cache size       58, 5083712 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-1 cache size      194, 5083712 req, miss ratio 0.0075, byte miss ratio 0.0075
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-1 cache size      583, 5083712 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-1 cache size     1945, 5083712 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-1 cache size     3891, 5083712 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-1 cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-1 cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst ARC cache size       19, 5083712 req, miss ratio 0.0179, byte miss ratio 0.0179
result/cdn2_allcolo.ns2473.oracleGeneral.zst ARC cache size       58, 5083712 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns2473.oracleGeneral.zst ARC cache size      194, 5083712 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns2473.oracleGeneral.zst ARC cache size      583, 5083712 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns2473.oracleGeneral.zst ARC cache size     1945, 5083712 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns2473.oracleGeneral.zst ARC cache size     3891, 5083712 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns2473.oracleGeneral.zst ARC cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst ARC cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst LIRS cache size       19, 5083712 req, miss ratio 0.0176, byte miss ratio 0.0176
result/cdn2_allcolo.ns2473.oracleGeneral.zst LIRS cache size       58, 5083712 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns2473.oracleGeneral.zst LIRS cache size      194, 5083712 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns2473.oracleGeneral.zst LIRS cache size      583, 5083712 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns2473.oracleGeneral.zst LIRS cache size     1945, 5083712 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns2473.oracleGeneral.zst LIRS cache size     3891, 5083712 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns2473.oracleGeneral.zst LIRS cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst LIRS cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst FIFO cache size       19, 5083712 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns2473.oracleGeneral.zst FIFO cache size       58, 5083712 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn2_allcolo.ns2473.oracleGeneral.zst FIFO cache size      194, 5083712 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_allcolo.ns2473.oracleGeneral.zst FIFO cache size      583, 5083712 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_allcolo.ns2473.oracleGeneral.zst FIFO cache size     1945, 5083712 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns2473.oracleGeneral.zst FIFO cache size     3891, 5083712 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_allcolo.ns2473.oracleGeneral.zst FIFO cache size     7782, 5083712 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns2473.oracleGeneral.zst FIFO cache size    15565, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst Clock cache size       19, 5083712 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns2473.oracleGeneral.zst Clock cache size       58, 5083712 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns2473.oracleGeneral.zst Clock cache size      194, 5083712 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns2473.oracleGeneral.zst Clock cache size      583, 5083712 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns2473.oracleGeneral.zst Clock cache size     1945, 5083712 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns2473.oracleGeneral.zst Clock cache size     3891, 5083712 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns2473.oracleGeneral.zst Clock cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst Clock cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst LeCaR cache size       19, 5083712 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn2_allcolo.ns2473.oracleGeneral.zst LeCaR cache size       58, 5083712 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns2473.oracleGeneral.zst LeCaR cache size      194, 5083712 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns2473.oracleGeneral.zst LeCaR cache size      583, 5083712 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns2473.oracleGeneral.zst LeCaR cache size     1945, 5083712 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns2473.oracleGeneral.zst LeCaR cache size     3891, 5083712 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns2473.oracleGeneral.zst LeCaR cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst LeCaR cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst Cacheus cache size       19, 5083712 req, miss ratio 0.0195, byte miss ratio 0.0195
result/cdn2_allcolo.ns2473.oracleGeneral.zst Cacheus cache size       58, 5083712 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns2473.oracleGeneral.zst Cacheus cache size      194, 5083712 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns2473.oracleGeneral.zst Cacheus cache size      583, 5083712 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns2473.oracleGeneral.zst Cacheus cache size     1945, 5083712 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_allcolo.ns2473.oracleGeneral.zst Cacheus cache size     3891, 5083712 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns2473.oracleGeneral.zst Cacheus cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst Cacheus cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-d-1 cache size       19, 5083712 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-d-1 cache size       58, 5083712 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-d-1 cache size      194, 5083712 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-d-1 cache size      583, 5083712 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-d-1 cache size     1945, 5083712 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-d-1 cache size     3891, 5083712 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-d-1 cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst S3FIFO-d-1 cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRB cache size       19, 5083712 req, miss ratio 0.0171, byte miss ratio 0.0171
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRB cache size       58, 5083712 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRB cache size      194, 5083712 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRB cache size      583, 5083712 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRB cache size     1945, 5083712 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRB cache size     3891, 5083712 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRB cache size     7782, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst LRB cache size    15565, 5083712 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns2473.oracleGeneral.zst TwoQ cache size       19, 5083712 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn2_allcolo.ns2473.oracleGeneral.zst TwoQ cache size       58, 5083712 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns2473.oracleGeneral.zst TwoQ cache size      194, 5083712 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_allcolo.ns2473.oracleGeneral.zst TwoQ cache size      583, 5083712 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns2473.oracleGeneral.zst TwoQ cache size     1945, 5083712 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns2473.oracleGeneral.zst TwoQ cache size     3891, 5083712 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns2473.oracleGeneral.zst TwoQ cache size     7782, 5083712 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns2473.oracleGeneral.zst TwoQ cache size    15565, 5083712 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2473.oracleGeneral.zst B-LRU cache size       19, 5083712 req, miss ratio 0.0204, byte miss ratio 0.0204
result/cdn2_allcolo.ns2473.oracleGeneral.zst B-LRU cache size       58, 5083712 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns2473.oracleGeneral.zst B-LRU cache size      194, 5083712 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns2473.oracleGeneral.zst B-LRU cache size      583, 5083712 req, miss ratio 0.0075, byte miss ratio 0.0075
result/cdn2_allcolo.ns2473.oracleGeneral.zst B-LRU cache size     1945, 5083712 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns2473.oracleGeneral.zst B-LRU cache size     3891, 5083712 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns2473.oracleGeneral.zst B-LRU cache size     7782, 5083712 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn2_allcolo.ns2473.oracleGeneral.zst B-LRU cache size    15565, 5083712 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn2_allcolo.ns2473.oracleGeneral.zst S4LRU(25:25:25:25) cache size       19, 5083712 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns2473.oracleGeneral.zst S4LRU(25:25:25:25) cache size       58, 5083712 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn2_allcolo.ns2473.oracleGeneral.zst S4LRU(25:25:25:25) cache size      194, 5083712 req, miss ratio 0.0077, byte miss ratio 0.0077
