result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO cache size        7, 1066831 req, miss ratio 0.6114, byte miss ratio 0.6114
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO cache size       23, 1066831 req, miss ratio 0.3753, byte miss ratio 0.3753
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO cache size       79, 1066831 req, miss ratio 0.1400, byte miss ratio 0.1400
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO cache size      158, 1066831 req, miss ratio 0.0491, byte miss ratio 0.0491
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO cache size      317, 1066831 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns2571.oracleGeneral.zst FIFO cache size      634, 1066831 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns2571.oracleGeneral.zst Cacheus cache size        7, 1066831 req, miss ratio 0.5515, byte miss ratio 0.5515
result/cdn2_allcolo.ns2571.oracleGeneral.zst Cacheus cache size       23, 1066831 req, miss ratio 0.3013, byte miss ratio 0.3013
result/cdn2_allcolo.ns2571.oracleGeneral.zst Cacheus cache size       79, 1066831 req, miss ratio 0.0966, byte miss ratio 0.0966
result/cdn2_allcolo.ns2571.oracleGeneral.zst Cacheus cache size      158, 1066831 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns2571.oracleGeneral.zst Cacheus cache size      317, 1066831 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns2571.oracleGeneral.zst Cacheus cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst clock2 cache size        7, 1066831 req, miss ratio 0.5355, byte miss ratio 0.5355
result/cdn2_allcolo.ns2571.oracleGeneral.zst clock2 cache size       23, 1066831 req, miss ratio 0.2867, byte miss ratio 0.2867
result/cdn2_allcolo.ns2571.oracleGeneral.zst clock2 cache size       79, 1066831 req, miss ratio 0.0849, byte miss ratio 0.0849
result/cdn2_allcolo.ns2571.oracleGeneral.zst clock2 cache size      158, 1066831 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn2_allcolo.ns2571.oracleGeneral.zst clock2 cache size      317, 1066831 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns2571.oracleGeneral.zst clock2 cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-1 cache size        7, 1066831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-1 cache size       23, 1066831 req, miss ratio 0.2524, byte miss ratio 0.2524
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-1 cache size       79, 1066831 req, miss ratio 0.0804, byte miss ratio 0.0804
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-1 cache size      158, 1066831 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-1 cache size      317, 1066831 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-1 cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst ARC cache size        7, 1066831 req, miss ratio 0.4985, byte miss ratio 0.4985
result/cdn2_allcolo.ns2571.oracleGeneral.zst ARC cache size       23, 1066831 req, miss ratio 0.2733, byte miss ratio 0.2733
result/cdn2_allcolo.ns2571.oracleGeneral.zst ARC cache size       79, 1066831 req, miss ratio 0.0881, byte miss ratio 0.0881
result/cdn2_allcolo.ns2571.oracleGeneral.zst ARC cache size      158, 1066831 req, miss ratio 0.0254, byte miss ratio 0.0254
result/cdn2_allcolo.ns2571.oracleGeneral.zst ARC cache size      317, 1066831 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns2571.oracleGeneral.zst ARC cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst Clock cache size        7, 1066831 req, miss ratio 0.5607, byte miss ratio 0.5607
result/cdn2_allcolo.ns2571.oracleGeneral.zst Clock cache size       23, 1066831 req, miss ratio 0.3055, byte miss ratio 0.3055
result/cdn2_allcolo.ns2571.oracleGeneral.zst Clock cache size       79, 1066831 req, miss ratio 0.0938, byte miss ratio 0.0938
result/cdn2_allcolo.ns2571.oracleGeneral.zst Clock cache size      158, 1066831 req, miss ratio 0.0269, byte miss ratio 0.0269
result/cdn2_allcolo.ns2571.oracleGeneral.zst Clock cache size      317, 1066831 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns2571.oracleGeneral.zst Clock cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRU cache size        7, 1066831 req, miss ratio 0.5747, byte miss ratio 0.5747
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRU cache size       23, 1066831 req, miss ratio 0.3181, byte miss ratio 0.3181
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRU cache size       79, 1066831 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRU cache size      158, 1066831 req, miss ratio 0.0285, byte miss ratio 0.0285
