result/cdn2_allcolo.ns2892.oracleGeneral.zst LHD cache size      191, 4237023 req, miss ratio 0.8337, byte miss ratio 0.8337
result/cdn2_allcolo.ns2892.oracleGeneral.zst LHD cache size      573, 4237023 req, miss ratio 0.7585, byte miss ratio 0.7585
result/cdn2_allcolo.ns2892.oracleGeneral.zst LHD cache size     1912, 4237023 req, miss ratio 0.5638, byte miss ratio 0.5638
result/cdn2_allcolo.ns2892.oracleGeneral.zst LHD cache size     5736, 4237023 req, miss ratio 0.3834, byte miss ratio 0.3834
result/cdn2_allcolo.ns2892.oracleGeneral.zst LHD cache size    19122, 4237023 req, miss ratio 0.2007, byte miss ratio 0.2007
result/cdn2_allcolo.ns2892.oracleGeneral.zst LHD cache size    38244, 4237023 req, miss ratio 0.1198, byte miss ratio 0.1198
result/cdn2_allcolo.ns2892.oracleGeneral.zst LHD cache size    76489, 4237023 req, miss ratio 0.0692, byte miss ratio 0.0692
result/cdn2_allcolo.ns2892.oracleGeneral.zst LHD cache size   152978, 4237023 req, miss ratio 0.0471, byte miss ratio 0.0471
result/cdn2_allcolo.ns2892.oracleGeneral.zst LeCaR cache size      191, 4237023 req, miss ratio 0.8700, byte miss ratio 0.8700
result/cdn2_allcolo.ns2892.oracleGeneral.zst LeCaR cache size      573, 4237023 req, miss ratio 0.7699, byte miss ratio 0.7699
result/cdn2_allcolo.ns2892.oracleGeneral.zst LeCaR cache size     1912, 4237023 req, miss ratio 0.6058, byte miss ratio 0.6058
result/cdn2_allcolo.ns2892.oracleGeneral.zst LeCaR cache size     5736, 4237023 req, miss ratio 0.4203, byte miss ratio 0.4203
result/cdn2_allcolo.ns2892.oracleGeneral.zst LeCaR cache size    19122, 4237023 req, miss ratio 0.2120, byte miss ratio 0.2120
result/cdn2_allcolo.ns2892.oracleGeneral.zst LeCaR cache size    38244, 4237023 req, miss ratio 0.1226, byte miss ratio 0.1226
result/cdn2_allcolo.ns2892.oracleGeneral.zst LeCaR cache size    76489, 4237023 req, miss ratio 0.0688, byte miss ratio 0.0688
result/cdn2_allcolo.ns2892.oracleGeneral.zst LeCaR cache size   152978, 4237023 req, miss ratio 0.0467, byte miss ratio 0.0467
result/cdn2_allcolo.ns2892.oracleGeneral.zst LIRS cache size      191, 4237023 req, miss ratio 0.7875, byte miss ratio 0.7875
result/cdn2_allcolo.ns2892.oracleGeneral.zst LIRS cache size      573, 4237023 req, miss ratio 0.6728, byte miss ratio 0.6728
result/cdn2_allcolo.ns2892.oracleGeneral.zst LIRS cache size     1912, 4237023 req, miss ratio 0.5155, byte miss ratio 0.5155
result/cdn2_allcolo.ns2892.oracleGeneral.zst LIRS cache size     5736, 4237023 req, miss ratio 0.3568, byte miss ratio 0.3568
result/cdn2_allcolo.ns2892.oracleGeneral.zst LIRS cache size    19122, 4237023 req, miss ratio 0.1877, byte miss ratio 0.1877
result/cdn2_allcolo.ns2892.oracleGeneral.zst LIRS cache size    38244, 4237023 req, miss ratio 0.1122, byte miss ratio 0.1122
result/cdn2_allcolo.ns2892.oracleGeneral.zst LIRS cache size    76489, 4237023 req, miss ratio 0.0663, byte miss ratio 0.0663
result/cdn2_allcolo.ns2892.oracleGeneral.zst LIRS cache size   152978, 4237023 req, miss ratio 0.0471, byte miss ratio 0.0471
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-1 cache size      191, 4237023 req, miss ratio 0.7741, byte miss ratio 0.7741
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-1 cache size      573, 4237023 req, miss ratio 0.6586, byte miss ratio 0.6586
