result/cdn2_allcolo.ns2923.oracleGeneral.zst ARC cache size       15, 1055551 req, miss ratio 0.6347, byte miss ratio 0.6347
result/cdn2_allcolo.ns2923.oracleGeneral.zst ARC cache size       46, 1055551 req, miss ratio 0.5039, byte miss ratio 0.5039
result/cdn2_allcolo.ns2923.oracleGeneral.zst ARC cache size      155, 1055551 req, miss ratio 0.2191, byte miss ratio 0.2191
result/cdn2_allcolo.ns2923.oracleGeneral.zst ARC cache size      310, 1055551 req, miss ratio 0.0422, byte miss ratio 0.0422
result/cdn2_allcolo.ns2923.oracleGeneral.zst ARC cache size      621, 1055551 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_allcolo.ns2923.oracleGeneral.zst ARC cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst Cacheus cache size       15, 1055551 req, miss ratio 0.6475, byte miss ratio 0.6475
result/cdn2_allcolo.ns2923.oracleGeneral.zst Cacheus cache size       46, 1055551 req, miss ratio 0.4971, byte miss ratio 0.4971
result/cdn2_allcolo.ns2923.oracleGeneral.zst Cacheus cache size      155, 1055551 req, miss ratio 0.2364, byte miss ratio 0.2364
result/cdn2_allcolo.ns2923.oracleGeneral.zst Cacheus cache size      310, 1055551 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns2923.oracleGeneral.zst Cacheus cache size      621, 1055551 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns2923.oracleGeneral.zst Cacheus cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-1 cache size       15, 1055551 req, miss ratio 0.6221, byte miss ratio 0.6221
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-1 cache size       46, 1055551 req, miss ratio 0.4836, byte miss ratio 0.4836
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-1 cache size      155, 1055551 req, miss ratio 0.2004, byte miss ratio 0.2004
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-1 cache size      310, 1055551 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-1 cache size      621, 1055551 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-1 cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRU cache size       15, 1055551 req, miss ratio 0.6617, byte miss ratio 0.6617
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRU cache size       46, 1055551 req, miss ratio 0.5422, byte miss ratio 0.5422
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRU cache size      155, 1055551 req, miss ratio 0.2445, byte miss ratio 0.2445
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRU cache size      310, 1055551 req, miss ratio 0.0515, byte miss ratio 0.0515
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRU cache size      621, 1055551 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRU cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst LIRS cache size       15, 1055551 req, miss ratio 0.6288, byte miss ratio 0.6288
result/cdn2_allcolo.ns2923.oracleGeneral.zst LIRS cache size       46, 1055551 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn2_allcolo.ns2923.oracleGeneral.zst LIRS cache size      155, 1055551 req, miss ratio 0.2005, byte miss ratio 0.2005
result/cdn2_allcolo.ns2923.oracleGeneral.zst LIRS cache size      310, 1055551 req, miss ratio 0.0349, byte miss ratio 0.0349
result/cdn2_allcolo.ns2923.oracleGeneral.zst LIRS cache size      621, 1055551 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns2923.oracleGeneral.zst LIRS cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst Clock cache size       15, 1055551 req, miss ratio 0.6593, byte miss ratio 0.6593
result/cdn2_allcolo.ns2923.oracleGeneral.zst Clock cache size       46, 1055551 req, miss ratio 0.5363, byte miss ratio 0.5363
result/cdn2_allcolo.ns2923.oracleGeneral.zst Clock cache size      155, 1055551 req, miss ratio 0.2330, byte miss ratio 0.2330
result/cdn2_allcolo.ns2923.oracleGeneral.zst Clock cache size      310, 1055551 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_allcolo.ns2923.oracleGeneral.zst Clock cache size      621, 1055551 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_allcolo.ns2923.oracleGeneral.zst Clock cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst clock2 cache size       15, 1055551 req, miss ratio 0.6567, byte miss ratio 0.6567
result/cdn2_allcolo.ns2923.oracleGeneral.zst clock2 cache size       46, 1055551 req, miss ratio 0.5309, byte miss ratio 0.5309
result/cdn2_allcolo.ns2923.oracleGeneral.zst clock2 cache size      155, 1055551 req, miss ratio 0.2125, byte miss ratio 0.2125
result/cdn2_allcolo.ns2923.oracleGeneral.zst clock2 cache size      310, 1055551 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_allcolo.ns2923.oracleGeneral.zst clock2 cache size      621, 1055551 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_allcolo.ns2923.oracleGeneral.zst clock2 cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO cache size       15, 1055551 req, miss ratio 0.6807, byte miss ratio 0.6807
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO cache size       46, 1055551 req, miss ratio 0.5584, byte miss ratio 0.5584
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO cache size      155, 1055551 req, miss ratio 0.2882, byte miss ratio 0.2882
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO cache size      310, 1055551 req, miss ratio 0.0983, byte miss ratio 0.0983
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO cache size      621, 1055551 req, miss ratio 0.0176, byte miss ratio 0.0176
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO cache size     1242, 1055551 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size       15, 1055551 req, miss ratio 0.6336, byte miss ratio 0.6336
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size       46, 1055551 req, miss ratio 0.4834, byte miss ratio 0.4834
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size      155, 1055551 req, miss ratio 0.1968, byte miss ratio 0.1968
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size      310, 1055551 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size      621, 1055551 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size     1242, 1055551 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size       15, 1055551 req, miss ratio 0.6559, byte miss ratio 0.6559
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size       46, 1055551 req, miss ratio 0.5365, byte miss ratio 0.5365
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size      155, 1055551 req, miss ratio 0.2241, byte miss ratio 0.2241
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size      310, 1055551 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size      621, 1055551 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size       15, 1055551 req, miss ratio 0.6219, byte miss ratio 0.6219
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size       46, 1055551 req, miss ratio 0.4849, byte miss ratio 0.4849
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size      155, 1055551 req, miss ratio 0.1994, byte miss ratio 0.1994
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size      310, 1055551 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size      621, 1055551 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
