result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-1 cache size       23, 2193373 req, miss ratio 0.7404, byte miss ratio 0.7404
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-1 cache size       70, 2193373 req, miss ratio 0.6087, byte miss ratio 0.6087
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-1 cache size      233, 2193373 req, miss ratio 0.4560, byte miss ratio 0.4560
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-1 cache size      701, 2193373 req, miss ratio 0.3322, byte miss ratio 0.3322
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-1 cache size     2338, 2193373 req, miss ratio 0.2032, byte miss ratio 0.2032
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-1 cache size     4676, 2193373 req, miss ratio 0.1261, byte miss ratio 0.1261
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-1 cache size     9353, 2193373 req, miss ratio 0.0558, byte miss ratio 0.0558
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-1 cache size    18707, 2193373 req, miss ratio 0.0133, byte miss ratio 0.0133
result/cdn2_allcolo.ns3111.oracleGeneral.zst ARC cache size       23, 2193373 req, miss ratio 0.7551, byte miss ratio 0.7551
result/cdn2_allcolo.ns3111.oracleGeneral.zst ARC cache size       70, 2193373 req, miss ratio 0.6274, byte miss ratio 0.6274
result/cdn2_allcolo.ns3111.oracleGeneral.zst ARC cache size      233, 2193373 req, miss ratio 0.4776, byte miss ratio 0.4776
result/cdn2_allcolo.ns3111.oracleGeneral.zst ARC cache size      701, 2193373 req, miss ratio 0.3495, byte miss ratio 0.3495
result/cdn2_allcolo.ns3111.oracleGeneral.zst ARC cache size     2338, 2193373 req, miss ratio 0.2147, byte miss ratio 0.2147
result/cdn2_allcolo.ns3111.oracleGeneral.zst ARC cache size     4676, 2193373 req, miss ratio 0.1348, byte miss ratio 0.1348
result/cdn2_allcolo.ns3111.oracleGeneral.zst ARC cache size     9353, 2193373 req, miss ratio 0.0607, byte miss ratio 0.0607
result/cdn2_allcolo.ns3111.oracleGeneral.zst ARC cache size    18707, 2193373 req, miss ratio 0.0136, byte miss ratio 0.0136
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRU cache size       23, 2193373 req, miss ratio 0.7966, byte miss ratio 0.7966
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRU cache size       70, 2193373 req, miss ratio 0.6734, byte miss ratio 0.6734
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRU cache size      233, 2193373 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRU cache size      701, 2193373 req, miss ratio 0.3803, byte miss ratio 0.3803
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRU cache size     2338, 2193373 req, miss ratio 0.2324, byte miss ratio 0.2324
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRU cache size     4676, 2193373 req, miss ratio 0.1440, byte miss ratio 0.1440
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRU cache size     9353, 2193373 req, miss ratio 0.0633, byte miss ratio 0.0633
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRU cache size    18707, 2193373 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns3111.oracleGeneral.zst Cacheus cache size       23, 2193373 req, miss ratio 0.7713, byte miss ratio 0.7713
result/cdn2_allcolo.ns3111.oracleGeneral.zst Cacheus cache size       70, 2193373 req, miss ratio 0.6392, byte miss ratio 0.6392
result/cdn2_allcolo.ns3111.oracleGeneral.zst Cacheus cache size      233, 2193373 req, miss ratio 0.4886, byte miss ratio 0.4886
result/cdn2_allcolo.ns3111.oracleGeneral.zst Cacheus cache size      701, 2193373 req, miss ratio 0.3592, byte miss ratio 0.3592
