result/cdn2_allcolo.ns312.oracleGeneral.zst LIRS cache size      125, 8780879 req, miss ratio 0.8838, byte miss ratio 0.8838
result/cdn2_allcolo.ns312.oracleGeneral.zst LIRS cache size      376, 8780879 req, miss ratio 0.8117, byte miss ratio 0.8117
result/cdn2_allcolo.ns312.oracleGeneral.zst LIRS cache size     1255, 8780879 req, miss ratio 0.6881, byte miss ratio 0.6881
result/cdn2_allcolo.ns312.oracleGeneral.zst LIRS cache size     3765, 8780879 req, miss ratio 0.5330, byte miss ratio 0.5330
result/cdn2_allcolo.ns312.oracleGeneral.zst LIRS cache size    12552, 8780879 req, miss ratio 0.2873, byte miss ratio 0.2873
result/cdn2_allcolo.ns312.oracleGeneral.zst LIRS cache size    25104, 8780879 req, miss ratio 0.1217, byte miss ratio 0.1217
result/cdn2_allcolo.ns312.oracleGeneral.zst LIRS cache size    50208, 8780879 req, miss ratio 0.0219, byte miss ratio 0.0219
result/cdn2_allcolo.ns312.oracleGeneral.zst LIRS cache size   100417, 8780879 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_allcolo.ns312.oracleGeneral.zst clock2 cache size      125, 8780879 req, miss ratio 0.9263, byte miss ratio 0.9263
result/cdn2_allcolo.ns312.oracleGeneral.zst clock2 cache size      376, 8780879 req, miss ratio 0.8743, byte miss ratio 0.8743
result/cdn2_allcolo.ns312.oracleGeneral.zst clock2 cache size     1255, 8780879 req, miss ratio 0.7606, byte miss ratio 0.7606
result/cdn2_allcolo.ns312.oracleGeneral.zst clock2 cache size     3765, 8780879 req, miss ratio 0.5820, byte miss ratio 0.5820
result/cdn2_allcolo.ns312.oracleGeneral.zst clock2 cache size    12552, 8780879 req, miss ratio 0.3036, byte miss ratio 0.3036
result/cdn2_allcolo.ns312.oracleGeneral.zst clock2 cache size    25104, 8780879 req, miss ratio 0.1255, byte miss ratio 0.1255
result/cdn2_allcolo.ns312.oracleGeneral.zst clock2 cache size    50208, 8780879 req, miss ratio 0.0211, byte miss ratio 0.0211
