result/cdn2_allcolo.ns3424.oracleGeneral.zst LHD cache size        8, 2027971 req, miss ratio 0.0339, byte miss ratio 0.0339
result/cdn2_allcolo.ns3424.oracleGeneral.zst LHD cache size       25, 2027971 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns3424.oracleGeneral.zst LHD cache size       84, 2027971 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_allcolo.ns3424.oracleGeneral.zst LHD cache size      168, 2027971 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns3424.oracleGeneral.zst LHD cache size      337, 2027971 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns3424.oracleGeneral.zst LHD cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst Clock cache size        8, 2027971 req, miss ratio 0.0275, byte miss ratio 0.0275
result/cdn2_allcolo.ns3424.oracleGeneral.zst Clock cache size       25, 2027971 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_allcolo.ns3424.oracleGeneral.zst Clock cache size       84, 2027971 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns3424.oracleGeneral.zst Clock cache size      168, 2027971 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns3424.oracleGeneral.zst Clock cache size      337, 2027971 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns3424.oracleGeneral.zst Clock cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst Cacheus cache size        8, 2027971 req, miss ratio 0.0226, byte miss ratio 0.0226
result/cdn2_allcolo.ns3424.oracleGeneral.zst Cacheus cache size       25, 2027971 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns3424.oracleGeneral.zst Cacheus cache size       84, 2027971 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns3424.oracleGeneral.zst Cacheus cache size      168, 2027971 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns3424.oracleGeneral.zst Cacheus cache size      337, 2027971 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns3424.oracleGeneral.zst Cacheus cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst clock2 cache size        8, 2027971 req, miss ratio 0.0254, byte miss ratio 0.0254
