result/cdn2_allcolo.ns460.oracleGeneral.zst LIRS cache size       15, 4501638 req, miss ratio 0.0613, byte miss ratio 0.0613
result/cdn2_allcolo.ns460.oracleGeneral.zst LIRS cache size       47, 4501638 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_allcolo.ns460.oracleGeneral.zst LIRS cache size      156, 4501638 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns460.oracleGeneral.zst LIRS cache size      470, 4501638 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_allcolo.ns460.oracleGeneral.zst LIRS cache size     1567, 4501638 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns460.oracleGeneral.zst LIRS cache size     3135, 4501638 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns460.oracleGeneral.zst LIRS cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LIRS cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LHD cache size       15, 4501638 req, miss ratio 0.0692, byte miss ratio 0.0692
result/cdn2_allcolo.ns460.oracleGeneral.zst LHD cache size       47, 4501638 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns460.oracleGeneral.zst LHD cache size      156, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LHD cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LHD cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LHD cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LHD cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LHD cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LRU cache size       15, 4501638 req, miss ratio 0.1108, byte miss ratio 0.1108
result/cdn2_allcolo.ns460.oracleGeneral.zst LRU cache size       47, 4501638 req, miss ratio 0.0041, byte miss ratio 0.0041
