result/cdn2_allcolo.ns4679.oracleGeneral.zst clock2 cache size       15, 1264070 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns4679.oracleGeneral.zst clock2 cache size       45, 1264070 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4679.oracleGeneral.zst clock2 cache size      151, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst clock2 cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst clock2 cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst clock2 cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO cache size       15, 1264070 req, miss ratio 0.0195, byte miss ratio 0.0195
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO cache size       45, 1264070 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO cache size      151, 1264070 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO cache size      302, 1264070 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO cache size      604, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LeCaR cache size       15, 1264070 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns4679.oracleGeneral.zst LeCaR cache size       45, 1264070 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4679.oracleGeneral.zst LeCaR cache size      151, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst LeCaR cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst LeCaR cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LeCaR cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRU cache size       15, 1264070 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRU cache size       45, 1264070 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRU cache size      151, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRU cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRU cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRU cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst ARC cache size       15, 1264070 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns4679.oracleGeneral.zst ARC cache size       45, 1264070 req, miss ratio 0.0025, byte miss ratio 0.0025
