result/cdn2_allcolo.ns579.oracleGeneral.zst clock2 cache size      494, 1917229 req, miss ratio 0.4385, byte miss ratio 0.4385
result/cdn2_allcolo.ns579.oracleGeneral.zst clock2 cache size     1482, 1917229 req, miss ratio 0.3764, byte miss ratio 0.3764
result/cdn2_allcolo.ns579.oracleGeneral.zst clock2 cache size     4942, 1917229 req, miss ratio 0.3348, byte miss ratio 0.3348
result/cdn2_allcolo.ns579.oracleGeneral.zst clock2 cache size    14826, 1917229 req, miss ratio 0.3037, byte miss ratio 0.3037
result/cdn2_allcolo.ns579.oracleGeneral.zst clock2 cache size    49422, 1917229 req, miss ratio 0.2781, byte miss ratio 0.2781
result/cdn2_allcolo.ns579.oracleGeneral.zst clock2 cache size    98844, 1917229 req, miss ratio 0.2671, byte miss ratio 0.2671
result/cdn2_allcolo.ns579.oracleGeneral.zst clock2 cache size   197688, 1917229 req, miss ratio 0.2610, byte miss ratio 0.2610
result/cdn2_allcolo.ns579.oracleGeneral.zst clock2 cache size   395377, 1917229 req, miss ratio 0.2580, byte miss ratio 0.2580
result/cdn2_allcolo.ns579.oracleGeneral.zst Clock cache size      494, 1917229 req, miss ratio 0.4482, byte miss ratio 0.4482
result/cdn2_allcolo.ns579.oracleGeneral.zst Clock cache size     1482, 1917229 req, miss ratio 0.3836, byte miss ratio 0.3836
result/cdn2_allcolo.ns579.oracleGeneral.zst Clock cache size     4942, 1917229 req, miss ratio 0.3406, byte miss ratio 0.3406
result/cdn2_allcolo.ns579.oracleGeneral.zst Clock cache size    14826, 1917229 req, miss ratio 0.3089, byte miss ratio 0.3089
result/cdn2_allcolo.ns579.oracleGeneral.zst Clock cache size    49422, 1917229 req, miss ratio 0.2809, byte miss ratio 0.2809
result/cdn2_allcolo.ns579.oracleGeneral.zst Clock cache size    98844, 1917229 req, miss ratio 0.2686, byte miss ratio 0.2686
result/cdn2_allcolo.ns579.oracleGeneral.zst Clock cache size   197688, 1917229 req, miss ratio 0.2613, byte miss ratio 0.2613
result/cdn2_allcolo.ns579.oracleGeneral.zst Clock cache size   395377, 1917229 req, miss ratio 0.2580, byte miss ratio 0.2580
result/cdn2_allcolo.ns579.oracleGeneral.zst LeCaR cache size      494, 1917229 req, miss ratio 0.4489, byte miss ratio 0.4489
result/cdn2_allcolo.ns579.oracleGeneral.zst LeCaR cache size     1482, 1917229 req, miss ratio 0.3830, byte miss ratio 0.3830
result/cdn2_allcolo.ns579.oracleGeneral.zst LeCaR cache size     4942, 1917229 req, miss ratio 0.3405, byte miss ratio 0.3405
result/cdn2_allcolo.ns579.oracleGeneral.zst LeCaR cache size    14826, 1917229 req, miss ratio 0.3081, byte miss ratio 0.3081
result/cdn2_allcolo.ns579.oracleGeneral.zst LeCaR cache size    49422, 1917229 req, miss ratio 0.2810, byte miss ratio 0.2810
result/cdn2_allcolo.ns579.oracleGeneral.zst LeCaR cache size    98844, 1917229 req, miss ratio 0.2692, byte miss ratio 0.2692
result/cdn2_allcolo.ns579.oracleGeneral.zst LeCaR cache size   197688, 1917229 req, miss ratio 0.2619, byte miss ratio 0.2619
result/cdn2_allcolo.ns579.oracleGeneral.zst LeCaR cache size   395377, 1917229 req, miss ratio 0.2581, byte miss ratio 0.2581
result/cdn2_allcolo.ns579.oracleGeneral.zst LIRS cache size      494, 1917229 req, miss ratio 0.4326, byte miss ratio 0.4326
result/cdn2_allcolo.ns579.oracleGeneral.zst LIRS cache size     1482, 1917229 req, miss ratio 0.3842, byte miss ratio 0.3842
result/cdn2_allcolo.ns579.oracleGeneral.zst LIRS cache size     4942, 1917229 req, miss ratio 0.3420, byte miss ratio 0.3420
result/cdn2_allcolo.ns579.oracleGeneral.zst LIRS cache size    14826, 1917229 req, miss ratio 0.3039, byte miss ratio 0.3039
result/cdn2_allcolo.ns579.oracleGeneral.zst LIRS cache size    49422, 1917229 req, miss ratio 0.2796, byte miss ratio 0.2796
result/cdn2_allcolo.ns579.oracleGeneral.zst LIRS cache size    98844, 1917229 req, miss ratio 0.2713, byte miss ratio 0.2713
result/cdn2_allcolo.ns579.oracleGeneral.zst LIRS cache size   197688, 1917229 req, miss ratio 0.2647, byte miss ratio 0.2647
result/cdn2_allcolo.ns579.oracleGeneral.zst LIRS cache size   395377, 1917229 req, miss ratio 0.2589, byte miss ratio 0.2589
result/cdn2_allcolo.ns579.oracleGeneral.zst LRU cache size      494, 1917229 req, miss ratio 0.4573, byte miss ratio 0.4573
result/cdn2_allcolo.ns579.oracleGeneral.zst LRU cache size     1482, 1917229 req, miss ratio 0.3887, byte miss ratio 0.3887
result/cdn2_allcolo.ns579.oracleGeneral.zst LRU cache size     4942, 1917229 req, miss ratio 0.3448, byte miss ratio 0.3448
result/cdn2_allcolo.ns579.oracleGeneral.zst LRU cache size    14826, 1917229 req, miss ratio 0.3123, byte miss ratio 0.3123
result/cdn2_allcolo.ns579.oracleGeneral.zst LRU cache size    49422, 1917229 req, miss ratio 0.2839, byte miss ratio 0.2839
result/cdn2_allcolo.ns579.oracleGeneral.zst LRU cache size    98844, 1917229 req, miss ratio 0.2702, byte miss ratio 0.2702
