result/cdn2_allcolo.ns769.oracleGeneral.zst LIRS cache size     3522, 22909474 req, miss ratio 0.6984, byte miss ratio 0.6984
result/cdn2_allcolo.ns769.oracleGeneral.zst LIRS cache size    10566, 22909474 req, miss ratio 0.5791, byte miss ratio 0.5791
result/cdn2_allcolo.ns769.oracleGeneral.zst LIRS cache size    35220, 22909474 req, miss ratio 0.4476, byte miss ratio 0.4476
result/cdn2_allcolo.ns769.oracleGeneral.zst LIRS cache size   105662, 22909474 req, miss ratio 0.3588, byte miss ratio 0.3588
result/cdn2_allcolo.ns769.oracleGeneral.zst LIRS cache size   352208, 22909474 req, miss ratio 0.2481, byte miss ratio 0.2481
result/cdn2_allcolo.ns769.oracleGeneral.zst LIRS cache size   704417, 22909474 req, miss ratio 0.2012, byte miss ratio 0.2012
result/cdn2_allcolo.ns769.oracleGeneral.zst LIRS cache size  1408835, 22909474 req, miss ratio 0.1724, byte miss ratio 0.1724
result/cdn2_allcolo.ns769.oracleGeneral.zst LIRS cache size  2817670, 22909474 req, miss ratio 0.1553, byte miss ratio 0.1553
result/cdn2_allcolo.ns769.oracleGeneral.zst clock2 cache size     3522, 22909474 req, miss ratio 0.7206, byte miss ratio 0.7206
result/cdn2_allcolo.ns769.oracleGeneral.zst clock2 cache size    10566, 22909474 req, miss ratio 0.6132, byte miss ratio 0.6132
result/cdn2_allcolo.ns769.oracleGeneral.zst clock2 cache size    35220, 22909474 req, miss ratio 0.4777, byte miss ratio 0.4777
result/cdn2_allcolo.ns769.oracleGeneral.zst clock2 cache size   105662, 22909474 req, miss ratio 0.3610, byte miss ratio 0.3610
result/cdn2_allcolo.ns769.oracleGeneral.zst clock2 cache size   352208, 22909474 req, miss ratio 0.2651, byte miss ratio 0.2651
result/cdn2_allcolo.ns769.oracleGeneral.zst clock2 cache size   704417, 22909474 req, miss ratio 0.2173, byte miss ratio 0.2173
result/cdn2_allcolo.ns769.oracleGeneral.zst clock2 cache size  1408835, 22909474 req, miss ratio 0.1755, byte miss ratio 0.1755
result/cdn2_allcolo.ns769.oracleGeneral.zst clock2 cache size  2817670, 22909474 req, miss ratio 0.1555, byte miss ratio 0.1555
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO cache size     3522, 22909474 req, miss ratio 0.7623, byte miss ratio 0.7623
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO cache size    10566, 22909474 req, miss ratio 0.6690, byte miss ratio 0.6690
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO cache size    35220, 22909474 req, miss ratio 0.5418, byte miss ratio 0.5418
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO cache size   105662, 22909474 req, miss ratio 0.4163, byte miss ratio 0.4163
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO cache size   352208, 22909474 req, miss ratio 0.3038, byte miss ratio 0.3038
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO cache size   704417, 22909474 req, miss ratio 0.2725, byte miss ratio 0.2725
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO cache size  1408835, 22909474 req, miss ratio 0.2043, byte miss ratio 0.2043
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO cache size  2817670, 22909474 req, miss ratio 0.1682, byte miss ratio 0.1682
result/cdn2_allcolo.ns769.oracleGeneral.zst Clock cache size     3522, 22909474 req, miss ratio 0.7312, byte miss ratio 0.7312
result/cdn2_allcolo.ns769.oracleGeneral.zst Clock cache size    10566, 22909474 req, miss ratio 0.6265, byte miss ratio 0.6265
result/cdn2_allcolo.ns769.oracleGeneral.zst Clock cache size    35220, 22909474 req, miss ratio 0.4899, byte miss ratio 0.4899
result/cdn2_allcolo.ns769.oracleGeneral.zst Clock cache size   105662, 22909474 req, miss ratio 0.3675, byte miss ratio 0.3675
result/cdn2_allcolo.ns769.oracleGeneral.zst Clock cache size   352208, 22909474 req, miss ratio 0.2793, byte miss ratio 0.2793
result/cdn2_allcolo.ns769.oracleGeneral.zst Clock cache size   704417, 22909474 req, miss ratio 0.2281, byte miss ratio 0.2281
result/cdn2_allcolo.ns769.oracleGeneral.zst Clock cache size  1408835, 22909474 req, miss ratio 0.1776, byte miss ratio 0.1776
result/cdn2_allcolo.ns769.oracleGeneral.zst Clock cache size  2817670, 22909474 req, miss ratio 0.1555, byte miss ratio 0.1555
result/cdn2_allcolo.ns769.oracleGeneral.zst LRU cache size     3522, 22909474 req, miss ratio 0.7395, byte miss ratio 0.7395
result/cdn2_allcolo.ns769.oracleGeneral.zst LRU cache size    10566, 22909474 req, miss ratio 0.6364, byte miss ratio 0.6364
result/cdn2_allcolo.ns769.oracleGeneral.zst LRU cache size    35220, 22909474 req, miss ratio 0.4999, byte miss ratio 0.4999
result/cdn2_allcolo.ns769.oracleGeneral.zst LRU cache size   105662, 22909474 req, miss ratio 0.3745, byte miss ratio 0.3745
result/cdn2_allcolo.ns769.oracleGeneral.zst LRU cache size   352208, 22909474 req, miss ratio 0.2816, byte miss ratio 0.2816
result/cdn2_allcolo.ns769.oracleGeneral.zst LRU cache size   704417, 22909474 req, miss ratio 0.2452, byte miss ratio 0.2452
