result/cdn2_allcolo.ns783.oracleGeneral.zst LHD cache size     1091, 13662451 req, miss ratio 0.2970, byte miss ratio 0.2970
result/cdn2_allcolo.ns783.oracleGeneral.zst LHD cache size     3274, 13662451 req, miss ratio 0.2238, byte miss ratio 0.2238
result/cdn2_allcolo.ns783.oracleGeneral.zst LHD cache size    10913, 13662451 req, miss ratio 0.1628, byte miss ratio 0.1628
result/cdn2_allcolo.ns783.oracleGeneral.zst LHD cache size    32741, 13662451 req, miss ratio 0.1210, byte miss ratio 0.1210
result/cdn2_allcolo.ns783.oracleGeneral.zst LHD cache size   109139, 13662451 req, miss ratio 0.0949, byte miss ratio 0.0949
result/cdn2_allcolo.ns783.oracleGeneral.zst LHD cache size   218279, 13662451 req, miss ratio 0.0871, byte miss ratio 0.0871
result/cdn2_allcolo.ns783.oracleGeneral.zst LHD cache size   436558, 13662451 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns783.oracleGeneral.zst LHD cache size   873116, 13662451 req, miss ratio 0.0801, byte miss ratio 0.0801
result/cdn2_allcolo.ns783.oracleGeneral.zst LRU cache size     1091, 13662451 req, miss ratio 0.3129, byte miss ratio 0.3129
result/cdn2_allcolo.ns783.oracleGeneral.zst LRU cache size     3274, 13662451 req, miss ratio 0.2413, byte miss ratio 0.2413
result/cdn2_allcolo.ns783.oracleGeneral.zst LRU cache size    10913, 13662451 req, miss ratio 0.1745, byte miss ratio 0.1745
result/cdn2_allcolo.ns783.oracleGeneral.zst LRU cache size    32741, 13662451 req, miss ratio 0.1322, byte miss ratio 0.1322
result/cdn2_allcolo.ns783.oracleGeneral.zst LRU cache size   109139, 13662451 req, miss ratio 0.1018, byte miss ratio 0.1018
result/cdn2_allcolo.ns783.oracleGeneral.zst LRU cache size   218279, 13662451 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn2_allcolo.ns783.oracleGeneral.zst LRU cache size   436558, 13662451 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns783.oracleGeneral.zst LRU cache size   873116, 13662451 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns783.oracleGeneral.zst Clock cache size     1091, 13662451 req, miss ratio 0.3070, byte miss ratio 0.3070
result/cdn2_allcolo.ns783.oracleGeneral.zst Clock cache size     3274, 13662451 req, miss ratio 0.2361, byte miss ratio 0.2361
result/cdn2_allcolo.ns783.oracleGeneral.zst Clock cache size    10913, 13662451 req, miss ratio 0.1708, byte miss ratio 0.1708
result/cdn2_allcolo.ns783.oracleGeneral.zst Clock cache size    32741, 13662451 req, miss ratio 0.1297, byte miss ratio 0.1297
result/cdn2_allcolo.ns783.oracleGeneral.zst Clock cache size   109139, 13662451 req, miss ratio 0.0994, byte miss ratio 0.0994
result/cdn2_allcolo.ns783.oracleGeneral.zst Clock cache size   218279, 13662451 req, miss ratio 0.0880, byte miss ratio 0.0880
