result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO cache size       36, 3509388 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO cache size      108, 3509388 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO cache size      362, 3509388 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO cache size     1087, 3509388 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO cache size     3625, 3509388 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO cache size     7250, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO cache size    14501, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO cache size    29002, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst LIRS cache size       36, 3509388 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_allcolo.ns8937.oracleGeneral.zst LIRS cache size      108, 3509388 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_allcolo.ns8937.oracleGeneral.zst LIRS cache size      362, 3509388 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns8937.oracleGeneral.zst LIRS cache size     1087, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst LIRS cache size     3625, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst LIRS cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst LIRS cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst LIRS cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst ARC cache size       36, 3509388 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_allcolo.ns8937.oracleGeneral.zst ARC cache size      108, 3509388 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn2_allcolo.ns8937.oracleGeneral.zst ARC cache size      362, 3509388 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns8937.oracleGeneral.zst ARC cache size     1087, 3509388 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns8937.oracleGeneral.zst ARC cache size     3625, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst ARC cache size     7250, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst ARC cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst ARC cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst Cacheus cache size       36, 3509388 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_allcolo.ns8937.oracleGeneral.zst Cacheus cache size      108, 3509388 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn2_allcolo.ns8937.oracleGeneral.zst Cacheus cache size      362, 3509388 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns8937.oracleGeneral.zst Cacheus cache size     1087, 3509388 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns8937.oracleGeneral.zst Cacheus cache size     3625, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst Cacheus cache size     7250, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst Cacheus cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst Cacheus cache size    29002, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst LHD cache size       36, 3509388 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_allcolo.ns8937.oracleGeneral.zst LHD cache size      108, 3509388 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns8937.oracleGeneral.zst LHD cache size      362, 3509388 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns8937.oracleGeneral.zst LHD cache size     1087, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst LHD cache size     3625, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst LHD cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst LHD cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst LHD cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
