result/cdn2_colo28.ns1004.oracleGeneral.zst LeCaR cache size      392, 4558740 req, miss ratio 0.1768, byte miss ratio 0.1768
result/cdn2_colo28.ns1004.oracleGeneral.zst LeCaR cache size     1176, 4558740 req, miss ratio 0.1671, byte miss ratio 0.1671
result/cdn2_colo28.ns1004.oracleGeneral.zst LeCaR cache size     3923, 4558740 req, miss ratio 0.1529, byte miss ratio 0.1529
result/cdn2_colo28.ns1004.oracleGeneral.zst LeCaR cache size    11769, 4558740 req, miss ratio 0.1364, byte miss ratio 0.1364
result/cdn2_colo28.ns1004.oracleGeneral.zst LeCaR cache size    39231, 4558740 req, miss ratio 0.1128, byte miss ratio 0.1128
result/cdn2_colo28.ns1004.oracleGeneral.zst LeCaR cache size    78462, 4558740 req, miss ratio 0.1007, byte miss ratio 0.1007
result/cdn2_colo28.ns1004.oracleGeneral.zst LeCaR cache size   156925, 4558740 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn2_colo28.ns1004.oracleGeneral.zst LeCaR cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst ARC cache size      392, 4558740 req, miss ratio 0.1734, byte miss ratio 0.1734
result/cdn2_colo28.ns1004.oracleGeneral.zst ARC cache size     1176, 4558740 req, miss ratio 0.1620, byte miss ratio 0.1620
result/cdn2_colo28.ns1004.oracleGeneral.zst ARC cache size     3923, 4558740 req, miss ratio 0.1465, byte miss ratio 0.1465
result/cdn2_colo28.ns1004.oracleGeneral.zst ARC cache size    11769, 4558740 req, miss ratio 0.1282, byte miss ratio 0.1282
result/cdn2_colo28.ns1004.oracleGeneral.zst ARC cache size    39231, 4558740 req, miss ratio 0.1063, byte miss ratio 0.1063
result/cdn2_colo28.ns1004.oracleGeneral.zst ARC cache size    78462, 4558740 req, miss ratio 0.0963, byte miss ratio 0.0963
result/cdn2_colo28.ns1004.oracleGeneral.zst ARC cache size   156925, 4558740 req, miss ratio 0.0900, byte miss ratio 0.0900
result/cdn2_colo28.ns1004.oracleGeneral.zst ARC cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst LRU cache size      392, 4558740 req, miss ratio 0.1811, byte miss ratio 0.1811
result/cdn2_colo28.ns1004.oracleGeneral.zst LRU cache size     1176, 4558740 req, miss ratio 0.1693, byte miss ratio 0.1693
result/cdn2_colo28.ns1004.oracleGeneral.zst LRU cache size     3923, 4558740 req, miss ratio 0.1550, byte miss ratio 0.1550
result/cdn2_colo28.ns1004.oracleGeneral.zst LRU cache size    11769, 4558740 req, miss ratio 0.1382, byte miss ratio 0.1382
result/cdn2_colo28.ns1004.oracleGeneral.zst LRU cache size    39231, 4558740 req, miss ratio 0.1157, byte miss ratio 0.1157
result/cdn2_colo28.ns1004.oracleGeneral.zst LRU cache size    78462, 4558740 req, miss ratio 0.1021, byte miss ratio 0.1021
result/cdn2_colo28.ns1004.oracleGeneral.zst LRU cache size   156925, 4558740 req, miss ratio 0.0920, byte miss ratio 0.0920
result/cdn2_colo28.ns1004.oracleGeneral.zst LRU cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst Clock cache size      392, 4558740 req, miss ratio 0.1789, byte miss ratio 0.1789
result/cdn2_colo28.ns1004.oracleGeneral.zst Clock cache size     1176, 4558740 req, miss ratio 0.1676, byte miss ratio 0.1676
result/cdn2_colo28.ns1004.oracleGeneral.zst Clock cache size     3923, 4558740 req, miss ratio 0.1530, byte miss ratio 0.1530
result/cdn2_colo28.ns1004.oracleGeneral.zst Clock cache size    11769, 4558740 req, miss ratio 0.1361, byte miss ratio 0.1361
result/cdn2_colo28.ns1004.oracleGeneral.zst Clock cache size    39231, 4558740 req, miss ratio 0.1134, byte miss ratio 0.1134
result/cdn2_colo28.ns1004.oracleGeneral.zst Clock cache size    78462, 4558740 req, miss ratio 0.1004, byte miss ratio 0.1004
result/cdn2_colo28.ns1004.oracleGeneral.zst Clock cache size   156925, 4558740 req, miss ratio 0.0908, byte miss ratio 0.0908
result/cdn2_colo28.ns1004.oracleGeneral.zst Clock cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst LIRS cache size      392, 4558740 req, miss ratio 0.1740, byte miss ratio 0.1740
result/cdn2_colo28.ns1004.oracleGeneral.zst LIRS cache size     1176, 4558740 req, miss ratio 0.1626, byte miss ratio 0.1626
result/cdn2_colo28.ns1004.oracleGeneral.zst LIRS cache size     3923, 4558740 req, miss ratio 0.1470, byte miss ratio 0.1470
result/cdn2_colo28.ns1004.oracleGeneral.zst LIRS cache size    11769, 4558740 req, miss ratio 0.1287, byte miss ratio 0.1287
result/cdn2_colo28.ns1004.oracleGeneral.zst LIRS cache size    39231, 4558740 req, miss ratio 0.1074, byte miss ratio 0.1074
result/cdn2_colo28.ns1004.oracleGeneral.zst LIRS cache size    78462, 4558740 req, miss ratio 0.0983, byte miss ratio 0.0983
result/cdn2_colo28.ns1004.oracleGeneral.zst LIRS cache size   156925, 4558740 req, miss ratio 0.0924, byte miss ratio 0.0924
result/cdn2_colo28.ns1004.oracleGeneral.zst LIRS cache size   313850, 4558740 req, miss ratio 0.0869, byte miss ratio 0.0869
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO cache size      392, 4558740 req, miss ratio 0.1995, byte miss ratio 0.1995
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO cache size     1176, 4558740 req, miss ratio 0.1779, byte miss ratio 0.1779
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO cache size     3923, 4558740 req, miss ratio 0.1604, byte miss ratio 0.1604
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO cache size    11769, 4558740 req, miss ratio 0.1436, byte miss ratio 0.1436
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO cache size    39231, 4558740 req, miss ratio 0.1222, byte miss ratio 0.1222
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO cache size    78462, 4558740 req, miss ratio 0.1090, byte miss ratio 0.1090
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO cache size   156925, 4558740 req, miss ratio 0.0975, byte miss ratio 0.0975
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO cache size   313850, 4558740 req, miss ratio 0.0888, byte miss ratio 0.0888
result/cdn2_colo28.ns1004.oracleGeneral.zst clock2 cache size      392, 4558740 req, miss ratio 0.1763, byte miss ratio 0.1763
result/cdn2_colo28.ns1004.oracleGeneral.zst clock2 cache size     1176, 4558740 req, miss ratio 0.1659, byte miss ratio 0.1659
result/cdn2_colo28.ns1004.oracleGeneral.zst clock2 cache size     3923, 4558740 req, miss ratio 0.1510, byte miss ratio 0.1510
result/cdn2_colo28.ns1004.oracleGeneral.zst clock2 cache size    11769, 4558740 req, miss ratio 0.1338, byte miss ratio 0.1338
result/cdn2_colo28.ns1004.oracleGeneral.zst clock2 cache size    39231, 4558740 req, miss ratio 0.1110, byte miss ratio 0.1110
result/cdn2_colo28.ns1004.oracleGeneral.zst clock2 cache size    78462, 4558740 req, miss ratio 0.0988, byte miss ratio 0.0988
result/cdn2_colo28.ns1004.oracleGeneral.zst clock2 cache size   156925, 4558740 req, miss ratio 0.0904, byte miss ratio 0.0904
result/cdn2_colo28.ns1004.oracleGeneral.zst clock2 cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst LHD cache size      392, 4558740 req, miss ratio 0.1778, byte miss ratio 0.1778
result/cdn2_colo28.ns1004.oracleGeneral.zst LHD cache size     1176, 4558740 req, miss ratio 0.1655, byte miss ratio 0.1655
result/cdn2_colo28.ns1004.oracleGeneral.zst LHD cache size     3923, 4558740 req, miss ratio 0.1498, byte miss ratio 0.1498
result/cdn2_colo28.ns1004.oracleGeneral.zst LHD cache size    11769, 4558740 req, miss ratio 0.1330, byte miss ratio 0.1330
result/cdn2_colo28.ns1004.oracleGeneral.zst LHD cache size    39231, 4558740 req, miss ratio 0.1105, byte miss ratio 0.1105
