result/cdn2_colo28.ns1289.oracleGeneral.zst LIRS cache size       14, 5688431 req, miss ratio 0.3266, byte miss ratio 0.3266
result/cdn2_colo28.ns1289.oracleGeneral.zst LIRS cache size       43, 5688431 req, miss ratio 0.2021, byte miss ratio 0.2021
result/cdn2_colo28.ns1289.oracleGeneral.zst LIRS cache size      145, 5688431 req, miss ratio 0.0655, byte miss ratio 0.0655
result/cdn2_colo28.ns1289.oracleGeneral.zst LIRS cache size      436, 5688431 req, miss ratio 0.0227, byte miss ratio 0.0227
result/cdn2_colo28.ns1289.oracleGeneral.zst LIRS cache size     1454, 5688431 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns1289.oracleGeneral.zst LIRS cache size     2908, 5688431 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1289.oracleGeneral.zst LIRS cache size     5817, 5688431 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns1289.oracleGeneral.zst LIRS cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst ARC cache size       14, 5688431 req, miss ratio 0.3080, byte miss ratio 0.3080
result/cdn2_colo28.ns1289.oracleGeneral.zst ARC cache size       43, 5688431 req, miss ratio 0.1816, byte miss ratio 0.1816
result/cdn2_colo28.ns1289.oracleGeneral.zst ARC cache size      145, 5688431 req, miss ratio 0.0669, byte miss ratio 0.0669
result/cdn2_colo28.ns1289.oracleGeneral.zst ARC cache size      436, 5688431 req, miss ratio 0.0253, byte miss ratio 0.0253
result/cdn2_colo28.ns1289.oracleGeneral.zst ARC cache size     1454, 5688431 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_colo28.ns1289.oracleGeneral.zst ARC cache size     2908, 5688431 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1289.oracleGeneral.zst ARC cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst ARC cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst LeCaR cache size       14, 5688431 req, miss ratio 0.3123, byte miss ratio 0.3123
result/cdn2_colo28.ns1289.oracleGeneral.zst LeCaR cache size       43, 5688431 req, miss ratio 0.1863, byte miss ratio 0.1863
result/cdn2_colo28.ns1289.oracleGeneral.zst LeCaR cache size      145, 5688431 req, miss ratio 0.0676, byte miss ratio 0.0676
result/cdn2_colo28.ns1289.oracleGeneral.zst LeCaR cache size      436, 5688431 req, miss ratio 0.0256, byte miss ratio 0.0256
result/cdn2_colo28.ns1289.oracleGeneral.zst LeCaR cache size     1454, 5688431 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_colo28.ns1289.oracleGeneral.zst LeCaR cache size     2908, 5688431 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1289.oracleGeneral.zst LeCaR cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst LeCaR cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
