result/cdn2_colo28.ns130.oracleGeneral.zst LHD cache size       81, 2052141 req, miss ratio 0.3748, byte miss ratio 0.3748
result/cdn2_colo28.ns130.oracleGeneral.zst LHD cache size      243, 2052141 req, miss ratio 0.3048, byte miss ratio 0.3048
result/cdn2_colo28.ns130.oracleGeneral.zst LHD cache size      811, 2052141 req, miss ratio 0.2193, byte miss ratio 0.2193
result/cdn2_colo28.ns130.oracleGeneral.zst LHD cache size     2435, 2052141 req, miss ratio 0.1542, byte miss ratio 0.1542
result/cdn2_colo28.ns130.oracleGeneral.zst LHD cache size     8117, 2052141 req, miss ratio 0.0955, byte miss ratio 0.0955
result/cdn2_colo28.ns130.oracleGeneral.zst LHD cache size    16235, 2052141 req, miss ratio 0.0698, byte miss ratio 0.0698
result/cdn2_colo28.ns130.oracleGeneral.zst LHD cache size    32470, 2052141 req, miss ratio 0.0495, byte miss ratio 0.0495
result/cdn2_colo28.ns130.oracleGeneral.zst LHD cache size    64940, 2052141 req, miss ratio 0.0404, byte miss ratio 0.0404
result/cdn2_colo28.ns130.oracleGeneral.zst LRU cache size       81, 2052141 req, miss ratio 0.3543, byte miss ratio 0.3543
result/cdn2_colo28.ns130.oracleGeneral.zst LRU cache size      243, 2052141 req, miss ratio 0.2889, byte miss ratio 0.2889
result/cdn2_colo28.ns130.oracleGeneral.zst LRU cache size      811, 2052141 req, miss ratio 0.2181, byte miss ratio 0.2181
result/cdn2_colo28.ns130.oracleGeneral.zst LRU cache size     2435, 2052141 req, miss ratio 0.1552, byte miss ratio 0.1552
result/cdn2_colo28.ns130.oracleGeneral.zst LRU cache size     8117, 2052141 req, miss ratio 0.0969, byte miss ratio 0.0969
result/cdn2_colo28.ns130.oracleGeneral.zst LRU cache size    16235, 2052141 req, miss ratio 0.0713, byte miss ratio 0.0713
result/cdn2_colo28.ns130.oracleGeneral.zst LRU cache size    32470, 2052141 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_colo28.ns130.oracleGeneral.zst LRU cache size    64940, 2052141 req, miss ratio 0.0400, byte miss ratio 0.0400
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO cache size       81, 2052141 req, miss ratio 0.3662, byte miss ratio 0.3662
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO cache size      243, 2052141 req, miss ratio 0.3090, byte miss ratio 0.3090
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO cache size      811, 2052141 req, miss ratio 0.2396, byte miss ratio 0.2396
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO cache size     2435, 2052141 req, miss ratio 0.1753, byte miss ratio 0.1753
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO cache size     8117, 2052141 req, miss ratio 0.1130, byte miss ratio 0.1130
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO cache size    16235, 2052141 req, miss ratio 0.0856, byte miss ratio 0.0856
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO cache size    32470, 2052141 req, miss ratio 0.0598, byte miss ratio 0.0598
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO cache size    64940, 2052141 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_colo28.ns130.oracleGeneral.zst Clock cache size       81, 2052141 req, miss ratio 0.3586, byte miss ratio 0.3586
result/cdn2_colo28.ns130.oracleGeneral.zst Clock cache size      243, 2052141 req, miss ratio 0.2954, byte miss ratio 0.2954
