result/cdn2_colo28.ns172.oracleGeneral.zst Cacheus cache size    30810, 31583756 req, miss ratio 0.9800, byte miss ratio 0.9800
result/cdn2_colo28.ns172.oracleGeneral.zst Cacheus cache size    92430, 31583756 req, miss ratio 0.9797, byte miss ratio 0.9797
result/cdn2_colo28.ns172.oracleGeneral.zst Cacheus cache size   308102, 31583756 req, miss ratio 0.9794, byte miss ratio 0.9794
result/cdn2_colo28.ns172.oracleGeneral.zst Cacheus cache size   924306, 31583756 req, miss ratio 0.9789, byte miss ratio 0.9789
result/cdn2_colo28.ns172.oracleGeneral.zst Cacheus cache size  3081021, 31583756 req, miss ratio 0.9782, byte miss ratio 0.9782
result/cdn2_colo28.ns172.oracleGeneral.zst Cacheus cache size  6162043, 31583756 req, miss ratio 0.9776, byte miss ratio 0.9776
result/cdn2_colo28.ns172.oracleGeneral.zst Cacheus cache size 12324087, 31583756 req, miss ratio 0.9769, byte miss ratio 0.9769
result/cdn2_colo28.ns172.oracleGeneral.zst Cacheus cache size 24648175, 31583756 req, miss ratio 0.9761, byte miss ratio 0.9761
result/cdn2_colo28.ns172.oracleGeneral.zst ARC cache size    30810, 31583756 req, miss ratio 0.9801, byte miss ratio 0.9801
result/cdn2_colo28.ns172.oracleGeneral.zst ARC cache size    92430, 31583756 req, miss ratio 0.9798, byte miss ratio 0.9798
result/cdn2_colo28.ns172.oracleGeneral.zst ARC cache size   308102, 31583756 req, miss ratio 0.9793, byte miss ratio 0.9793
result/cdn2_colo28.ns172.oracleGeneral.zst ARC cache size   924306, 31583756 req, miss ratio 0.9788, byte miss ratio 0.9788
result/cdn2_colo28.ns172.oracleGeneral.zst ARC cache size  3081021, 31583756 req, miss ratio 0.9779, byte miss ratio 0.9779
result/cdn2_colo28.ns172.oracleGeneral.zst ARC cache size  6162043, 31583756 req, miss ratio 0.9770, byte miss ratio 0.9770
result/cdn2_colo28.ns172.oracleGeneral.zst ARC cache size 12324087, 31583756 req, miss ratio 0.9761, byte miss ratio 0.9761
result/cdn2_colo28.ns172.oracleGeneral.zst ARC cache size 24648175, 31583756 req, miss ratio 0.9755, byte miss ratio 0.9755
result/cdn2_colo28.ns172.oracleGeneral.zst LHD cache size    30810, 31583756 req, miss ratio 0.9812, byte miss ratio 0.9812
result/cdn2_colo28.ns172.oracleGeneral.zst LHD cache size    92430, 31583756 req, miss ratio 0.9805, byte miss ratio 0.9805
result/cdn2_colo28.ns172.oracleGeneral.zst LHD cache size   308102, 31583756 req, miss ratio 0.9799, byte miss ratio 0.9799
result/cdn2_colo28.ns172.oracleGeneral.zst LHD cache size   924306, 31583756 req, miss ratio 0.9795, byte miss ratio 0.9795
result/cdn2_colo28.ns172.oracleGeneral.zst LHD cache size  3081021, 31583756 req, miss ratio 0.9782, byte miss ratio 0.9782
result/cdn2_colo28.ns172.oracleGeneral.zst LHD cache size  6162043, 31583756 req, miss ratio 0.9774, byte miss ratio 0.9774
