result/cdn2_colo28.ns272.oracleGeneral.zst ARC cache size      632, 3529940 req, miss ratio 0.8945, byte miss ratio 0.8945
result/cdn2_colo28.ns272.oracleGeneral.zst ARC cache size     1897, 3529940 req, miss ratio 0.8461, byte miss ratio 0.8461
result/cdn2_colo28.ns272.oracleGeneral.zst ARC cache size     6325, 3529940 req, miss ratio 0.7748, byte miss ratio 0.7748
result/cdn2_colo28.ns272.oracleGeneral.zst ARC cache size    18975, 3529940 req, miss ratio 0.6766, byte miss ratio 0.6766
result/cdn2_colo28.ns272.oracleGeneral.zst ARC cache size    63252, 3529940 req, miss ratio 0.4858, byte miss ratio 0.4858
result/cdn2_colo28.ns272.oracleGeneral.zst ARC cache size   126505, 3529940 req, miss ratio 0.3446, byte miss ratio 0.3446
result/cdn2_colo28.ns272.oracleGeneral.zst ARC cache size   253011, 3529940 req, miss ratio 0.2305, byte miss ratio 0.2305
result/cdn2_colo28.ns272.oracleGeneral.zst ARC cache size   506022, 3529940 req, miss ratio 0.1821, byte miss ratio 0.1821
result/cdn2_colo28.ns272.oracleGeneral.zst LIRS cache size      632, 3529940 req, miss ratio 0.8997, byte miss ratio 0.8997
result/cdn2_colo28.ns272.oracleGeneral.zst LIRS cache size     1897, 3529940 req, miss ratio 0.8597, byte miss ratio 0.8597
result/cdn2_colo28.ns272.oracleGeneral.zst LIRS cache size     6325, 3529940 req, miss ratio 0.7939, byte miss ratio 0.7939
result/cdn2_colo28.ns272.oracleGeneral.zst LIRS cache size    18975, 3529940 req, miss ratio 0.6848, byte miss ratio 0.6848
result/cdn2_colo28.ns272.oracleGeneral.zst LIRS cache size    63252, 3529940 req, miss ratio 0.4860, byte miss ratio 0.4860
result/cdn2_colo28.ns272.oracleGeneral.zst LIRS cache size   126505, 3529940 req, miss ratio 0.3428, byte miss ratio 0.3428
result/cdn2_colo28.ns272.oracleGeneral.zst LIRS cache size   253011, 3529940 req, miss ratio 0.2396, byte miss ratio 0.2396
result/cdn2_colo28.ns272.oracleGeneral.zst LIRS cache size   506022, 3529940 req, miss ratio 0.1870, byte miss ratio 0.1870
result/cdn2_colo28.ns272.oracleGeneral.zst LRU cache size      632, 3529940 req, miss ratio 0.9260, byte miss ratio 0.9260
result/cdn2_colo28.ns272.oracleGeneral.zst LRU cache size     1897, 3529940 req, miss ratio 0.8726, byte miss ratio 0.8726
result/cdn2_colo28.ns272.oracleGeneral.zst LRU cache size     6325, 3529940 req, miss ratio 0.8022, byte miss ratio 0.8022
result/cdn2_colo28.ns272.oracleGeneral.zst LRU cache size    18975, 3529940 req, miss ratio 0.7061, byte miss ratio 0.7061
result/cdn2_colo28.ns272.oracleGeneral.zst LRU cache size    63252, 3529940 req, miss ratio 0.5395, byte miss ratio 0.5395
result/cdn2_colo28.ns272.oracleGeneral.zst LRU cache size   126505, 3529940 req, miss ratio 0.4049, byte miss ratio 0.4049
result/cdn2_colo28.ns272.oracleGeneral.zst LRU cache size   253011, 3529940 req, miss ratio 0.2392, byte miss ratio 0.2392
result/cdn2_colo28.ns272.oracleGeneral.zst LRU cache size   506022, 3529940 req, miss ratio 0.1822, byte miss ratio 0.1822
result/cdn2_colo28.ns272.oracleGeneral.zst LeCaR cache size      632, 3529940 req, miss ratio 0.9247, byte miss ratio 0.9247
result/cdn2_colo28.ns272.oracleGeneral.zst LeCaR cache size     1897, 3529940 req, miss ratio 0.8720, byte miss ratio 0.8720
result/cdn2_colo28.ns272.oracleGeneral.zst LeCaR cache size     6325, 3529940 req, miss ratio 0.8018, byte miss ratio 0.8018
result/cdn2_colo28.ns272.oracleGeneral.zst LeCaR cache size    18975, 3529940 req, miss ratio 0.7055, byte miss ratio 0.7055
result/cdn2_colo28.ns272.oracleGeneral.zst LeCaR cache size    63252, 3529940 req, miss ratio 0.5373, byte miss ratio 0.5373
result/cdn2_colo28.ns272.oracleGeneral.zst LeCaR cache size   126505, 3529940 req, miss ratio 0.3718, byte miss ratio 0.3718
result/cdn2_colo28.ns272.oracleGeneral.zst LeCaR cache size   253011, 3529940 req, miss ratio 0.2372, byte miss ratio 0.2372
result/cdn2_colo28.ns272.oracleGeneral.zst LeCaR cache size   506022, 3529940 req, miss ratio 0.1822, byte miss ratio 0.1822
result/cdn2_colo28.ns272.oracleGeneral.zst Clock cache size      632, 3529940 req, miss ratio 0.9219, byte miss ratio 0.9219
result/cdn2_colo28.ns272.oracleGeneral.zst Clock cache size     1897, 3529940 req, miss ratio 0.8682, byte miss ratio 0.8682
result/cdn2_colo28.ns272.oracleGeneral.zst Clock cache size     6325, 3529940 req, miss ratio 0.7976, byte miss ratio 0.7976
result/cdn2_colo28.ns272.oracleGeneral.zst Clock cache size    18975, 3529940 req, miss ratio 0.7007, byte miss ratio 0.7007
result/cdn2_colo28.ns272.oracleGeneral.zst Clock cache size    63252, 3529940 req, miss ratio 0.5298, byte miss ratio 0.5298
result/cdn2_colo28.ns272.oracleGeneral.zst Clock cache size   126505, 3529940 req, miss ratio 0.3855, byte miss ratio 0.3855
result/cdn2_colo28.ns272.oracleGeneral.zst Clock cache size   253011, 3529940 req, miss ratio 0.2371, byte miss ratio 0.2371
result/cdn2_colo28.ns272.oracleGeneral.zst Clock cache size   506022, 3529940 req, miss ratio 0.1821, byte miss ratio 0.1821
result/cdn2_colo28.ns272.oracleGeneral.zst LHD cache size      632, 3529940 req, miss ratio 0.9158, byte miss ratio 0.9158
result/cdn2_colo28.ns272.oracleGeneral.zst LHD cache size     1897, 3529940 req, miss ratio 0.8618, byte miss ratio 0.8618
result/cdn2_colo28.ns272.oracleGeneral.zst LHD cache size     6325, 3529940 req, miss ratio 0.7907, byte miss ratio 0.7907
result/cdn2_colo28.ns272.oracleGeneral.zst LHD cache size    18975, 3529940 req, miss ratio 0.6858, byte miss ratio 0.6858
result/cdn2_colo28.ns272.oracleGeneral.zst LHD cache size    63252, 3529940 req, miss ratio 0.5049, byte miss ratio 0.5049
