result/cdn2_colo28.ns2736.oracleGeneral.zst clock2 cache size      414, 1033298 req, miss ratio 0.5895, byte miss ratio 0.5895
result/cdn2_colo28.ns2736.oracleGeneral.zst clock2 cache size     1242, 1033298 req, miss ratio 0.5707, byte miss ratio 0.5707
result/cdn2_colo28.ns2736.oracleGeneral.zst clock2 cache size     4142, 1033298 req, miss ratio 0.5388, byte miss ratio 0.5388
result/cdn2_colo28.ns2736.oracleGeneral.zst clock2 cache size    12428, 1033298 req, miss ratio 0.4935, byte miss ratio 0.4935
result/cdn2_colo28.ns2736.oracleGeneral.zst clock2 cache size    41427, 1033298 req, miss ratio 0.4590, byte miss ratio 0.4590
result/cdn2_colo28.ns2736.oracleGeneral.zst clock2 cache size    82855, 1033298 req, miss ratio 0.4424, byte miss ratio 0.4424
result/cdn2_colo28.ns2736.oracleGeneral.zst clock2 cache size   165710, 1033298 req, miss ratio 0.4220, byte miss ratio 0.4220
result/cdn2_colo28.ns2736.oracleGeneral.zst clock2 cache size   331420, 1033298 req, miss ratio 0.4032, byte miss ratio 0.4032
result/cdn2_colo28.ns2736.oracleGeneral.zst LHD cache size      414, 1033298 req, miss ratio 0.5920, byte miss ratio 0.5920
result/cdn2_colo28.ns2736.oracleGeneral.zst LHD cache size     1242, 1033298 req, miss ratio 0.5700, byte miss ratio 0.5700
result/cdn2_colo28.ns2736.oracleGeneral.zst LHD cache size     4142, 1033298 req, miss ratio 0.5433, byte miss ratio 0.5433
result/cdn2_colo28.ns2736.oracleGeneral.zst LHD cache size    12428, 1033298 req, miss ratio 0.5027, byte miss ratio 0.5027
result/cdn2_colo28.ns2736.oracleGeneral.zst LHD cache size    41427, 1033298 req, miss ratio 0.4630, byte miss ratio 0.4630
result/cdn2_colo28.ns2736.oracleGeneral.zst LHD cache size    82855, 1033298 req, miss ratio 0.4450, byte miss ratio 0.4450
result/cdn2_colo28.ns2736.oracleGeneral.zst LHD cache size   165710, 1033298 req, miss ratio 0.4228, byte miss ratio 0.4228
result/cdn2_colo28.ns2736.oracleGeneral.zst LHD cache size   331420, 1033298 req, miss ratio 0.4030, byte miss ratio 0.4030
result/cdn2_colo28.ns2736.oracleGeneral.zst LRU cache size      414, 1033298 req, miss ratio 0.5947, byte miss ratio 0.5947
result/cdn2_colo28.ns2736.oracleGeneral.zst LRU cache size     1242, 1033298 req, miss ratio 0.5754, byte miss ratio 0.5754
result/cdn2_colo28.ns2736.oracleGeneral.zst LRU cache size     4142, 1033298 req, miss ratio 0.5498, byte miss ratio 0.5498
result/cdn2_colo28.ns2736.oracleGeneral.zst LRU cache size    12428, 1033298 req, miss ratio 0.5096, byte miss ratio 0.5096
result/cdn2_colo28.ns2736.oracleGeneral.zst LRU cache size    41427, 1033298 req, miss ratio 0.4663, byte miss ratio 0.4663
result/cdn2_colo28.ns2736.oracleGeneral.zst LRU cache size    82855, 1033298 req, miss ratio 0.4465, byte miss ratio 0.4465
result/cdn2_colo28.ns2736.oracleGeneral.zst LRU cache size   165710, 1033298 req, miss ratio 0.4261, byte miss ratio 0.4261
result/cdn2_colo28.ns2736.oracleGeneral.zst LRU cache size   331420, 1033298 req, miss ratio 0.4037, byte miss ratio 0.4037
result/cdn2_colo28.ns2736.oracleGeneral.zst Cacheus cache size      414, 1033298 req, miss ratio 0.5797, byte miss ratio 0.5797
result/cdn2_colo28.ns2736.oracleGeneral.zst Cacheus cache size     1242, 1033298 req, miss ratio 0.5529, byte miss ratio 0.5529
result/cdn2_colo28.ns2736.oracleGeneral.zst Cacheus cache size     4142, 1033298 req, miss ratio 0.5100, byte miss ratio 0.5100
result/cdn2_colo28.ns2736.oracleGeneral.zst Cacheus cache size    12428, 1033298 req, miss ratio 0.4729, byte miss ratio 0.4729
result/cdn2_colo28.ns2736.oracleGeneral.zst Cacheus cache size    41427, 1033298 req, miss ratio 0.4514, byte miss ratio 0.4514
result/cdn2_colo28.ns2736.oracleGeneral.zst Cacheus cache size    82855, 1033298 req, miss ratio 0.4399, byte miss ratio 0.4399
result/cdn2_colo28.ns2736.oracleGeneral.zst Cacheus cache size   165710, 1033298 req, miss ratio 0.4282, byte miss ratio 0.4282
result/cdn2_colo28.ns2736.oracleGeneral.zst Cacheus cache size   331420, 1033298 req, miss ratio 0.4135, byte miss ratio 0.4135
result/cdn2_colo28.ns2736.oracleGeneral.zst LeCaR cache size      414, 1033298 req, miss ratio 0.5917, byte miss ratio 0.5917
result/cdn2_colo28.ns2736.oracleGeneral.zst LeCaR cache size     1242, 1033298 req, miss ratio 0.5741, byte miss ratio 0.5741
result/cdn2_colo28.ns2736.oracleGeneral.zst LeCaR cache size     4142, 1033298 req, miss ratio 0.5445, byte miss ratio 0.5445
result/cdn2_colo28.ns2736.oracleGeneral.zst LeCaR cache size    12428, 1033298 req, miss ratio 0.5018, byte miss ratio 0.5018
result/cdn2_colo28.ns2736.oracleGeneral.zst LeCaR cache size    41427, 1033298 req, miss ratio 0.4652, byte miss ratio 0.4652
result/cdn2_colo28.ns2736.oracleGeneral.zst LeCaR cache size    82855, 1033298 req, miss ratio 0.4463, byte miss ratio 0.4463
result/cdn2_colo28.ns2736.oracleGeneral.zst LeCaR cache size   165710, 1033298 req, miss ratio 0.4253, byte miss ratio 0.4253
result/cdn2_colo28.ns2736.oracleGeneral.zst LeCaR cache size   331420, 1033298 req, miss ratio 0.4037, byte miss ratio 0.4037
result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size      414, 1033298 req, miss ratio 0.5919, byte miss ratio 0.5919
result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size     1242, 1033298 req, miss ratio 0.5729, byte miss ratio 0.5729
result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size     4142, 1033298 req, miss ratio 0.5439, byte miss ratio 0.5439
result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size    12428, 1033298 req, miss ratio 0.5026, byte miss ratio 0.5026
result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size    41427, 1033298 req, miss ratio 0.4622, byte miss ratio 0.4622
result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size    82855, 1033298 req, miss ratio 0.4443, byte miss ratio 0.4443
result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size   165710, 1033298 req, miss ratio 0.4227, byte miss ratio 0.4227
result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size   331420, 1033298 req, miss ratio 0.4032, byte miss ratio 0.4032
