result/cdn2_colo28.ns2756.oracleGeneral.zst LeCaR cache size       95, 1991545 req, miss ratio 0.6059, byte miss ratio 0.6059
result/cdn2_colo28.ns2756.oracleGeneral.zst LeCaR cache size      286, 1991545 req, miss ratio 0.4620, byte miss ratio 0.4620
result/cdn2_colo28.ns2756.oracleGeneral.zst LeCaR cache size      955, 1991545 req, miss ratio 0.3659, byte miss ratio 0.3659
result/cdn2_colo28.ns2756.oracleGeneral.zst LeCaR cache size     2865, 1991545 req, miss ratio 0.2571, byte miss ratio 0.2571
result/cdn2_colo28.ns2756.oracleGeneral.zst LeCaR cache size     9551, 1991545 req, miss ratio 0.1253, byte miss ratio 0.1253
result/cdn2_colo28.ns2756.oracleGeneral.zst LeCaR cache size    19102, 1991545 req, miss ratio 0.0770, byte miss ratio 0.0770
result/cdn2_colo28.ns2756.oracleGeneral.zst LeCaR cache size    38205, 1991545 req, miss ratio 0.0568, byte miss ratio 0.0568
result/cdn2_colo28.ns2756.oracleGeneral.zst LeCaR cache size    76411, 1991545 req, miss ratio 0.0484, byte miss ratio 0.0484
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-1 cache size       95, 1991545 req, miss ratio 0.5228, byte miss ratio 0.5228
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-1 cache size      286, 1991545 req, miss ratio 0.4311, byte miss ratio 0.4311
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-1 cache size      955, 1991545 req, miss ratio 0.3340, byte miss ratio 0.3340
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-1 cache size     2865, 1991545 req, miss ratio 0.2317, byte miss ratio 0.2317
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-1 cache size     9551, 1991545 req, miss ratio 0.1156, byte miss ratio 0.1156
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-1 cache size    19102, 1991545 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-1 cache size    38205, 1991545 req, miss ratio 0.0562, byte miss ratio 0.0562
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-1 cache size    76411, 1991545 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns2756.oracleGeneral.zst ARC cache size       95, 1991545 req, miss ratio 0.5494, byte miss ratio 0.5494
result/cdn2_colo28.ns2756.oracleGeneral.zst ARC cache size      286, 1991545 req, miss ratio 0.4420, byte miss ratio 0.4420
result/cdn2_colo28.ns2756.oracleGeneral.zst ARC cache size      955, 1991545 req, miss ratio 0.3478, byte miss ratio 0.3478
result/cdn2_colo28.ns2756.oracleGeneral.zst ARC cache size     2865, 1991545 req, miss ratio 0.2438, byte miss ratio 0.2438
result/cdn2_colo28.ns2756.oracleGeneral.zst ARC cache size     9551, 1991545 req, miss ratio 0.1234, byte miss ratio 0.1234
result/cdn2_colo28.ns2756.oracleGeneral.zst ARC cache size    19102, 1991545 req, miss ratio 0.0766, byte miss ratio 0.0766
result/cdn2_colo28.ns2756.oracleGeneral.zst ARC cache size    38205, 1991545 req, miss ratio 0.0573, byte miss ratio 0.0573
result/cdn2_colo28.ns2756.oracleGeneral.zst ARC cache size    76411, 1991545 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns2756.oracleGeneral.zst LIRS cache size       95, 1991545 req, miss ratio 0.5515, byte miss ratio 0.5515
result/cdn2_colo28.ns2756.oracleGeneral.zst LIRS cache size      286, 1991545 req, miss ratio 0.4557, byte miss ratio 0.4557
result/cdn2_colo28.ns2756.oracleGeneral.zst LIRS cache size      955, 1991545 req, miss ratio 0.3542, byte miss ratio 0.3542
result/cdn2_colo28.ns2756.oracleGeneral.zst LIRS cache size     2865, 1991545 req, miss ratio 0.2454, byte miss ratio 0.2454
result/cdn2_colo28.ns2756.oracleGeneral.zst LIRS cache size     9551, 1991545 req, miss ratio 0.1226, byte miss ratio 0.1226
result/cdn2_colo28.ns2756.oracleGeneral.zst LIRS cache size    19102, 1991545 req, miss ratio 0.0775, byte miss ratio 0.0775
result/cdn2_colo28.ns2756.oracleGeneral.zst LIRS cache size    38205, 1991545 req, miss ratio 0.0580, byte miss ratio 0.0580
result/cdn2_colo28.ns2756.oracleGeneral.zst LIRS cache size    76411, 1991545 req, miss ratio 0.0495, byte miss ratio 0.0495
