result/cdn2_colo28.ns290.oracleGeneral.zst LeCaR cache size     6085, 9434426 req, miss ratio 0.8261, byte miss ratio 0.8261
result/cdn2_colo28.ns290.oracleGeneral.zst LeCaR cache size    18257, 9434426 req, miss ratio 0.8043, byte miss ratio 0.8043
result/cdn2_colo28.ns290.oracleGeneral.zst LeCaR cache size    60857, 9434426 req, miss ratio 0.7771, byte miss ratio 0.7771
result/cdn2_colo28.ns290.oracleGeneral.zst LeCaR cache size   182572, 9434426 req, miss ratio 0.7476, byte miss ratio 0.7476
result/cdn2_colo28.ns290.oracleGeneral.zst LeCaR cache size   608575, 9434426 req, miss ratio 0.7008, byte miss ratio 0.7008
result/cdn2_colo28.ns290.oracleGeneral.zst LeCaR cache size  1217151, 9434426 req, miss ratio 0.6793, byte miss ratio 0.6793
result/cdn2_colo28.ns290.oracleGeneral.zst LeCaR cache size  2434303, 9434426 req, miss ratio 0.6601, byte miss ratio 0.6601
result/cdn2_colo28.ns290.oracleGeneral.zst LeCaR cache size  4868606, 9434426 req, miss ratio 0.6457, byte miss ratio 0.6457
result/cdn2_colo28.ns290.oracleGeneral.zst ARC cache size     6085, 9434426 req, miss ratio 0.8156, byte miss ratio 0.8156
result/cdn2_colo28.ns290.oracleGeneral.zst ARC cache size    18257, 9434426 req, miss ratio 0.7928, byte miss ratio 0.7928
result/cdn2_colo28.ns290.oracleGeneral.zst ARC cache size    60857, 9434426 req, miss ratio 0.7644, byte miss ratio 0.7644
result/cdn2_colo28.ns290.oracleGeneral.zst ARC cache size   182572, 9434426 req, miss ratio 0.7331, byte miss ratio 0.7331
result/cdn2_colo28.ns290.oracleGeneral.zst ARC cache size   608575, 9434426 req, miss ratio 0.6974, byte miss ratio 0.6974
result/cdn2_colo28.ns290.oracleGeneral.zst ARC cache size  1217151, 9434426 req, miss ratio 0.6743, byte miss ratio 0.6743
result/cdn2_colo28.ns290.oracleGeneral.zst ARC cache size  2434303, 9434426 req, miss ratio 0.6567, byte miss ratio 0.6567
result/cdn2_colo28.ns290.oracleGeneral.zst ARC cache size  4868606, 9434426 req, miss ratio 0.6456, byte miss ratio 0.6456
result/cdn2_colo28.ns290.oracleGeneral.zst Clock cache size     6085, 9434426 req, miss ratio 0.8287, byte miss ratio 0.8287
result/cdn2_colo28.ns290.oracleGeneral.zst Clock cache size    18257, 9434426 req, miss ratio 0.8044, byte miss ratio 0.8044
result/cdn2_colo28.ns290.oracleGeneral.zst Clock cache size    60857, 9434426 req, miss ratio 0.7760, byte miss ratio 0.7760
