result/cdn2_colo28.ns36982.oracleGeneral.zst LRU cache size        6, 4498598 req, miss ratio 0.8297, byte miss ratio 0.8297
result/cdn2_colo28.ns36982.oracleGeneral.zst LRU cache size       18, 4498598 req, miss ratio 0.4664, byte miss ratio 0.4664
result/cdn2_colo28.ns36982.oracleGeneral.zst LRU cache size       60, 4498598 req, miss ratio 0.0787, byte miss ratio 0.0787
result/cdn2_colo28.ns36982.oracleGeneral.zst LRU cache size      181, 4498598 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn2_colo28.ns36982.oracleGeneral.zst LRU cache size      604, 4498598 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_colo28.ns36982.oracleGeneral.zst LRU cache size     1209, 4498598 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns36982.oracleGeneral.zst LRU cache size     2419, 4498598 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns36982.oracleGeneral.zst LRU cache size     4838, 4498598 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns36982.oracleGeneral.zst clock2 cache size        6, 4498598 req, miss ratio 0.8249, byte miss ratio 0.8249
result/cdn2_colo28.ns36982.oracleGeneral.zst clock2 cache size       18, 4498598 req, miss ratio 0.3922, byte miss ratio 0.3922
result/cdn2_colo28.ns36982.oracleGeneral.zst clock2 cache size       60, 4498598 req, miss ratio 0.0710, byte miss ratio 0.0710
result/cdn2_colo28.ns36982.oracleGeneral.zst clock2 cache size      181, 4498598 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_colo28.ns36982.oracleGeneral.zst clock2 cache size      604, 4498598 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns36982.oracleGeneral.zst clock2 cache size     1209, 4498598 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns36982.oracleGeneral.zst clock2 cache size     2419, 4498598 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns36982.oracleGeneral.zst clock2 cache size     4838, 4498598 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns36982.oracleGeneral.zst S3FIFO-1 cache size        6, 4498598 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns36982.oracleGeneral.zst S3FIFO-1 cache size       18, 4498598 req, miss ratio 0.3212, byte miss ratio 0.3212
result/cdn2_colo28.ns36982.oracleGeneral.zst S3FIFO-1 cache size       60, 4498598 req, miss ratio 0.0666, byte miss ratio 0.0666
result/cdn2_colo28.ns36982.oracleGeneral.zst S3FIFO-1 cache size      181, 4498598 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_colo28.ns36982.oracleGeneral.zst S3FIFO-1 cache size      604, 4498598 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns36982.oracleGeneral.zst S3FIFO-1 cache size     1209, 4498598 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns36982.oracleGeneral.zst S3FIFO-1 cache size     2419, 4498598 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_colo28.ns36982.oracleGeneral.zst S3FIFO-1 cache size     4838, 4498598 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns36982.oracleGeneral.zst Clock cache size        6, 4498598 req, miss ratio 0.8263, byte miss ratio 0.8263
result/cdn2_colo28.ns36982.oracleGeneral.zst Clock cache size       18, 4498598 req, miss ratio 0.4359, byte miss ratio 0.4359
result/cdn2_colo28.ns36982.oracleGeneral.zst Clock cache size       60, 4498598 req, miss ratio 0.0758, byte miss ratio 0.0758
result/cdn2_colo28.ns36982.oracleGeneral.zst Clock cache size      181, 4498598 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn2_colo28.ns36982.oracleGeneral.zst Clock cache size      604, 4498598 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns36982.oracleGeneral.zst Clock cache size     1209, 4498598 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns36982.oracleGeneral.zst Clock cache size     2419, 4498598 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns36982.oracleGeneral.zst Clock cache size     4838, 4498598 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns36982.oracleGeneral.zst ARC cache size        6, 4498598 req, miss ratio 0.7564, byte miss ratio 0.7564
result/cdn2_colo28.ns36982.oracleGeneral.zst ARC cache size       18, 4498598 req, miss ratio 0.3793, byte miss ratio 0.3793
result/cdn2_colo28.ns36982.oracleGeneral.zst ARC cache size       60, 4498598 req, miss ratio 0.0719, byte miss ratio 0.0719
result/cdn2_colo28.ns36982.oracleGeneral.zst ARC cache size      181, 4498598 req, miss ratio 0.0143, byte miss ratio 0.0143
