result/cdn2_colo28.ns462.oracleGeneral.zst FIFO cache size        9, 1241566 req, miss ratio 0.6760, byte miss ratio 0.6760
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO cache size       27, 1241566 req, miss ratio 0.5042, byte miss ratio 0.5042
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO cache size       91, 1241566 req, miss ratio 0.3400, byte miss ratio 0.3400
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO cache size      274, 1241566 req, miss ratio 0.2279, byte miss ratio 0.2279
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO cache size      916, 1241566 req, miss ratio 0.1272, byte miss ratio 0.1272
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO cache size     1832, 1241566 req, miss ratio 0.0756, byte miss ratio 0.0756
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO cache size     3664, 1241566 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO cache size     7328, 1241566 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_colo28.ns462.oracleGeneral.zst ARC cache size        9, 1241566 req, miss ratio 0.5734, byte miss ratio 0.5734
result/cdn2_colo28.ns462.oracleGeneral.zst ARC cache size       27, 1241566 req, miss ratio 0.3469, byte miss ratio 0.3469
result/cdn2_colo28.ns462.oracleGeneral.zst ARC cache size       91, 1241566 req, miss ratio 0.2380, byte miss ratio 0.2380
result/cdn2_colo28.ns462.oracleGeneral.zst ARC cache size      274, 1241566 req, miss ratio 0.1570, byte miss ratio 0.1570
result/cdn2_colo28.ns462.oracleGeneral.zst ARC cache size      916, 1241566 req, miss ratio 0.0896, byte miss ratio 0.0896
result/cdn2_colo28.ns462.oracleGeneral.zst ARC cache size     1832, 1241566 req, miss ratio 0.0504, byte miss ratio 0.0504
result/cdn2_colo28.ns462.oracleGeneral.zst ARC cache size     3664, 1241566 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_colo28.ns462.oracleGeneral.zst ARC cache size     7328, 1241566 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_colo28.ns462.oracleGeneral.zst Clock cache size        9, 1241566 req, miss ratio 0.6288, byte miss ratio 0.6288
result/cdn2_colo28.ns462.oracleGeneral.zst Clock cache size       27, 1241566 req, miss ratio 0.4284, byte miss ratio 0.4284
result/cdn2_colo28.ns462.oracleGeneral.zst Clock cache size       91, 1241566 req, miss ratio 0.2777, byte miss ratio 0.2777
result/cdn2_colo28.ns462.oracleGeneral.zst Clock cache size      274, 1241566 req, miss ratio 0.1861, byte miss ratio 0.1861
result/cdn2_colo28.ns462.oracleGeneral.zst Clock cache size      916, 1241566 req, miss ratio 0.1002, byte miss ratio 0.1002
result/cdn2_colo28.ns462.oracleGeneral.zst Clock cache size     1832, 1241566 req, miss ratio 0.0550, byte miss ratio 0.0550
result/cdn2_colo28.ns462.oracleGeneral.zst Clock cache size     3664, 1241566 req, miss ratio 0.0194, byte miss ratio 0.0194
result/cdn2_colo28.ns462.oracleGeneral.zst Clock cache size     7328, 1241566 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns462.oracleGeneral.zst LIRS cache size        9, 1241566 req, miss ratio 0.5647, byte miss ratio 0.5647
result/cdn2_colo28.ns462.oracleGeneral.zst LIRS cache size       27, 1241566 req, miss ratio 0.3440, byte miss ratio 0.3440
result/cdn2_colo28.ns462.oracleGeneral.zst LIRS cache size       91, 1241566 req, miss ratio 0.2344, byte miss ratio 0.2344
result/cdn2_colo28.ns462.oracleGeneral.zst LIRS cache size      274, 1241566 req, miss ratio 0.1556, byte miss ratio 0.1556
result/cdn2_colo28.ns462.oracleGeneral.zst LIRS cache size      916, 1241566 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn2_colo28.ns462.oracleGeneral.zst LIRS cache size     1832, 1241566 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_colo28.ns462.oracleGeneral.zst LIRS cache size     3664, 1241566 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_colo28.ns462.oracleGeneral.zst LIRS cache size     7328, 1241566 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_colo28.ns462.oracleGeneral.zst LHD cache size        9, 1241566 req, miss ratio 0.5966, byte miss ratio 0.5966
result/cdn2_colo28.ns462.oracleGeneral.zst LHD cache size       27, 1241566 req, miss ratio 0.3570, byte miss ratio 0.3570
result/cdn2_colo28.ns462.oracleGeneral.zst LHD cache size       91, 1241566 req, miss ratio 0.2492, byte miss ratio 0.2492
result/cdn2_colo28.ns462.oracleGeneral.zst LHD cache size      274, 1241566 req, miss ratio 0.1842, byte miss ratio 0.1842
result/cdn2_colo28.ns462.oracleGeneral.zst LHD cache size      916, 1241566 req, miss ratio 0.0989, byte miss ratio 0.0989
result/cdn2_colo28.ns462.oracleGeneral.zst LHD cache size     1832, 1241566 req, miss ratio 0.0550, byte miss ratio 0.0550
result/cdn2_colo28.ns462.oracleGeneral.zst LHD cache size     3664, 1241566 req, miss ratio 0.0204, byte miss ratio 0.0204
result/cdn2_colo28.ns462.oracleGeneral.zst LHD cache size     7328, 1241566 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_colo28.ns462.oracleGeneral.zst LRU cache size        9, 1241566 req, miss ratio 0.6406, byte miss ratio 0.6406
result/cdn2_colo28.ns462.oracleGeneral.zst LRU cache size       27, 1241566 req, miss ratio 0.4468, byte miss ratio 0.4468
result/cdn2_colo28.ns462.oracleGeneral.zst LRU cache size       91, 1241566 req, miss ratio 0.2871, byte miss ratio 0.2871
result/cdn2_colo28.ns462.oracleGeneral.zst LRU cache size      274, 1241566 req, miss ratio 0.1928, byte miss ratio 0.1928
result/cdn2_colo28.ns462.oracleGeneral.zst LRU cache size      916, 1241566 req, miss ratio 0.1041, byte miss ratio 0.1041
result/cdn2_colo28.ns462.oracleGeneral.zst LRU cache size     1832, 1241566 req, miss ratio 0.0577, byte miss ratio 0.0577
result/cdn2_colo28.ns462.oracleGeneral.zst LRU cache size     3664, 1241566 req, miss ratio 0.0208, byte miss ratio 0.0208
result/cdn2_colo28.ns462.oracleGeneral.zst LRU cache size     7328, 1241566 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size        9, 1241566 req, miss ratio 0.6122, byte miss ratio 0.6122
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size       27, 1241566 req, miss ratio 0.3971, byte miss ratio 0.3971
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size       91, 1241566 req, miss ratio 0.2626, byte miss ratio 0.2626
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size      274, 1241566 req, miss ratio 0.1550, byte miss ratio 0.1550
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size      916, 1241566 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size     1832, 1241566 req, miss ratio 0.0448, byte miss ratio 0.0448
