result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-1 cache size       60, 5128446 req, miss ratio 0.6649, byte miss ratio 0.6649
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-1 cache size      182, 5128446 req, miss ratio 0.3512, byte miss ratio 0.3512
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-1 cache size      607, 5128446 req, miss ratio 0.1672, byte miss ratio 0.1672
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-1 cache size     1822, 5128446 req, miss ratio 0.1019, byte miss ratio 0.1019
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-1 cache size     6075, 5128446 req, miss ratio 0.0599, byte miss ratio 0.0599
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-1 cache size    12150, 5128446 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-1 cache size    24300, 5128446 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-1 cache size    48601, 5128446 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns478.oracleGeneral.zst Clock cache size       60, 5128446 req, miss ratio 0.7758, byte miss ratio 0.7758
result/cdn2_colo28.ns478.oracleGeneral.zst Clock cache size      182, 5128446 req, miss ratio 0.4762, byte miss ratio 0.4762
result/cdn2_colo28.ns478.oracleGeneral.zst Clock cache size      607, 5128446 req, miss ratio 0.2016, byte miss ratio 0.2016
result/cdn2_colo28.ns478.oracleGeneral.zst Clock cache size     1822, 5128446 req, miss ratio 0.1169, byte miss ratio 0.1169
result/cdn2_colo28.ns478.oracleGeneral.zst Clock cache size     6075, 5128446 req, miss ratio 0.0658, byte miss ratio 0.0658
result/cdn2_colo28.ns478.oracleGeneral.zst Clock cache size    12150, 5128446 req, miss ratio 0.0384, byte miss ratio 0.0384
result/cdn2_colo28.ns478.oracleGeneral.zst Clock cache size    24300, 5128446 req, miss ratio 0.0177, byte miss ratio 0.0177
