result/cdn2_colo28.ns480.oracleGeneral.zst LHD cache size        7, 1289797 req, miss ratio 0.4597, byte miss ratio 0.4597
result/cdn2_colo28.ns480.oracleGeneral.zst LHD cache size       25, 1289797 req, miss ratio 0.2212, byte miss ratio 0.2212
result/cdn2_colo28.ns480.oracleGeneral.zst LHD cache size       50, 1289797 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn2_colo28.ns480.oracleGeneral.zst LHD cache size      101, 1289797 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns480.oracleGeneral.zst LHD cache size      202, 1289797 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns480.oracleGeneral.zst Cacheus cache size        7, 1289797 req, miss ratio 0.4824, byte miss ratio 0.4824
result/cdn2_colo28.ns480.oracleGeneral.zst Cacheus cache size       25, 1289797 req, miss ratio 0.2502, byte miss ratio 0.2502
result/cdn2_colo28.ns480.oracleGeneral.zst Cacheus cache size       50, 1289797 req, miss ratio 0.0182, byte miss ratio 0.0182
result/cdn2_colo28.ns480.oracleGeneral.zst Cacheus cache size      101, 1289797 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns480.oracleGeneral.zst Cacheus cache size      202, 1289797 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns480.oracleGeneral.zst Clock cache size        7, 1289797 req, miss ratio 0.4721, byte miss ratio 0.4721
result/cdn2_colo28.ns480.oracleGeneral.zst Clock cache size       25, 1289797 req, miss ratio 0.2352, byte miss ratio 0.2352
result/cdn2_colo28.ns480.oracleGeneral.zst Clock cache size       50, 1289797 req, miss ratio 0.0267, byte miss ratio 0.0267
result/cdn2_colo28.ns480.oracleGeneral.zst Clock cache size      101, 1289797 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns480.oracleGeneral.zst Clock cache size      202, 1289797 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns480.oracleGeneral.zst LIRS cache size        7, 1289797 req, miss ratio 0.4826, byte miss ratio 0.4826
result/cdn2_colo28.ns480.oracleGeneral.zst LIRS cache size       25, 1289797 req, miss ratio 0.2489, byte miss ratio 0.2489
result/cdn2_colo28.ns480.oracleGeneral.zst LIRS cache size       50, 1289797 req, miss ratio 0.0238, byte miss ratio 0.0238
