result/cdn2_colo28.ns509.oracleGeneral.zst LHD cache size     5565, 11140819 req, miss ratio 0.5078, byte miss ratio 0.5078
result/cdn2_colo28.ns509.oracleGeneral.zst LHD cache size    16695, 11140819 req, miss ratio 0.5022, byte miss ratio 0.5022
result/cdn2_colo28.ns509.oracleGeneral.zst LHD cache size    55651, 11140819 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn2_colo28.ns509.oracleGeneral.zst LHD cache size   166955, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst LHD cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LHD cache size  1113039, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LHD cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst LHD cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-1 cache size     5565, 11140819 req, miss ratio 0.4999, byte miss ratio 0.4999
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-1 cache size    16695, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-1 cache size    55651, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-1 cache size   166955, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-1 cache size   556519, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-1 cache size  1113039, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-1 cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-1 cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst LeCaR cache size     5565, 11140819 req, miss ratio 0.5095, byte miss ratio 0.5095
result/cdn2_colo28.ns509.oracleGeneral.zst LeCaR cache size    16695, 11140819 req, miss ratio 0.5042, byte miss ratio 0.5042
result/cdn2_colo28.ns509.oracleGeneral.zst LeCaR cache size    55651, 11140819 req, miss ratio 0.5009, byte miss ratio 0.5009
result/cdn2_colo28.ns509.oracleGeneral.zst LeCaR cache size   166955, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst LeCaR cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LeCaR cache size  1113039, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LeCaR cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst LeCaR cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst clock2 cache size     5565, 11140819 req, miss ratio 0.5074, byte miss ratio 0.5074
result/cdn2_colo28.ns509.oracleGeneral.zst clock2 cache size    16695, 11140819 req, miss ratio 0.5024, byte miss ratio 0.5024
result/cdn2_colo28.ns509.oracleGeneral.zst clock2 cache size    55651, 11140819 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn2_colo28.ns509.oracleGeneral.zst clock2 cache size   166955, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst clock2 cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst clock2 cache size  1113039, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst clock2 cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst clock2 cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst Clock cache size     5565, 11140819 req, miss ratio 0.5086, byte miss ratio 0.5086
result/cdn2_colo28.ns509.oracleGeneral.zst Clock cache size    16695, 11140819 req, miss ratio 0.5033, byte miss ratio 0.5033
result/cdn2_colo28.ns509.oracleGeneral.zst Clock cache size    55651, 11140819 req, miss ratio 0.5005, byte miss ratio 0.5005
result/cdn2_colo28.ns509.oracleGeneral.zst Clock cache size   166955, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst Clock cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst Clock cache size  1113039, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst Clock cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst Clock cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO cache size     5565, 11140819 req, miss ratio 0.5303, byte miss ratio 0.5303
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO cache size    16695, 11140819 req, miss ratio 0.5134, byte miss ratio 0.5134
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO cache size    55651, 11140819 req, miss ratio 0.5051, byte miss ratio 0.5051
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO cache size   166955, 11140819 req, miss ratio 0.5018, byte miss ratio 0.5018
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO cache size   556519, 11140819 req, miss ratio 0.5003, byte miss ratio 0.5003
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO cache size  1113039, 11140819 req, miss ratio 0.4999, byte miss ratio 0.4999
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO cache size  2226078, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO cache size  4452156, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LRU cache size     5565, 11140819 req, miss ratio 0.5100, byte miss ratio 0.5100
result/cdn2_colo28.ns509.oracleGeneral.zst LRU cache size    16695, 11140819 req, miss ratio 0.5043, byte miss ratio 0.5043
result/cdn2_colo28.ns509.oracleGeneral.zst LRU cache size    55651, 11140819 req, miss ratio 0.5009, byte miss ratio 0.5009
result/cdn2_colo28.ns509.oracleGeneral.zst LRU cache size   166955, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst LRU cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LRU cache size  1113039, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LRU cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst LRU cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst LIRS cache size     5565, 11140819 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn2_colo28.ns509.oracleGeneral.zst LIRS cache size    16695, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst LIRS cache size    55651, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst LIRS cache size   166955, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LIRS cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LIRS cache size  1113039, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst LIRS cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst LIRS cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst ARC cache size     5565, 11140819 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn2_colo28.ns509.oracleGeneral.zst ARC cache size    16695, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst ARC cache size    55651, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst ARC cache size   166955, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst ARC cache size   556519, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst ARC cache size  1113039, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst ARC cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst ARC cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst Cacheus cache size     5565, 11140819 req, miss ratio 0.5000, byte miss ratio 0.5000
result/cdn2_colo28.ns509.oracleGeneral.zst Cacheus cache size    16695, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst Cacheus cache size    55651, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst Cacheus cache size   166955, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst Cacheus cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst Cacheus cache size  1113039, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst Cacheus cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst Cacheus cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d-1 cache size     5565, 11140819 req, miss ratio 0.4999, byte miss ratio 0.4999
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d-1 cache size    16695, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d-1 cache size    55651, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d-1 cache size   166955, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d-1 cache size   556519, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d-1 cache size  1113039, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d-1 cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d-1 cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst LRB cache size     5565, 11140819 req, miss ratio 0.5100, byte miss ratio 0.5100
result/cdn2_colo28.ns509.oracleGeneral.zst LRB cache size    16695, 11140819 req, miss ratio 0.5043, byte miss ratio 0.5043
result/cdn2_colo28.ns509.oracleGeneral.zst LRB cache size    55651, 11140819 req, miss ratio 0.5009, byte miss ratio 0.5009
result/cdn2_colo28.ns509.oracleGeneral.zst LRB cache size   166955, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
