result/cdn2_colo28.ns552.oracleGeneral.zst Clock cache size        7, 1289443 req, miss ratio 0.2345, byte miss ratio 0.2345
result/cdn2_colo28.ns552.oracleGeneral.zst Clock cache size       23, 1289443 req, miss ratio 0.1094, byte miss ratio 0.1094
result/cdn2_colo28.ns552.oracleGeneral.zst Clock cache size       70, 1289443 req, miss ratio 0.0273, byte miss ratio 0.0273
result/cdn2_colo28.ns552.oracleGeneral.zst Clock cache size      234, 1289443 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns552.oracleGeneral.zst Clock cache size      469, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst Clock cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst Clock cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst clock2 cache size        7, 1289443 req, miss ratio 0.2209, byte miss ratio 0.2209
result/cdn2_colo28.ns552.oracleGeneral.zst clock2 cache size       23, 1289443 req, miss ratio 0.1012, byte miss ratio 0.1012
result/cdn2_colo28.ns552.oracleGeneral.zst clock2 cache size       70, 1289443 req, miss ratio 0.0255, byte miss ratio 0.0255
result/cdn2_colo28.ns552.oracleGeneral.zst clock2 cache size      234, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst clock2 cache size      469, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst clock2 cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst clock2 cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LIRS cache size        7, 1289443 req, miss ratio 0.2060, byte miss ratio 0.2060
result/cdn2_colo28.ns552.oracleGeneral.zst LIRS cache size       23, 1289443 req, miss ratio 0.0934, byte miss ratio 0.0934
result/cdn2_colo28.ns552.oracleGeneral.zst LIRS cache size       70, 1289443 req, miss ratio 0.0211, byte miss ratio 0.0211
result/cdn2_colo28.ns552.oracleGeneral.zst LIRS cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst LIRS cache size      469, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LIRS cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LIRS cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LRU cache size        7, 1289443 req, miss ratio 0.2388, byte miss ratio 0.2388
result/cdn2_colo28.ns552.oracleGeneral.zst LRU cache size       23, 1289443 req, miss ratio 0.1130, byte miss ratio 0.1130
result/cdn2_colo28.ns552.oracleGeneral.zst LRU cache size       70, 1289443 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn2_colo28.ns552.oracleGeneral.zst LRU cache size      234, 1289443 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns552.oracleGeneral.zst LRU cache size      469, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst LRU cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LRU cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst ARC cache size        7, 1289443 req, miss ratio 0.2166, byte miss ratio 0.2166
result/cdn2_colo28.ns552.oracleGeneral.zst ARC cache size       23, 1289443 req, miss ratio 0.0993, byte miss ratio 0.0993
result/cdn2_colo28.ns552.oracleGeneral.zst ARC cache size       70, 1289443 req, miss ratio 0.0238, byte miss ratio 0.0238
result/cdn2_colo28.ns552.oracleGeneral.zst ARC cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst ARC cache size      469, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst ARC cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst ARC cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst Cacheus cache size        7, 1289443 req, miss ratio 0.2410, byte miss ratio 0.2410
result/cdn2_colo28.ns552.oracleGeneral.zst Cacheus cache size       23, 1289443 req, miss ratio 0.1083, byte miss ratio 0.1083
result/cdn2_colo28.ns552.oracleGeneral.zst Cacheus cache size       70, 1289443 req, miss ratio 0.0215, byte miss ratio 0.0215
result/cdn2_colo28.ns552.oracleGeneral.zst Cacheus cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
