result/cdn2_colo28.ns66.oracleGeneral.zst Cacheus cache size       10, 111611006 req, miss ratio 0.0686, byte miss ratio 0.0686
result/cdn2_colo28.ns66.oracleGeneral.zst Cacheus cache size       32, 111611006 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn2_colo28.ns66.oracleGeneral.zst Cacheus cache size      106, 111611006 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns66.oracleGeneral.zst Cacheus cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst Cacheus cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst Cacheus cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LHD cache size       10, 111611006 req, miss ratio 0.0722, byte miss ratio 0.0722
result/cdn2_colo28.ns66.oracleGeneral.zst LHD cache size       32, 111611006 req, miss ratio 0.0158, byte miss ratio 0.0158
result/cdn2_colo28.ns66.oracleGeneral.zst LHD cache size      106, 111611006 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns66.oracleGeneral.zst LHD cache size      213, 111611006 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns66.oracleGeneral.zst LHD cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LHD cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LRU cache size       10, 111611006 req, miss ratio 0.0923, byte miss ratio 0.0923
result/cdn2_colo28.ns66.oracleGeneral.zst LRU cache size       32, 111611006 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_colo28.ns66.oracleGeneral.zst LRU cache size      106, 111611006 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns66.oracleGeneral.zst LRU cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst LRU cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LRU cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LIRS cache size       10, 111611006 req, miss ratio 0.0920, byte miss ratio 0.0920
result/cdn2_colo28.ns66.oracleGeneral.zst LIRS cache size       32, 111611006 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_colo28.ns66.oracleGeneral.zst LIRS cache size      106, 111611006 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns66.oracleGeneral.zst LIRS cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst LIRS cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LIRS cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LeCaR cache size       10, 111611006 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_colo28.ns66.oracleGeneral.zst LeCaR cache size       32, 111611006 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_colo28.ns66.oracleGeneral.zst LeCaR cache size      106, 111611006 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns66.oracleGeneral.zst LeCaR cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst LeCaR cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LeCaR cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-1 cache size       10, 111611006 req, miss ratio 0.0798, byte miss ratio 0.0798
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-1 cache size       32, 111611006 req, miss ratio 0.0132, byte miss ratio 0.0132
