result/cdn2_colo28.ns768.oracleGeneral.zst ARC cache size       11, 5103806 req, miss ratio 0.9540, byte miss ratio 0.9540
result/cdn2_colo28.ns768.oracleGeneral.zst ARC cache size       34, 5103806 req, miss ratio 0.8906, byte miss ratio 0.8906
result/cdn2_colo28.ns768.oracleGeneral.zst ARC cache size      115, 5103806 req, miss ratio 0.7342, byte miss ratio 0.7342
result/cdn2_colo28.ns768.oracleGeneral.zst ARC cache size      346, 5103806 req, miss ratio 0.4944, byte miss ratio 0.4944
result/cdn2_colo28.ns768.oracleGeneral.zst ARC cache size     1155, 5103806 req, miss ratio 0.1321, byte miss ratio 0.1321
result/cdn2_colo28.ns768.oracleGeneral.zst ARC cache size     2311, 5103806 req, miss ratio 0.0442, byte miss ratio 0.0442
result/cdn2_colo28.ns768.oracleGeneral.zst ARC cache size     4622, 5103806 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_colo28.ns768.oracleGeneral.zst ARC cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst LRU cache size       11, 5103806 req, miss ratio 0.9797, byte miss ratio 0.9797
result/cdn2_colo28.ns768.oracleGeneral.zst LRU cache size       34, 5103806 req, miss ratio 0.9422, byte miss ratio 0.9422
result/cdn2_colo28.ns768.oracleGeneral.zst LRU cache size      115, 5103806 req, miss ratio 0.8162, byte miss ratio 0.8162
result/cdn2_colo28.ns768.oracleGeneral.zst LRU cache size      346, 5103806 req, miss ratio 0.5604, byte miss ratio 0.5604
result/cdn2_colo28.ns768.oracleGeneral.zst LRU cache size     1155, 5103806 req, miss ratio 0.1613, byte miss ratio 0.1613
result/cdn2_colo28.ns768.oracleGeneral.zst LRU cache size     2311, 5103806 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns768.oracleGeneral.zst LRU cache size     4622, 5103806 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_colo28.ns768.oracleGeneral.zst LRU cache size     9245, 5103806 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-1 cache size       11, 5103806 req, miss ratio 0.9457, byte miss ratio 0.9457
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-1 cache size       34, 5103806 req, miss ratio 0.8726, byte miss ratio 0.8726
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-1 cache size      115, 5103806 req, miss ratio 0.7095, byte miss ratio 0.7095
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-1 cache size      346, 5103806 req, miss ratio 0.4713, byte miss ratio 0.4713
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-1 cache size     1155, 5103806 req, miss ratio 0.1222, byte miss ratio 0.1222
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-1 cache size     2311, 5103806 req, miss ratio 0.0415, byte miss ratio 0.0415
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-1 cache size     4622, 5103806 req, miss ratio 0.0138, byte miss ratio 0.0138
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-1 cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst LHD cache size       11, 5103806 req, miss ratio 0.9565, byte miss ratio 0.9565
result/cdn2_colo28.ns768.oracleGeneral.zst LHD cache size       34, 5103806 req, miss ratio 0.8866, byte miss ratio 0.8866
result/cdn2_colo28.ns768.oracleGeneral.zst LHD cache size      115, 5103806 req, miss ratio 0.7304, byte miss ratio 0.7304
result/cdn2_colo28.ns768.oracleGeneral.zst LHD cache size      346, 5103806 req, miss ratio 0.5108, byte miss ratio 0.5108
result/cdn2_colo28.ns768.oracleGeneral.zst LHD cache size     1155, 5103806 req, miss ratio 0.1365, byte miss ratio 0.1365
result/cdn2_colo28.ns768.oracleGeneral.zst LHD cache size     2311, 5103806 req, miss ratio 0.0456, byte miss ratio 0.0456
result/cdn2_colo28.ns768.oracleGeneral.zst LHD cache size     4622, 5103806 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_colo28.ns768.oracleGeneral.zst LHD cache size     9245, 5103806 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns768.oracleGeneral.zst Clock cache size       11, 5103806 req, miss ratio 0.9795, byte miss ratio 0.9795
result/cdn2_colo28.ns768.oracleGeneral.zst Clock cache size       34, 5103806 req, miss ratio 0.9409, byte miss ratio 0.9409
result/cdn2_colo28.ns768.oracleGeneral.zst Clock cache size      115, 5103806 req, miss ratio 0.8076, byte miss ratio 0.8076
result/cdn2_colo28.ns768.oracleGeneral.zst Clock cache size      346, 5103806 req, miss ratio 0.5440, byte miss ratio 0.5440
result/cdn2_colo28.ns768.oracleGeneral.zst Clock cache size     1155, 5103806 req, miss ratio 0.1502, byte miss ratio 0.1502
result/cdn2_colo28.ns768.oracleGeneral.zst Clock cache size     2311, 5103806 req, miss ratio 0.0462, byte miss ratio 0.0462
result/cdn2_colo28.ns768.oracleGeneral.zst Clock cache size     4622, 5103806 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_colo28.ns768.oracleGeneral.zst Clock cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst LIRS cache size       11, 5103806 req, miss ratio 0.9515, byte miss ratio 0.9515
result/cdn2_colo28.ns768.oracleGeneral.zst LIRS cache size       34, 5103806 req, miss ratio 0.8807, byte miss ratio 0.8807
result/cdn2_colo28.ns768.oracleGeneral.zst LIRS cache size      115, 5103806 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns768.oracleGeneral.zst LIRS cache size      346, 5103806 req, miss ratio 0.4848, byte miss ratio 0.4848
result/cdn2_colo28.ns768.oracleGeneral.zst LIRS cache size     1155, 5103806 req, miss ratio 0.1205, byte miss ratio 0.1205
result/cdn2_colo28.ns768.oracleGeneral.zst LIRS cache size     2311, 5103806 req, miss ratio 0.0414, byte miss ratio 0.0414
result/cdn2_colo28.ns768.oracleGeneral.zst LIRS cache size     4622, 5103806 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn2_colo28.ns768.oracleGeneral.zst LIRS cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst Cacheus cache size       11, 5103806 req, miss ratio 0.9688, byte miss ratio 0.9688
result/cdn2_colo28.ns768.oracleGeneral.zst Cacheus cache size       34, 5103806 req, miss ratio 0.8965, byte miss ratio 0.8965
result/cdn2_colo28.ns768.oracleGeneral.zst Cacheus cache size      115, 5103806 req, miss ratio 0.7713, byte miss ratio 0.7713
result/cdn2_colo28.ns768.oracleGeneral.zst Cacheus cache size      346, 5103806 req, miss ratio 0.4746, byte miss ratio 0.4746
result/cdn2_colo28.ns768.oracleGeneral.zst Cacheus cache size     1155, 5103806 req, miss ratio 0.1523, byte miss ratio 0.1523
result/cdn2_colo28.ns768.oracleGeneral.zst Cacheus cache size     2311, 5103806 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_colo28.ns768.oracleGeneral.zst Cacheus cache size     4622, 5103806 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_colo28.ns768.oracleGeneral.zst Cacheus cache size     9245, 5103806 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO cache size       11, 5103806 req, miss ratio 0.9795, byte miss ratio 0.9795
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO cache size       34, 5103806 req, miss ratio 0.9423, byte miss ratio 0.9423
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO cache size      115, 5103806 req, miss ratio 0.8271, byte miss ratio 0.8271
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO cache size      346, 5103806 req, miss ratio 0.6025, byte miss ratio 0.6025
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO cache size     1155, 5103806 req, miss ratio 0.2340, byte miss ratio 0.2340
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO cache size     2311, 5103806 req, miss ratio 0.0894, byte miss ratio 0.0894
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO cache size     4622, 5103806 req, miss ratio 0.0276, byte miss ratio 0.0276
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO cache size     9245, 5103806 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size       11, 5103806 req, miss ratio 0.9750, byte miss ratio 0.9750
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size       34, 5103806 req, miss ratio 0.9368, byte miss ratio 0.9368
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size      115, 5103806 req, miss ratio 0.8053, byte miss ratio 0.8053
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size      346, 5103806 req, miss ratio 0.5445, byte miss ratio 0.5445
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size     1155, 5103806 req, miss ratio 0.1355, byte miss ratio 0.1355
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size     2311, 5103806 req, miss ratio 0.0445, byte miss ratio 0.0445
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size     4622, 5103806 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_colo28.ns768.oracleGeneral.zst LeCaR cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst clock2 cache size       11, 5103806 req, miss ratio 0.9795, byte miss ratio 0.9795
