result/hm_0.IQI.bin.oracleGeneral.zst clock2 cache size      439, 3993316 req, miss ratio 0.5189, byte miss ratio 0.5189
result/hm_0.IQI.bin.oracleGeneral.zst clock2 cache size     1317, 3993316 req, miss ratio 0.4746, byte miss ratio 0.4746
result/hm_0.IQI.bin.oracleGeneral.zst clock2 cache size     4391, 3993316 req, miss ratio 0.4214, byte miss ratio 0.4214
result/hm_0.IQI.bin.oracleGeneral.zst clock2 cache size    13175, 3993316 req, miss ratio 0.3788, byte miss ratio 0.3788
result/hm_0.IQI.bin.oracleGeneral.zst clock2 cache size    43918, 3993316 req, miss ratio 0.3092, byte miss ratio 0.3092
result/hm_0.IQI.bin.oracleGeneral.zst clock2 cache size    87837, 3993316 req, miss ratio 0.2502, byte miss ratio 0.2502
result/hm_0.IQI.bin.oracleGeneral.zst clock2 cache size   175674, 3993316 req, miss ratio 0.1774, byte miss ratio 0.1774
result/hm_0.IQI.bin.oracleGeneral.zst clock2 cache size   351349, 3993316 req, miss ratio 0.1178, byte miss ratio 0.1178
result/hm_0.IQI.bin.oracleGeneral.zst FIFO cache size      439, 3993316 req, miss ratio 0.5463, byte miss ratio 0.5463
result/hm_0.IQI.bin.oracleGeneral.zst FIFO cache size     1317, 3993316 req, miss ratio 0.4996, byte miss ratio 0.4996
result/hm_0.IQI.bin.oracleGeneral.zst FIFO cache size     4391, 3993316 req, miss ratio 0.4451, byte miss ratio 0.4451
result/hm_0.IQI.bin.oracleGeneral.zst FIFO cache size    13175, 3993316 req, miss ratio 0.4022, byte miss ratio 0.4022
result/hm_0.IQI.bin.oracleGeneral.zst FIFO cache size    43918, 3993316 req, miss ratio 0.3340, byte miss ratio 0.3340
result/hm_0.IQI.bin.oracleGeneral.zst FIFO cache size    87837, 3993316 req, miss ratio 0.2693, byte miss ratio 0.2693
result/hm_0.IQI.bin.oracleGeneral.zst FIFO cache size   175674, 3993316 req, miss ratio 0.1934, byte miss ratio 0.1934
result/hm_0.IQI.bin.oracleGeneral.zst FIFO cache size   351349, 3993316 req, miss ratio 0.1341, byte miss ratio 0.1341
result/hm_0.IQI.bin.oracleGeneral.zst Clock cache size      439, 3993316 req, miss ratio 0.5227, byte miss ratio 0.5227
result/hm_0.IQI.bin.oracleGeneral.zst Clock cache size     1317, 3993316 req, miss ratio 0.4788, byte miss ratio 0.4788
result/hm_0.IQI.bin.oracleGeneral.zst Clock cache size     4391, 3993316 req, miss ratio 0.4249, byte miss ratio 0.4249
