result/io_traces.ns193.oracleGeneral.zst LIRS cache size     1498, 34400000 req, miss ratio 0.2017, byte miss ratio 0.2017
result/io_traces.ns193.oracleGeneral.zst LIRS cache size     4495, 34400000 req, miss ratio 0.1971, byte miss ratio 0.1971
result/io_traces.ns193.oracleGeneral.zst LIRS cache size    14985, 34400000 req, miss ratio 0.1850, byte miss ratio 0.1850
result/io_traces.ns193.oracleGeneral.zst LIRS cache size    44957, 34400000 req, miss ratio 0.1518, byte miss ratio 0.1518
result/io_traces.ns193.oracleGeneral.zst LIRS cache size   149859, 34400000 req, miss ratio 0.0963, byte miss ratio 0.0963
result/io_traces.ns193.oracleGeneral.zst LIRS cache size   299718, 34400000 req, miss ratio 0.0811, byte miss ratio 0.0811
result/io_traces.ns193.oracleGeneral.zst LIRS cache size   599436, 34400000 req, miss ratio 0.0657, byte miss ratio 0.0657
result/io_traces.ns193.oracleGeneral.zst LIRS cache size  1198873, 34400000 req, miss ratio 0.0476, byte miss ratio 0.0476
result/io_traces.ns193.oracleGeneral.zst S3FIFO-1 cache size     1498, 34400000 req, miss ratio 0.1968, byte miss ratio 0.1968
result/io_traces.ns193.oracleGeneral.zst S3FIFO-1 cache size     4495, 34400000 req, miss ratio 0.1951, byte miss ratio 0.1951
result/io_traces.ns193.oracleGeneral.zst S3FIFO-1 cache size    14985, 34400000 req, miss ratio 0.1861, byte miss ratio 0.1861
result/io_traces.ns193.oracleGeneral.zst S3FIFO-1 cache size    44957, 34400000 req, miss ratio 0.1530, byte miss ratio 0.1530
result/io_traces.ns193.oracleGeneral.zst S3FIFO-1 cache size   149859, 34400000 req, miss ratio 0.0944, byte miss ratio 0.0944
result/io_traces.ns193.oracleGeneral.zst S3FIFO-1 cache size   299718, 34400000 req, miss ratio 0.0664, byte miss ratio 0.0664
result/io_traces.ns193.oracleGeneral.zst S3FIFO-1 cache size   599436, 34400000 req, miss ratio 0.0540, byte miss ratio 0.0540
result/io_traces.ns193.oracleGeneral.zst S3FIFO-1 cache size  1198873, 34400000 req, miss ratio 0.0457, byte miss ratio 0.0457
result/io_traces.ns193.oracleGeneral.zst clock2 cache size     1498, 34400000 req, miss ratio 0.1978, byte miss ratio 0.1978
result/io_traces.ns193.oracleGeneral.zst clock2 cache size     4495, 34400000 req, miss ratio 0.1961, byte miss ratio 0.1961
result/io_traces.ns193.oracleGeneral.zst clock2 cache size    14985, 34400000 req, miss ratio 0.1917, byte miss ratio 0.1917
result/io_traces.ns193.oracleGeneral.zst clock2 cache size    44957, 34400000 req, miss ratio 0.1658, byte miss ratio 0.1658
result/io_traces.ns193.oracleGeneral.zst clock2 cache size   149859, 34400000 req, miss ratio 0.0892, byte miss ratio 0.0892
result/io_traces.ns193.oracleGeneral.zst clock2 cache size   299718, 34400000 req, miss ratio 0.0642, byte miss ratio 0.0642
result/io_traces.ns193.oracleGeneral.zst clock2 cache size   599436, 34400000 req, miss ratio 0.0552, byte miss ratio 0.0552
result/io_traces.ns193.oracleGeneral.zst clock2 cache size  1198873, 34400000 req, miss ratio 0.0459, byte miss ratio 0.0459
result/io_traces.ns193.oracleGeneral.zst Cacheus cache size     1498, 34400000 req, miss ratio 0.1966, byte miss ratio 0.1966
result/io_traces.ns193.oracleGeneral.zst Cacheus cache size     4495, 34400000 req, miss ratio 0.1953, byte miss ratio 0.1953
result/io_traces.ns193.oracleGeneral.zst Cacheus cache size    14985, 34400000 req, miss ratio 0.1893, byte miss ratio 0.1893
result/io_traces.ns193.oracleGeneral.zst Cacheus cache size    44957, 34400000 req, miss ratio 0.1464, byte miss ratio 0.1464
result/io_traces.ns193.oracleGeneral.zst Cacheus cache size   149859, 34400000 req, miss ratio 0.0790, byte miss ratio 0.0790
result/io_traces.ns193.oracleGeneral.zst Cacheus cache size   299718, 34400000 req, miss ratio 0.0666, byte miss ratio 0.0666
result/io_traces.ns193.oracleGeneral.zst Cacheus cache size   599436, 34400000 req, miss ratio 0.0609, byte miss ratio 0.0609
result/io_traces.ns193.oracleGeneral.zst Cacheus cache size  1198873, 34400000 req, miss ratio 0.0450, byte miss ratio 0.0450
result/io_traces.ns193.oracleGeneral.zst FIFO cache size     1498, 34400000 req, miss ratio 0.2108, byte miss ratio 0.2108
result/io_traces.ns193.oracleGeneral.zst FIFO cache size     4495, 34400000 req, miss ratio 0.2008, byte miss ratio 0.2008
result/io_traces.ns193.oracleGeneral.zst FIFO cache size    14985, 34400000 req, miss ratio 0.1910, byte miss ratio 0.1910
result/io_traces.ns193.oracleGeneral.zst FIFO cache size    44957, 34400000 req, miss ratio 0.1475, byte miss ratio 0.1475
result/io_traces.ns193.oracleGeneral.zst FIFO cache size   149859, 34400000 req, miss ratio 0.0875, byte miss ratio 0.0875
result/io_traces.ns193.oracleGeneral.zst FIFO cache size   299718, 34400000 req, miss ratio 0.0681, byte miss ratio 0.0681
result/io_traces.ns193.oracleGeneral.zst FIFO cache size   599436, 34400000 req, miss ratio 0.0552, byte miss ratio 0.0552
result/io_traces.ns193.oracleGeneral.zst FIFO cache size  1198873, 34400000 req, miss ratio 0.0469, byte miss ratio 0.0469
result/io_traces.ns193.oracleGeneral.zst Clock cache size     1498, 34400000 req, miss ratio 0.1977, byte miss ratio 0.1977
result/io_traces.ns193.oracleGeneral.zst Clock cache size     4495, 34400000 req, miss ratio 0.1960, byte miss ratio 0.1960
result/io_traces.ns193.oracleGeneral.zst Clock cache size    14985, 34400000 req, miss ratio 0.1900, byte miss ratio 0.1900
result/io_traces.ns193.oracleGeneral.zst Clock cache size    44957, 34400000 req, miss ratio 0.1465, byte miss ratio 0.1465
result/io_traces.ns193.oracleGeneral.zst Clock cache size   149859, 34400000 req, miss ratio 0.0828, byte miss ratio 0.0828
result/io_traces.ns193.oracleGeneral.zst Clock cache size   299718, 34400000 req, miss ratio 0.0625, byte miss ratio 0.0625
result/io_traces.ns193.oracleGeneral.zst Clock cache size   599436, 34400000 req, miss ratio 0.0540, byte miss ratio 0.0540
