result/io_traces.ns215.oracleGeneral.zst LeCaR cache size      291, 8400000 req, miss ratio 0.5806, byte miss ratio 0.5806
result/io_traces.ns215.oracleGeneral.zst LeCaR cache size      875, 8400000 req, miss ratio 0.4209, byte miss ratio 0.4209
result/io_traces.ns215.oracleGeneral.zst LeCaR cache size     2919, 8400000 req, miss ratio 0.2727, byte miss ratio 0.2727
result/io_traces.ns215.oracleGeneral.zst LeCaR cache size     8758, 8400000 req, miss ratio 0.1903, byte miss ratio 0.1903
result/io_traces.ns215.oracleGeneral.zst LeCaR cache size    29194, 8400000 req, miss ratio 0.1283, byte miss ratio 0.1283
result/io_traces.ns215.oracleGeneral.zst LeCaR cache size    58389, 8400000 req, miss ratio 0.0642, byte miss ratio 0.0642
result/io_traces.ns215.oracleGeneral.zst LeCaR cache size   116778, 8400000 req, miss ratio 0.0424, byte miss ratio 0.0424
result/io_traces.ns215.oracleGeneral.zst LeCaR cache size   233557, 8400000 req, miss ratio 0.0352, byte miss ratio 0.0352
result/io_traces.ns215.oracleGeneral.zst FIFO cache size      291, 8400000 req, miss ratio 0.6221, byte miss ratio 0.6221
result/io_traces.ns215.oracleGeneral.zst FIFO cache size      875, 8400000 req, miss ratio 0.4905, byte miss ratio 0.4905
result/io_traces.ns215.oracleGeneral.zst FIFO cache size     2919, 8400000 req, miss ratio 0.3275, byte miss ratio 0.3275
result/io_traces.ns215.oracleGeneral.zst FIFO cache size     8758, 8400000 req, miss ratio 0.2185, byte miss ratio 0.2185
result/io_traces.ns215.oracleGeneral.zst FIFO cache size    29194, 8400000 req, miss ratio 0.1631, byte miss ratio 0.1631
result/io_traces.ns215.oracleGeneral.zst FIFO cache size    58389, 8400000 req, miss ratio 0.0993, byte miss ratio 0.0993
result/io_traces.ns215.oracleGeneral.zst FIFO cache size   116778, 8400000 req, miss ratio 0.0607, byte miss ratio 0.0607
result/io_traces.ns215.oracleGeneral.zst FIFO cache size   233557, 8400000 req, miss ratio 0.0407, byte miss ratio 0.0407
result/io_traces.ns215.oracleGeneral.zst LIRS cache size      291, 8400000 req, miss ratio 0.5517, byte miss ratio 0.5517
result/io_traces.ns215.oracleGeneral.zst LIRS cache size      875, 8400000 req, miss ratio 0.4008, byte miss ratio 0.4008
result/io_traces.ns215.oracleGeneral.zst LIRS cache size     2919, 8400000 req, miss ratio 0.2721, byte miss ratio 0.2721
result/io_traces.ns215.oracleGeneral.zst LIRS cache size     8758, 8400000 req, miss ratio 0.2020, byte miss ratio 0.2020
result/io_traces.ns215.oracleGeneral.zst LIRS cache size    29194, 8400000 req, miss ratio 0.1051, byte miss ratio 0.1051
result/io_traces.ns215.oracleGeneral.zst LIRS cache size    58389, 8400000 req, miss ratio 0.0616, byte miss ratio 0.0616
result/io_traces.ns215.oracleGeneral.zst LIRS cache size   116778, 8400000 req, miss ratio 0.0422, byte miss ratio 0.0422
result/io_traces.ns215.oracleGeneral.zst LIRS cache size   233557, 8400000 req, miss ratio 0.0359, byte miss ratio 0.0359
result/io_traces.ns215.oracleGeneral.zst ARC cache size      291, 8400000 req, miss ratio 0.5428, byte miss ratio 0.5428
result/io_traces.ns215.oracleGeneral.zst ARC cache size      875, 8400000 req, miss ratio 0.3884, byte miss ratio 0.3884
result/io_traces.ns215.oracleGeneral.zst ARC cache size     2919, 8400000 req, miss ratio 0.2604, byte miss ratio 0.2604
result/io_traces.ns215.oracleGeneral.zst ARC cache size     8758, 8400000 req, miss ratio 0.1939, byte miss ratio 0.1939
result/io_traces.ns215.oracleGeneral.zst ARC cache size    29194, 8400000 req, miss ratio 0.1261, byte miss ratio 0.1261
result/io_traces.ns215.oracleGeneral.zst ARC cache size    58389, 8400000 req, miss ratio 0.0623, byte miss ratio 0.0623
result/io_traces.ns215.oracleGeneral.zst ARC cache size   116778, 8400000 req, miss ratio 0.0411, byte miss ratio 0.0411
result/io_traces.ns215.oracleGeneral.zst ARC cache size   233557, 8400000 req, miss ratio 0.0351, byte miss ratio 0.0351
result/io_traces.ns215.oracleGeneral.zst LRU cache size      291, 8400000 req, miss ratio 0.6015, byte miss ratio 0.6015
result/io_traces.ns215.oracleGeneral.zst LRU cache size      875, 8400000 req, miss ratio 0.4548, byte miss ratio 0.4548
result/io_traces.ns215.oracleGeneral.zst LRU cache size     2919, 8400000 req, miss ratio 0.2847, byte miss ratio 0.2847
result/io_traces.ns215.oracleGeneral.zst LRU cache size     8758, 8400000 req, miss ratio 0.1935, byte miss ratio 0.1935
result/io_traces.ns215.oracleGeneral.zst LRU cache size    29194, 8400000 req, miss ratio 0.1561, byte miss ratio 0.1561
result/io_traces.ns215.oracleGeneral.zst LRU cache size    58389, 8400000 req, miss ratio 0.0659, byte miss ratio 0.0659
result/io_traces.ns215.oracleGeneral.zst LRU cache size   116778, 8400000 req, miss ratio 0.0447, byte miss ratio 0.0447
result/io_traces.ns215.oracleGeneral.zst LRU cache size   233557, 8400000 req, miss ratio 0.0352, byte miss ratio 0.0352
result/io_traces.ns215.oracleGeneral.zst Clock cache size      291, 8400000 req, miss ratio 0.5958, byte miss ratio 0.5958
result/io_traces.ns215.oracleGeneral.zst Clock cache size      875, 8400000 req, miss ratio 0.4410, byte miss ratio 0.4410
result/io_traces.ns215.oracleGeneral.zst Clock cache size     2919, 8400000 req, miss ratio 0.2787, byte miss ratio 0.2787
result/io_traces.ns215.oracleGeneral.zst Clock cache size     8758, 8400000 req, miss ratio 0.1900, byte miss ratio 0.1900
result/io_traces.ns215.oracleGeneral.zst Clock cache size    29194, 8400000 req, miss ratio 0.1512, byte miss ratio 0.1512
result/io_traces.ns215.oracleGeneral.zst Clock cache size    58389, 8400000 req, miss ratio 0.0663, byte miss ratio 0.0663
result/io_traces.ns215.oracleGeneral.zst Clock cache size   116778, 8400000 req, miss ratio 0.0430, byte miss ratio 0.0430
result/io_traces.ns215.oracleGeneral.zst Clock cache size   233557, 8400000 req, miss ratio 0.0351, byte miss ratio 0.0351
result/io_traces.ns215.oracleGeneral.zst clock2 cache size      291, 8400000 req, miss ratio 0.5938, byte miss ratio 0.5938
result/io_traces.ns215.oracleGeneral.zst clock2 cache size      875, 8400000 req, miss ratio 0.4277, byte miss ratio 0.4277
result/io_traces.ns215.oracleGeneral.zst clock2 cache size     2919, 8400000 req, miss ratio 0.2734, byte miss ratio 0.2734
result/io_traces.ns215.oracleGeneral.zst clock2 cache size     8758, 8400000 req, miss ratio 0.1928, byte miss ratio 0.1928
result/io_traces.ns215.oracleGeneral.zst clock2 cache size    29194, 8400000 req, miss ratio 0.1334, byte miss ratio 0.1334
result/io_traces.ns215.oracleGeneral.zst clock2 cache size    58389, 8400000 req, miss ratio 0.0708, byte miss ratio 0.0708
result/io_traces.ns215.oracleGeneral.zst clock2 cache size   116778, 8400000 req, miss ratio 0.0416, byte miss ratio 0.0416
result/io_traces.ns215.oracleGeneral.zst clock2 cache size   233557, 8400000 req, miss ratio 0.0351, byte miss ratio 0.0351
result/io_traces.ns215.oracleGeneral.zst S3FIFO-1 cache size      291, 8400000 req, miss ratio 0.5319, byte miss ratio 0.5319
result/io_traces.ns215.oracleGeneral.zst S3FIFO-1 cache size      875, 8400000 req, miss ratio 0.3759, byte miss ratio 0.3759
result/io_traces.ns215.oracleGeneral.zst S3FIFO-1 cache size     2919, 8400000 req, miss ratio 0.2604, byte miss ratio 0.2604
result/io_traces.ns215.oracleGeneral.zst S3FIFO-1 cache size     8758, 8400000 req, miss ratio 0.1831, byte miss ratio 0.1831
result/io_traces.ns215.oracleGeneral.zst S3FIFO-1 cache size    29194, 8400000 req, miss ratio 0.1197, byte miss ratio 0.1197
result/io_traces.ns215.oracleGeneral.zst S3FIFO-1 cache size    58389, 8400000 req, miss ratio 0.0615, byte miss ratio 0.0615
result/io_traces.ns215.oracleGeneral.zst S3FIFO-1 cache size   116778, 8400000 req, miss ratio 0.0407, byte miss ratio 0.0407
result/io_traces.ns215.oracleGeneral.zst S3FIFO-1 cache size   233557, 8400000 req, miss ratio 0.0351, byte miss ratio 0.0351
result/io_traces.ns215.oracleGeneral.zst Cacheus cache size      291, 8400000 req, miss ratio 0.5692, byte miss ratio 0.5692
result/io_traces.ns215.oracleGeneral.zst Cacheus cache size      875, 8400000 req, miss ratio 0.4148, byte miss ratio 0.4148
result/io_traces.ns215.oracleGeneral.zst Cacheus cache size     2919, 8400000 req, miss ratio 0.2680, byte miss ratio 0.2680
result/io_traces.ns215.oracleGeneral.zst Cacheus cache size     8758, 8400000 req, miss ratio 0.1956, byte miss ratio 0.1956
result/io_traces.ns215.oracleGeneral.zst Cacheus cache size    29194, 8400000 req, miss ratio 0.1450, byte miss ratio 0.1450
result/io_traces.ns215.oracleGeneral.zst Cacheus cache size    58389, 8400000 req, miss ratio 0.0648, byte miss ratio 0.0648
result/io_traces.ns215.oracleGeneral.zst Cacheus cache size   116778, 8400000 req, miss ratio 0.0434, byte miss ratio 0.0434
result/io_traces.ns215.oracleGeneral.zst Cacheus cache size   233557, 8400000 req, miss ratio 0.0351, byte miss ratio 0.0351
result/io_traces.ns215.oracleGeneral.zst LHD cache size      291, 8400000 req, miss ratio 0.5923, byte miss ratio 0.5923
result/io_traces.ns215.oracleGeneral.zst LHD cache size      875, 8400000 req, miss ratio 0.4220, byte miss ratio 0.4220
result/io_traces.ns215.oracleGeneral.zst LHD cache size     2919, 8400000 req, miss ratio 0.2760, byte miss ratio 0.2760
result/io_traces.ns215.oracleGeneral.zst LHD cache size     8758, 8400000 req, miss ratio 0.1940, byte miss ratio 0.1940
result/io_traces.ns215.oracleGeneral.zst LHD cache size    29194, 8400000 req, miss ratio 0.1231, byte miss ratio 0.1231
result/io_traces.ns215.oracleGeneral.zst LHD cache size    58389, 8400000 req, miss ratio 0.0643, byte miss ratio 0.0643
result/io_traces.ns215.oracleGeneral.zst LHD cache size   116778, 8400000 req, miss ratio 0.0431, byte miss ratio 0.0431
result/io_traces.ns215.oracleGeneral.zst LHD cache size   233557, 8400000 req, miss ratio 0.0353, byte miss ratio 0.0353
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d-1 cache size      291, 8400000 req, miss ratio 0.5345, byte miss ratio 0.5345
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d-1 cache size      875, 8400000 req, miss ratio 0.3777, byte miss ratio 0.3777
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d-1 cache size     2919, 8400000 req, miss ratio 0.2634, byte miss ratio 0.2634
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d-1 cache size     8758, 8400000 req, miss ratio 0.1851, byte miss ratio 0.1851
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d-1 cache size    29194, 8400000 req, miss ratio 0.1166, byte miss ratio 0.1166
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d-1 cache size    58389, 8400000 req, miss ratio 0.0623, byte miss ratio 0.0623
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d-1 cache size   116778, 8400000 req, miss ratio 0.0407, byte miss ratio 0.0407
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d-1 cache size   233557, 8400000 req, miss ratio 0.0351, byte miss ratio 0.0351
result/io_traces.ns215.oracleGeneral.zst LRB cache size      291, 8400000 req, miss ratio 0.5695, byte miss ratio 0.5695
result/io_traces.ns215.oracleGeneral.zst LRB cache size      875, 8400000 req, miss ratio 0.3841, byte miss ratio 0.3841
result/io_traces.ns215.oracleGeneral.zst LRB cache size     2919, 8400000 req, miss ratio 0.2398, byte miss ratio 0.2398
result/io_traces.ns215.oracleGeneral.zst LRB cache size     8758, 8400000 req, miss ratio 0.1630, byte miss ratio 0.1630
result/io_traces.ns215.oracleGeneral.zst LRB cache size    29194, 8400000 req, miss ratio 0.1039, byte miss ratio 0.1039
result/io_traces.ns215.oracleGeneral.zst LRB cache size    58389, 8400000 req, miss ratio 0.0589, byte miss ratio 0.0589
result/io_traces.ns215.oracleGeneral.zst LRB cache size   116778, 8400000 req, miss ratio 0.0425, byte miss ratio 0.0425
result/io_traces.ns215.oracleGeneral.zst LRB cache size   233557, 8400000 req, miss ratio 0.0357, byte miss ratio 0.0357
result/io_traces.ns215.oracleGeneral.zst B-LRU cache size      291, 8400000 req, miss ratio 0.6029, byte miss ratio 0.6029
result/io_traces.ns215.oracleGeneral.zst B-LRU cache size      875, 8400000 req, miss ratio 0.4551, byte miss ratio 0.4551
result/io_traces.ns215.oracleGeneral.zst B-LRU cache size     2919, 8400000 req, miss ratio 0.2861, byte miss ratio 0.2861
result/io_traces.ns215.oracleGeneral.zst B-LRU cache size     8758, 8400000 req, miss ratio 0.1971, byte miss ratio 0.1971
result/io_traces.ns215.oracleGeneral.zst B-LRU cache size    29194, 8400000 req, miss ratio 0.1518, byte miss ratio 0.1518
result/io_traces.ns215.oracleGeneral.zst B-LRU cache size    58389, 8400000 req, miss ratio 0.0685, byte miss ratio 0.0685
result/io_traces.ns215.oracleGeneral.zst B-LRU cache size   116778, 8400000 req, miss ratio 0.0549, byte miss ratio 0.0549
result/io_traces.ns215.oracleGeneral.zst B-LRU cache size   233557, 8400000 req, miss ratio 0.0540, byte miss ratio 0.0540
result/io_traces.ns215.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      291, 8400000 req, miss ratio 0.6051, byte miss ratio 0.6051
result/io_traces.ns215.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      875, 8400000 req, miss ratio 0.4566, byte miss ratio 0.4566
result/io_traces.ns215.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2919, 8400000 req, miss ratio 0.2979, byte miss ratio 0.2979
result/io_traces.ns215.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8758, 8400000 req, miss ratio 0.2105, byte miss ratio 0.2105
result/io_traces.ns215.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    29194, 8400000 req, miss ratio 0.1392, byte miss ratio 0.1392
result/io_traces.ns215.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    58389, 8400000 req, miss ratio 0.0931, byte miss ratio 0.0931
result/io_traces.ns215.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   116778, 8400000 req, miss ratio 0.0533, byte miss ratio 0.0533
result/io_traces.ns215.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   233557, 8400000 req, miss ratio 0.0389, byte miss ratio 0.0389
result/io_traces.ns215.oracleGeneral.zst S4LRU(25:25:25:25) cache size      291, 8400000 req, miss ratio 0.5862, byte miss ratio 0.5862
result/io_traces.ns215.oracleGeneral.zst S4LRU(25:25:25:25) cache size      875, 8400000 req, miss ratio 0.4039, byte miss ratio 0.4039
