result/io_traces.ns232.oracleGeneral.zst LeCaR cache size     1626, 18800000 req, miss ratio 0.1181, byte miss ratio 0.1181
result/io_traces.ns232.oracleGeneral.zst LeCaR cache size     4878, 18800000 req, miss ratio 0.1160, byte miss ratio 0.1160
result/io_traces.ns232.oracleGeneral.zst LeCaR cache size    16262, 18800000 req, miss ratio 0.1142, byte miss ratio 0.1142
result/io_traces.ns232.oracleGeneral.zst LeCaR cache size    48786, 18800000 req, miss ratio 0.1106, byte miss ratio 0.1106
result/io_traces.ns232.oracleGeneral.zst LeCaR cache size   162621, 18800000 req, miss ratio 0.1041, byte miss ratio 0.1041
result/io_traces.ns232.oracleGeneral.zst LeCaR cache size   325242, 18800000 req, miss ratio 0.0999, byte miss ratio 0.0999
result/io_traces.ns232.oracleGeneral.zst LeCaR cache size   650484, 18800000 req, miss ratio 0.0931, byte miss ratio 0.0931
result/io_traces.ns232.oracleGeneral.zst LeCaR cache size  1300969, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns232.oracleGeneral.zst Clock cache size     1626, 18800000 req, miss ratio 0.1195, byte miss ratio 0.1195
result/io_traces.ns232.oracleGeneral.zst Clock cache size     4878, 18800000 req, miss ratio 0.1170, byte miss ratio 0.1170
result/io_traces.ns232.oracleGeneral.zst Clock cache size    16262, 18800000 req, miss ratio 0.1151, byte miss ratio 0.1151
result/io_traces.ns232.oracleGeneral.zst Clock cache size    48786, 18800000 req, miss ratio 0.1105, byte miss ratio 0.1105
result/io_traces.ns232.oracleGeneral.zst Clock cache size   162621, 18800000 req, miss ratio 0.1045, byte miss ratio 0.1045
result/io_traces.ns232.oracleGeneral.zst Clock cache size   325242, 18800000 req, miss ratio 0.0989, byte miss ratio 0.0989
result/io_traces.ns232.oracleGeneral.zst Clock cache size   650484, 18800000 req, miss ratio 0.0923, byte miss ratio 0.0923
result/io_traces.ns232.oracleGeneral.zst Clock cache size  1300969, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns232.oracleGeneral.zst LRU cache size     1626, 18800000 req, miss ratio 0.1201, byte miss ratio 0.1201
result/io_traces.ns232.oracleGeneral.zst LRU cache size     4878, 18800000 req, miss ratio 0.1172, byte miss ratio 0.1172
result/io_traces.ns232.oracleGeneral.zst LRU cache size    16262, 18800000 req, miss ratio 0.1152, byte miss ratio 0.1152
result/io_traces.ns232.oracleGeneral.zst LRU cache size    48786, 18800000 req, miss ratio 0.1108, byte miss ratio 0.1108
result/io_traces.ns232.oracleGeneral.zst LRU cache size   162621, 18800000 req, miss ratio 0.1047, byte miss ratio 0.1047
result/io_traces.ns232.oracleGeneral.zst LRU cache size   325242, 18800000 req, miss ratio 0.1005, byte miss ratio 0.1005
