result/io_traces.ns281.oracleGeneral.zst LHD cache size      192, 3400000 req, miss ratio 0.5153, byte miss ratio 0.5153
result/io_traces.ns281.oracleGeneral.zst LHD cache size      577, 3400000 req, miss ratio 0.4918, byte miss ratio 0.4918
result/io_traces.ns281.oracleGeneral.zst LHD cache size     1926, 3400000 req, miss ratio 0.4696, byte miss ratio 0.4696
result/io_traces.ns281.oracleGeneral.zst LHD cache size     5779, 3400000 req, miss ratio 0.4399, byte miss ratio 0.4399
result/io_traces.ns281.oracleGeneral.zst LHD cache size    19265, 3400000 req, miss ratio 0.2899, byte miss ratio 0.2899
result/io_traces.ns281.oracleGeneral.zst LHD cache size    38531, 3400000 req, miss ratio 0.0952, byte miss ratio 0.0952
result/io_traces.ns281.oracleGeneral.zst LHD cache size    77062, 3400000 req, miss ratio 0.0576, byte miss ratio 0.0576
result/io_traces.ns281.oracleGeneral.zst LHD cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst Cacheus cache size      192, 3400000 req, miss ratio 0.5039, byte miss ratio 0.5039
result/io_traces.ns281.oracleGeneral.zst Cacheus cache size      577, 3400000 req, miss ratio 0.4794, byte miss ratio 0.4794
result/io_traces.ns281.oracleGeneral.zst Cacheus cache size     1926, 3400000 req, miss ratio 0.4577, byte miss ratio 0.4577
result/io_traces.ns281.oracleGeneral.zst Cacheus cache size     5779, 3400000 req, miss ratio 0.4362, byte miss ratio 0.4362
result/io_traces.ns281.oracleGeneral.zst Cacheus cache size    19265, 3400000 req, miss ratio 0.2969, byte miss ratio 0.2969
result/io_traces.ns281.oracleGeneral.zst Cacheus cache size    38531, 3400000 req, miss ratio 0.0980, byte miss ratio 0.0980
result/io_traces.ns281.oracleGeneral.zst Cacheus cache size    77062, 3400000 req, miss ratio 0.0578, byte miss ratio 0.0578
result/io_traces.ns281.oracleGeneral.zst Cacheus cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst LRU cache size      192, 3400000 req, miss ratio 0.5737, byte miss ratio 0.5737
result/io_traces.ns281.oracleGeneral.zst LRU cache size      577, 3400000 req, miss ratio 0.4954, byte miss ratio 0.4954
result/io_traces.ns281.oracleGeneral.zst LRU cache size     1926, 3400000 req, miss ratio 0.4817, byte miss ratio 0.4817
result/io_traces.ns281.oracleGeneral.zst LRU cache size     5779, 3400000 req, miss ratio 0.4580, byte miss ratio 0.4580
result/io_traces.ns281.oracleGeneral.zst LRU cache size    19265, 3400000 req, miss ratio 0.2773, byte miss ratio 0.2773
result/io_traces.ns281.oracleGeneral.zst LRU cache size    38531, 3400000 req, miss ratio 0.1211, byte miss ratio 0.1211
result/io_traces.ns281.oracleGeneral.zst LRU cache size    77062, 3400000 req, miss ratio 0.0575, byte miss ratio 0.0575
result/io_traces.ns281.oracleGeneral.zst LRU cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst ARC cache size      192, 3400000 req, miss ratio 0.4988, byte miss ratio 0.4988
result/io_traces.ns281.oracleGeneral.zst ARC cache size      577, 3400000 req, miss ratio 0.4834, byte miss ratio 0.4834
result/io_traces.ns281.oracleGeneral.zst ARC cache size     1926, 3400000 req, miss ratio 0.4553, byte miss ratio 0.4553
result/io_traces.ns281.oracleGeneral.zst ARC cache size     5779, 3400000 req, miss ratio 0.4358, byte miss ratio 0.4358
result/io_traces.ns281.oracleGeneral.zst ARC cache size    19265, 3400000 req, miss ratio 0.2627, byte miss ratio 0.2627
