result/io_traces.ns32.oracleGeneral.zst ARC cache size    25059, 164200000 req, miss ratio 0.3824, byte miss ratio 0.3824
result/io_traces.ns32.oracleGeneral.zst ARC cache size    75177, 164200000 req, miss ratio 0.2381, byte miss ratio 0.2381
result/io_traces.ns32.oracleGeneral.zst ARC cache size   250593, 164200000 req, miss ratio 0.2165, byte miss ratio 0.2165
result/io_traces.ns32.oracleGeneral.zst ARC cache size   751779, 164200000 req, miss ratio 0.2042, byte miss ratio 0.2042
result/io_traces.ns32.oracleGeneral.zst ARC cache size  2505932, 164200000 req, miss ratio 0.1932, byte miss ratio 0.1932
result/io_traces.ns32.oracleGeneral.zst ARC cache size  5011865, 164200000 req, miss ratio 0.1812, byte miss ratio 0.1812
result/io_traces.ns32.oracleGeneral.zst ARC cache size 10023730, 164200000 req, miss ratio 0.1666, byte miss ratio 0.1666
result/io_traces.ns32.oracleGeneral.zst ARC cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst Clock cache size    25059, 164200000 req, miss ratio 0.4202, byte miss ratio 0.4202
result/io_traces.ns32.oracleGeneral.zst Clock cache size    75177, 164200000 req, miss ratio 0.2754, byte miss ratio 0.2754
result/io_traces.ns32.oracleGeneral.zst Clock cache size   250593, 164200000 req, miss ratio 0.2220, byte miss ratio 0.2220
result/io_traces.ns32.oracleGeneral.zst Clock cache size   751779, 164200000 req, miss ratio 0.2056, byte miss ratio 0.2056
result/io_traces.ns32.oracleGeneral.zst Clock cache size  2505932, 164200000 req, miss ratio 0.1914, byte miss ratio 0.1914
result/io_traces.ns32.oracleGeneral.zst Clock cache size  5011865, 164200000 req, miss ratio 0.1826, byte miss ratio 0.1826
result/io_traces.ns32.oracleGeneral.zst Clock cache size 10023730, 164200000 req, miss ratio 0.1658, byte miss ratio 0.1658
result/io_traces.ns32.oracleGeneral.zst Clock cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst LIRS cache size    25059, 164200000 req, miss ratio 0.3842, byte miss ratio 0.3842
result/io_traces.ns32.oracleGeneral.zst LIRS cache size    75177, 164200000 req, miss ratio 0.2396, byte miss ratio 0.2396
result/io_traces.ns32.oracleGeneral.zst LIRS cache size   250593, 164200000 req, miss ratio 0.2223, byte miss ratio 0.2223
result/io_traces.ns32.oracleGeneral.zst LIRS cache size   751779, 164200000 req, miss ratio 0.2120, byte miss ratio 0.2120
result/io_traces.ns32.oracleGeneral.zst LIRS cache size  2505932, 164200000 req, miss ratio 0.1973, byte miss ratio 0.1973
result/io_traces.ns32.oracleGeneral.zst LIRS cache size  5011865, 164200000 req, miss ratio 0.1863, byte miss ratio 0.1863
result/io_traces.ns32.oracleGeneral.zst LIRS cache size 10023730, 164200000 req, miss ratio 0.1713, byte miss ratio 0.1713
result/io_traces.ns32.oracleGeneral.zst LIRS cache size 20047461, 164200000 req, miss ratio 0.1557, byte miss ratio 0.1557
result/io_traces.ns32.oracleGeneral.zst Cacheus cache size    25059, 164200000 req, miss ratio 0.3989, byte miss ratio 0.3989
result/io_traces.ns32.oracleGeneral.zst Cacheus cache size    75177, 164200000 req, miss ratio 0.2516, byte miss ratio 0.2516
result/io_traces.ns32.oracleGeneral.zst Cacheus cache size   250593, 164200000 req, miss ratio 0.2177, byte miss ratio 0.2177
result/io_traces.ns32.oracleGeneral.zst Cacheus cache size   751779, 164200000 req, miss ratio 0.2040, byte miss ratio 0.2040
result/io_traces.ns32.oracleGeneral.zst Cacheus cache size  2505932, 164200000 req, miss ratio 0.1920, byte miss ratio 0.1920
result/io_traces.ns32.oracleGeneral.zst Cacheus cache size  5011865, 164200000 req, miss ratio 0.1800, byte miss ratio 0.1800
result/io_traces.ns32.oracleGeneral.zst Cacheus cache size 10023730, 164200000 req, miss ratio 0.1729, byte miss ratio 0.1729
result/io_traces.ns32.oracleGeneral.zst Cacheus cache size 20047461, 164200000 req, miss ratio 0.1549, byte miss ratio 0.1549
result/io_traces.ns32.oracleGeneral.zst S3FIFO-1 cache size    25059, 164200000 req, miss ratio 0.3805, byte miss ratio 0.3805
result/io_traces.ns32.oracleGeneral.zst S3FIFO-1 cache size    75177, 164200000 req, miss ratio 0.2329, byte miss ratio 0.2329
result/io_traces.ns32.oracleGeneral.zst S3FIFO-1 cache size   250593, 164200000 req, miss ratio 0.2184, byte miss ratio 0.2184
result/io_traces.ns32.oracleGeneral.zst S3FIFO-1 cache size   751779, 164200000 req, miss ratio 0.2061, byte miss ratio 0.2061
result/io_traces.ns32.oracleGeneral.zst S3FIFO-1 cache size  2505932, 164200000 req, miss ratio 0.1917, byte miss ratio 0.1917
result/io_traces.ns32.oracleGeneral.zst S3FIFO-1 cache size  5011865, 164200000 req, miss ratio 0.1816, byte miss ratio 0.1816
result/io_traces.ns32.oracleGeneral.zst S3FIFO-1 cache size 10023730, 164200000 req, miss ratio 0.1668, byte miss ratio 0.1668
result/io_traces.ns32.oracleGeneral.zst S3FIFO-1 cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst clock2 cache size    25059, 164200000 req, miss ratio 0.4188, byte miss ratio 0.4188
result/io_traces.ns32.oracleGeneral.zst clock2 cache size    75177, 164200000 req, miss ratio 0.2547, byte miss ratio 0.2547
result/io_traces.ns32.oracleGeneral.zst clock2 cache size   250593, 164200000 req, miss ratio 0.2199, byte miss ratio 0.2199
result/io_traces.ns32.oracleGeneral.zst clock2 cache size   751779, 164200000 req, miss ratio 0.2052, byte miss ratio 0.2052
result/io_traces.ns32.oracleGeneral.zst clock2 cache size  2505932, 164200000 req, miss ratio 0.1910, byte miss ratio 0.1910
result/io_traces.ns32.oracleGeneral.zst clock2 cache size  5011865, 164200000 req, miss ratio 0.1815, byte miss ratio 0.1815
result/io_traces.ns32.oracleGeneral.zst clock2 cache size 10023730, 164200000 req, miss ratio 0.1659, byte miss ratio 0.1659
result/io_traces.ns32.oracleGeneral.zst clock2 cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst LHD cache size    25059, 164200000 req, miss ratio 0.3729, byte miss ratio 0.3729
result/io_traces.ns32.oracleGeneral.zst LHD cache size    75177, 164200000 req, miss ratio 0.2341, byte miss ratio 0.2341
result/io_traces.ns32.oracleGeneral.zst LHD cache size   250593, 164200000 req, miss ratio 0.2172, byte miss ratio 0.2172
result/io_traces.ns32.oracleGeneral.zst LHD cache size   751779, 164200000 req, miss ratio 0.2047, byte miss ratio 0.2047
result/io_traces.ns32.oracleGeneral.zst LHD cache size  2505932, 164200000 req, miss ratio 0.2000, byte miss ratio 0.2000
result/io_traces.ns32.oracleGeneral.zst LHD cache size  5011865, 164200000 req, miss ratio 0.1894, byte miss ratio 0.1894
result/io_traces.ns32.oracleGeneral.zst LHD cache size 10023730, 164200000 req, miss ratio 0.1703, byte miss ratio 0.1703
result/io_traces.ns32.oracleGeneral.zst LHD cache size 20047461, 164200000 req, miss ratio 0.1545, byte miss ratio 0.1545
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size    25059, 164200000 req, miss ratio 0.4186, byte miss ratio 0.4186
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size    75177, 164200000 req, miss ratio 0.2504, byte miss ratio 0.2504
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size   250593, 164200000 req, miss ratio 0.2216, byte miss ratio 0.2216
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size   751779, 164200000 req, miss ratio 0.2057, byte miss ratio 0.2057
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size  2505932, 164200000 req, miss ratio 0.1908, byte miss ratio 0.1908
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size  5011865, 164200000 req, miss ratio 0.1819, byte miss ratio 0.1819
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size 10023730, 164200000 req, miss ratio 0.1655, byte miss ratio 0.1655
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst LRU cache size    25059, 164200000 req, miss ratio 0.4207, byte miss ratio 0.4207
result/io_traces.ns32.oracleGeneral.zst LRU cache size    75177, 164200000 req, miss ratio 0.2836, byte miss ratio 0.2836
result/io_traces.ns32.oracleGeneral.zst LRU cache size   250593, 164200000 req, miss ratio 0.2232, byte miss ratio 0.2232
result/io_traces.ns32.oracleGeneral.zst LRU cache size   751779, 164200000 req, miss ratio 0.2064, byte miss ratio 0.2064
result/io_traces.ns32.oracleGeneral.zst LRU cache size  2505932, 164200000 req, miss ratio 0.1909, byte miss ratio 0.1909
result/io_traces.ns32.oracleGeneral.zst LRU cache size  5011865, 164200000 req, miss ratio 0.1850, byte miss ratio 0.1850
result/io_traces.ns32.oracleGeneral.zst LRU cache size 10023730, 164200000 req, miss ratio 0.1655, byte miss ratio 0.1655
result/io_traces.ns32.oracleGeneral.zst LRU cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst FIFO cache size    25059, 164200000 req, miss ratio 0.4460, byte miss ratio 0.4460
result/io_traces.ns32.oracleGeneral.zst FIFO cache size    75177, 164200000 req, miss ratio 0.3297, byte miss ratio 0.3297
result/io_traces.ns32.oracleGeneral.zst FIFO cache size   250593, 164200000 req, miss ratio 0.2515, byte miss ratio 0.2515
result/io_traces.ns32.oracleGeneral.zst FIFO cache size   751779, 164200000 req, miss ratio 0.2182, byte miss ratio 0.2182
result/io_traces.ns32.oracleGeneral.zst FIFO cache size  2505932, 164200000 req, miss ratio 0.1957, byte miss ratio 0.1957
result/io_traces.ns32.oracleGeneral.zst FIFO cache size  5011865, 164200000 req, miss ratio 0.1877, byte miss ratio 0.1877
result/io_traces.ns32.oracleGeneral.zst FIFO cache size 10023730, 164200000 req, miss ratio 0.1685, byte miss ratio 0.1685
result/io_traces.ns32.oracleGeneral.zst FIFO cache size 20047461, 164200000 req, miss ratio 0.1547, byte miss ratio 0.1547
