result/io_traces.ns34.oracleGeneral.zst Clock cache size     1626, 18800000 req, miss ratio 0.1187, byte miss ratio 0.1187
result/io_traces.ns34.oracleGeneral.zst Clock cache size     4878, 18800000 req, miss ratio 0.1164, byte miss ratio 0.1164
result/io_traces.ns34.oracleGeneral.zst Clock cache size    16263, 18800000 req, miss ratio 0.1144, byte miss ratio 0.1144
result/io_traces.ns34.oracleGeneral.zst Clock cache size    48789, 18800000 req, miss ratio 0.1099, byte miss ratio 0.1099
result/io_traces.ns34.oracleGeneral.zst Clock cache size   162631, 18800000 req, miss ratio 0.1039, byte miss ratio 0.1039
result/io_traces.ns34.oracleGeneral.zst Clock cache size   325263, 18800000 req, miss ratio 0.0989, byte miss ratio 0.0989
result/io_traces.ns34.oracleGeneral.zst Clock cache size   650527, 18800000 req, miss ratio 0.0924, byte miss ratio 0.0924
result/io_traces.ns34.oracleGeneral.zst Clock cache size  1301055, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns34.oracleGeneral.zst LRU cache size     1626, 18800000 req, miss ratio 0.1193, byte miss ratio 0.1193
result/io_traces.ns34.oracleGeneral.zst LRU cache size     4878, 18800000 req, miss ratio 0.1167, byte miss ratio 0.1167
result/io_traces.ns34.oracleGeneral.zst LRU cache size    16263, 18800000 req, miss ratio 0.1146, byte miss ratio 0.1146
result/io_traces.ns34.oracleGeneral.zst LRU cache size    48789, 18800000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns34.oracleGeneral.zst LRU cache size   162631, 18800000 req, miss ratio 0.1043, byte miss ratio 0.1043
result/io_traces.ns34.oracleGeneral.zst LRU cache size   325263, 18800000 req, miss ratio 0.1003, byte miss ratio 0.1003
result/io_traces.ns34.oracleGeneral.zst LRU cache size   650527, 18800000 req, miss ratio 0.0933, byte miss ratio 0.0933
result/io_traces.ns34.oracleGeneral.zst LRU cache size  1301055, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns34.oracleGeneral.zst FIFO cache size     1626, 18800000 req, miss ratio 0.1388, byte miss ratio 0.1388
result/io_traces.ns34.oracleGeneral.zst FIFO cache size     4878, 18800000 req, miss ratio 0.1230, byte miss ratio 0.1230
result/io_traces.ns34.oracleGeneral.zst FIFO cache size    16263, 18800000 req, miss ratio 0.1167, byte miss ratio 0.1167
result/io_traces.ns34.oracleGeneral.zst FIFO cache size    48789, 18800000 req, miss ratio 0.1120, byte miss ratio 0.1120
result/io_traces.ns34.oracleGeneral.zst FIFO cache size   162631, 18800000 req, miss ratio 0.1062, byte miss ratio 0.1062
result/io_traces.ns34.oracleGeneral.zst FIFO cache size   325263, 18800000 req, miss ratio 0.1021, byte miss ratio 0.1021
result/io_traces.ns34.oracleGeneral.zst FIFO cache size   650527, 18800000 req, miss ratio 0.0954, byte miss ratio 0.0954
result/io_traces.ns34.oracleGeneral.zst FIFO cache size  1301055, 18800000 req, miss ratio 0.0881, byte miss ratio 0.0881
result/io_traces.ns34.oracleGeneral.zst LIRS cache size     1626, 18800000 req, miss ratio 0.1209, byte miss ratio 0.1209
result/io_traces.ns34.oracleGeneral.zst LIRS cache size     4878, 18800000 req, miss ratio 0.1164, byte miss ratio 0.1164
result/io_traces.ns34.oracleGeneral.zst LIRS cache size    16263, 18800000 req, miss ratio 0.1106, byte miss ratio 0.1106
