result/io_traces.ns372.oracleGeneral.zst LIRS cache size      975, 18400000 req, miss ratio 0.6369, byte miss ratio 0.6369
result/io_traces.ns372.oracleGeneral.zst LIRS cache size     2925, 18400000 req, miss ratio 0.6008, byte miss ratio 0.6008
result/io_traces.ns372.oracleGeneral.zst LIRS cache size     9752, 18400000 req, miss ratio 0.5476, byte miss ratio 0.5476
result/io_traces.ns372.oracleGeneral.zst LIRS cache size    29257, 18400000 req, miss ratio 0.2572, byte miss ratio 0.2572
result/io_traces.ns372.oracleGeneral.zst LIRS cache size    97523, 18400000 req, miss ratio 0.0742, byte miss ratio 0.0742
result/io_traces.ns372.oracleGeneral.zst LIRS cache size   195047, 18400000 req, miss ratio 0.0690, byte miss ratio 0.0690
result/io_traces.ns372.oracleGeneral.zst LIRS cache size   390094, 18400000 req, miss ratio 0.0580, byte miss ratio 0.0580
result/io_traces.ns372.oracleGeneral.zst LIRS cache size   780188, 18400000 req, miss ratio 0.0537, byte miss ratio 0.0537
result/io_traces.ns372.oracleGeneral.zst LHD cache size      975, 18400000 req, miss ratio 0.6344, byte miss ratio 0.6344
result/io_traces.ns372.oracleGeneral.zst LHD cache size     2925, 18400000 req, miss ratio 0.5918, byte miss ratio 0.5918
result/io_traces.ns372.oracleGeneral.zst LHD cache size     9752, 18400000 req, miss ratio 0.4965, byte miss ratio 0.4965
result/io_traces.ns372.oracleGeneral.zst LHD cache size    29257, 18400000 req, miss ratio 0.2327, byte miss ratio 0.2327
result/io_traces.ns372.oracleGeneral.zst LHD cache size    97523, 18400000 req, miss ratio 0.0722, byte miss ratio 0.0722
result/io_traces.ns372.oracleGeneral.zst LHD cache size   195047, 18400000 req, miss ratio 0.0659, byte miss ratio 0.0659
result/io_traces.ns372.oracleGeneral.zst LHD cache size   390094, 18400000 req, miss ratio 0.0583, byte miss ratio 0.0583
result/io_traces.ns372.oracleGeneral.zst LHD cache size   780188, 18400000 req, miss ratio 0.0538, byte miss ratio 0.0538
result/io_traces.ns372.oracleGeneral.zst FIFO cache size      975, 18400000 req, miss ratio 0.6787, byte miss ratio 0.6787
result/io_traces.ns372.oracleGeneral.zst FIFO cache size     2925, 18400000 req, miss ratio 0.6456, byte miss ratio 0.6456
result/io_traces.ns372.oracleGeneral.zst FIFO cache size     9752, 18400000 req, miss ratio 0.6111, byte miss ratio 0.6111
result/io_traces.ns372.oracleGeneral.zst FIFO cache size    29257, 18400000 req, miss ratio 0.3301, byte miss ratio 0.3301
result/io_traces.ns372.oracleGeneral.zst FIFO cache size    97523, 18400000 req, miss ratio 0.1156, byte miss ratio 0.1156
result/io_traces.ns372.oracleGeneral.zst FIFO cache size   195047, 18400000 req, miss ratio 0.0852, byte miss ratio 0.0852
result/io_traces.ns372.oracleGeneral.zst FIFO cache size   390094, 18400000 req, miss ratio 0.0655, byte miss ratio 0.0655
