result/io_traces.ns433.oracleGeneral.zst Cacheus cache size      233, 5400000 req, miss ratio 0.3414, byte miss ratio 0.3414
result/io_traces.ns433.oracleGeneral.zst Cacheus cache size      701, 5400000 req, miss ratio 0.3063, byte miss ratio 0.3063
result/io_traces.ns433.oracleGeneral.zst Cacheus cache size     2337, 5400000 req, miss ratio 0.2316, byte miss ratio 0.2316
result/io_traces.ns433.oracleGeneral.zst Cacheus cache size     7012, 5400000 req, miss ratio 0.2031, byte miss ratio 0.2031
result/io_traces.ns433.oracleGeneral.zst Cacheus cache size    23376, 5400000 req, miss ratio 0.1385, byte miss ratio 0.1385
result/io_traces.ns433.oracleGeneral.zst Cacheus cache size    46752, 5400000 req, miss ratio 0.0746, byte miss ratio 0.0746
result/io_traces.ns433.oracleGeneral.zst Cacheus cache size    93504, 5400000 req, miss ratio 0.0470, byte miss ratio 0.0470
result/io_traces.ns433.oracleGeneral.zst Cacheus cache size   187008, 5400000 req, miss ratio 0.0445, byte miss ratio 0.0445
result/io_traces.ns433.oracleGeneral.zst clock2 cache size      233, 5400000 req, miss ratio 0.3501, byte miss ratio 0.3501
result/io_traces.ns433.oracleGeneral.zst clock2 cache size      701, 5400000 req, miss ratio 0.3187, byte miss ratio 0.3187
result/io_traces.ns433.oracleGeneral.zst clock2 cache size     2337, 5400000 req, miss ratio 0.2593, byte miss ratio 0.2593
result/io_traces.ns433.oracleGeneral.zst clock2 cache size     7012, 5400000 req, miss ratio 0.2097, byte miss ratio 0.2097
result/io_traces.ns433.oracleGeneral.zst clock2 cache size    23376, 5400000 req, miss ratio 0.1474, byte miss ratio 0.1474
result/io_traces.ns433.oracleGeneral.zst clock2 cache size    46752, 5400000 req, miss ratio 0.0796, byte miss ratio 0.0796
result/io_traces.ns433.oracleGeneral.zst clock2 cache size    93504, 5400000 req, miss ratio 0.0467, byte miss ratio 0.0467
result/io_traces.ns433.oracleGeneral.zst clock2 cache size   187008, 5400000 req, miss ratio 0.0439, byte miss ratio 0.0439
result/io_traces.ns433.oracleGeneral.zst LRU cache size      233, 5400000 req, miss ratio 0.3591, byte miss ratio 0.3591
result/io_traces.ns433.oracleGeneral.zst LRU cache size      701, 5400000 req, miss ratio 0.3195, byte miss ratio 0.3195
result/io_traces.ns433.oracleGeneral.zst LRU cache size     2337, 5400000 req, miss ratio 0.2663, byte miss ratio 0.2663
result/io_traces.ns433.oracleGeneral.zst LRU cache size     7012, 5400000 req, miss ratio 0.2144, byte miss ratio 0.2144
result/io_traces.ns433.oracleGeneral.zst LRU cache size    23376, 5400000 req, miss ratio 0.1434, byte miss ratio 0.1434
result/io_traces.ns433.oracleGeneral.zst LRU cache size    46752, 5400000 req, miss ratio 0.0765, byte miss ratio 0.0765
result/io_traces.ns433.oracleGeneral.zst LRU cache size    93504, 5400000 req, miss ratio 0.0458, byte miss ratio 0.0458
result/io_traces.ns433.oracleGeneral.zst LRU cache size   187008, 5400000 req, miss ratio 0.0437, byte miss ratio 0.0437
result/io_traces.ns433.oracleGeneral.zst FIFO cache size      233, 5400000 req, miss ratio 0.4934, byte miss ratio 0.4934
result/io_traces.ns433.oracleGeneral.zst FIFO cache size      701, 5400000 req, miss ratio 0.3641, byte miss ratio 0.3641
result/io_traces.ns433.oracleGeneral.zst FIFO cache size     2337, 5400000 req, miss ratio 0.2885, byte miss ratio 0.2885
result/io_traces.ns433.oracleGeneral.zst FIFO cache size     7012, 5400000 req, miss ratio 0.2398, byte miss ratio 0.2398
result/io_traces.ns433.oracleGeneral.zst FIFO cache size    23376, 5400000 req, miss ratio 0.1538, byte miss ratio 0.1538
result/io_traces.ns433.oracleGeneral.zst FIFO cache size    46752, 5400000 req, miss ratio 0.0972, byte miss ratio 0.0972
result/io_traces.ns433.oracleGeneral.zst FIFO cache size    93504, 5400000 req, miss ratio 0.0591, byte miss ratio 0.0591
result/io_traces.ns433.oracleGeneral.zst FIFO cache size   187008, 5400000 req, miss ratio 0.0493, byte miss ratio 0.0493
result/io_traces.ns433.oracleGeneral.zst S3FIFO-1 cache size      233, 5400000 req, miss ratio 0.3468, byte miss ratio 0.3468
result/io_traces.ns433.oracleGeneral.zst S3FIFO-1 cache size      701, 5400000 req, miss ratio 0.2958, byte miss ratio 0.2958
result/io_traces.ns433.oracleGeneral.zst S3FIFO-1 cache size     2337, 5400000 req, miss ratio 0.2163, byte miss ratio 0.2163
result/io_traces.ns433.oracleGeneral.zst S3FIFO-1 cache size     7012, 5400000 req, miss ratio 0.1991, byte miss ratio 0.1991
result/io_traces.ns433.oracleGeneral.zst S3FIFO-1 cache size    23376, 5400000 req, miss ratio 0.1401, byte miss ratio 0.1401
result/io_traces.ns433.oracleGeneral.zst S3FIFO-1 cache size    46752, 5400000 req, miss ratio 0.0676, byte miss ratio 0.0676
result/io_traces.ns433.oracleGeneral.zst S3FIFO-1 cache size    93504, 5400000 req, miss ratio 0.0476, byte miss ratio 0.0476
result/io_traces.ns433.oracleGeneral.zst S3FIFO-1 cache size   187008, 5400000 req, miss ratio 0.0439, byte miss ratio 0.0439
result/io_traces.ns433.oracleGeneral.zst Clock cache size      233, 5400000 req, miss ratio 0.3532, byte miss ratio 0.3532
result/io_traces.ns433.oracleGeneral.zst Clock cache size      701, 5400000 req, miss ratio 0.3190, byte miss ratio 0.3190
result/io_traces.ns433.oracleGeneral.zst Clock cache size     2337, 5400000 req, miss ratio 0.2638, byte miss ratio 0.2638
result/io_traces.ns433.oracleGeneral.zst Clock cache size     7012, 5400000 req, miss ratio 0.2115, byte miss ratio 0.2115
result/io_traces.ns433.oracleGeneral.zst Clock cache size    23376, 5400000 req, miss ratio 0.1427, byte miss ratio 0.1427
result/io_traces.ns433.oracleGeneral.zst Clock cache size    46752, 5400000 req, miss ratio 0.0784, byte miss ratio 0.0784
