result/io_traces.ns453.oracleGeneral.zst S3FIFO-1 cache size       37, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-1 cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-1 cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-1 cache size     1121, 2600000 req, miss ratio 0.8604, byte miss ratio 0.8604
result/io_traces.ns453.oracleGeneral.zst S3FIFO-1 cache size     3738, 2600000 req, miss ratio 0.4921, byte miss ratio 0.4921
result/io_traces.ns453.oracleGeneral.zst S3FIFO-1 cache size     7477, 2600000 req, miss ratio 0.4388, byte miss ratio 0.4388
result/io_traces.ns453.oracleGeneral.zst S3FIFO-1 cache size    14954, 2600000 req, miss ratio 0.3500, byte miss ratio 0.3500
result/io_traces.ns453.oracleGeneral.zst S3FIFO-1 cache size    29908, 2600000 req, miss ratio 0.1199, byte miss ratio 0.1199
result/io_traces.ns453.oracleGeneral.zst LHD cache size       37, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst LHD cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst LHD cache size      373, 2600000 req, miss ratio 0.9823, byte miss ratio 0.9823
result/io_traces.ns453.oracleGeneral.zst LHD cache size     1121, 2600000 req, miss ratio 0.9515, byte miss ratio 0.9515
result/io_traces.ns453.oracleGeneral.zst LHD cache size     3738, 2600000 req, miss ratio 0.6072, byte miss ratio 0.6072
result/io_traces.ns453.oracleGeneral.zst LHD cache size     7477, 2600000 req, miss ratio 0.4633, byte miss ratio 0.4633
result/io_traces.ns453.oracleGeneral.zst LHD cache size    14954, 2600000 req, miss ratio 0.3330, byte miss ratio 0.3330
result/io_traces.ns453.oracleGeneral.zst LHD cache size    29908, 2600000 req, miss ratio 0.1116, byte miss ratio 0.1116
result/io_traces.ns453.oracleGeneral.zst LIRS cache size       37, 2600000 req, miss ratio 0.9864, byte miss ratio 0.9864
result/io_traces.ns453.oracleGeneral.zst LIRS cache size      112, 2600000 req, miss ratio 0.9732, byte miss ratio 0.9732
result/io_traces.ns453.oracleGeneral.zst LIRS cache size      373, 2600000 req, miss ratio 0.9492, byte miss ratio 0.9492
result/io_traces.ns453.oracleGeneral.zst LIRS cache size     1121, 2600000 req, miss ratio 0.8261, byte miss ratio 0.8261
result/io_traces.ns453.oracleGeneral.zst LIRS cache size     3738, 2600000 req, miss ratio 0.4777, byte miss ratio 0.4777
result/io_traces.ns453.oracleGeneral.zst LIRS cache size     7477, 2600000 req, miss ratio 0.4303, byte miss ratio 0.4303
result/io_traces.ns453.oracleGeneral.zst LIRS cache size    14954, 2600000 req, miss ratio 0.3283, byte miss ratio 0.3283
result/io_traces.ns453.oracleGeneral.zst LIRS cache size    29908, 2600000 req, miss ratio 0.1184, byte miss ratio 0.1184
result/io_traces.ns453.oracleGeneral.zst clock2 cache size       37, 2600000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns453.oracleGeneral.zst clock2 cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst clock2 cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst clock2 cache size     1121, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst clock2 cache size     3738, 2600000 req, miss ratio 0.6706, byte miss ratio 0.6706
result/io_traces.ns453.oracleGeneral.zst clock2 cache size     7477, 2600000 req, miss ratio 0.4845, byte miss ratio 0.4845
result/io_traces.ns453.oracleGeneral.zst clock2 cache size    14954, 2600000 req, miss ratio 0.3631, byte miss ratio 0.3631
result/io_traces.ns453.oracleGeneral.zst clock2 cache size    29908, 2600000 req, miss ratio 0.1195, byte miss ratio 0.1195
result/io_traces.ns453.oracleGeneral.zst Clock cache size       37, 2600000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns453.oracleGeneral.zst Clock cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst Clock cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst Clock cache size     1121, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst Clock cache size     3738, 2600000 req, miss ratio 0.6819, byte miss ratio 0.6819
result/io_traces.ns453.oracleGeneral.zst Clock cache size     7477, 2600000 req, miss ratio 0.4963, byte miss ratio 0.4963
result/io_traces.ns453.oracleGeneral.zst Clock cache size    14954, 2600000 req, miss ratio 0.3584, byte miss ratio 0.3584
result/io_traces.ns453.oracleGeneral.zst Clock cache size    29908, 2600000 req, miss ratio 0.1154, byte miss ratio 0.1154
result/io_traces.ns453.oracleGeneral.zst FIFO cache size       37, 2600000 req, miss ratio 1.0000, byte miss ratio 1.0000
