result/io_traces.ns460.oracleGeneral.zst LRU cache size     2088, 19000000 req, miss ratio 0.3790, byte miss ratio 0.3790
result/io_traces.ns460.oracleGeneral.zst LRU cache size     6266, 19000000 req, miss ratio 0.2874, byte miss ratio 0.2874
result/io_traces.ns460.oracleGeneral.zst LRU cache size    20886, 19000000 req, miss ratio 0.2151, byte miss ratio 0.2151
result/io_traces.ns460.oracleGeneral.zst LRU cache size    62660, 19000000 req, miss ratio 0.1613, byte miss ratio 0.1613
result/io_traces.ns460.oracleGeneral.zst LRU cache size   208867, 19000000 req, miss ratio 0.1226, byte miss ratio 0.1226
result/io_traces.ns460.oracleGeneral.zst LRU cache size   417735, 19000000 req, miss ratio 0.1168, byte miss ratio 0.1168
result/io_traces.ns460.oracleGeneral.zst LRU cache size   835471, 19000000 req, miss ratio 0.1156, byte miss ratio 0.1156
result/io_traces.ns460.oracleGeneral.zst LRU cache size  1670943, 19000000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns460.oracleGeneral.zst FIFO cache size     2088, 19000000 req, miss ratio 0.4629, byte miss ratio 0.4629
result/io_traces.ns460.oracleGeneral.zst FIFO cache size     6266, 19000000 req, miss ratio 0.3344, byte miss ratio 0.3344
result/io_traces.ns460.oracleGeneral.zst FIFO cache size    20886, 19000000 req, miss ratio 0.2334, byte miss ratio 0.2334
result/io_traces.ns460.oracleGeneral.zst FIFO cache size    62660, 19000000 req, miss ratio 0.1657, byte miss ratio 0.1657
result/io_traces.ns460.oracleGeneral.zst FIFO cache size   208867, 19000000 req, miss ratio 0.1344, byte miss ratio 0.1344
result/io_traces.ns460.oracleGeneral.zst FIFO cache size   417735, 19000000 req, miss ratio 0.1248, byte miss ratio 0.1248
result/io_traces.ns460.oracleGeneral.zst FIFO cache size   835471, 19000000 req, miss ratio 0.1196, byte miss ratio 0.1196
result/io_traces.ns460.oracleGeneral.zst FIFO cache size  1670943, 19000000 req, miss ratio 0.1119, byte miss ratio 0.1119
result/io_traces.ns460.oracleGeneral.zst clock2 cache size     2088, 19000000 req, miss ratio 0.3315, byte miss ratio 0.3315
result/io_traces.ns460.oracleGeneral.zst clock2 cache size     6266, 19000000 req, miss ratio 0.2895, byte miss ratio 0.2895
result/io_traces.ns460.oracleGeneral.zst clock2 cache size    20886, 19000000 req, miss ratio 0.2271, byte miss ratio 0.2271
result/io_traces.ns460.oracleGeneral.zst clock2 cache size    62660, 19000000 req, miss ratio 0.1749, byte miss ratio 0.1749
result/io_traces.ns460.oracleGeneral.zst clock2 cache size   208867, 19000000 req, miss ratio 0.1263, byte miss ratio 0.1263
result/io_traces.ns460.oracleGeneral.zst clock2 cache size   417735, 19000000 req, miss ratio 0.1176, byte miss ratio 0.1176
result/io_traces.ns460.oracleGeneral.zst clock2 cache size   835471, 19000000 req, miss ratio 0.1157, byte miss ratio 0.1157
result/io_traces.ns460.oracleGeneral.zst clock2 cache size  1670943, 19000000 req, miss ratio 0.1103, byte miss ratio 0.1103
result/io_traces.ns460.oracleGeneral.zst ARC cache size     2088, 19000000 req, miss ratio 0.3125, byte miss ratio 0.3125
result/io_traces.ns460.oracleGeneral.zst ARC cache size     6266, 19000000 req, miss ratio 0.2842, byte miss ratio 0.2842
result/io_traces.ns460.oracleGeneral.zst ARC cache size    20886, 19000000 req, miss ratio 0.2179, byte miss ratio 0.2179
result/io_traces.ns460.oracleGeneral.zst ARC cache size    62660, 19000000 req, miss ratio 0.1634, byte miss ratio 0.1634
result/io_traces.ns460.oracleGeneral.zst ARC cache size   208867, 19000000 req, miss ratio 0.1243, byte miss ratio 0.1243
result/io_traces.ns460.oracleGeneral.zst ARC cache size   417735, 19000000 req, miss ratio 0.1194, byte miss ratio 0.1194
result/io_traces.ns460.oracleGeneral.zst ARC cache size   835471, 19000000 req, miss ratio 0.1194, byte miss ratio 0.1194
result/io_traces.ns460.oracleGeneral.zst ARC cache size  1670943, 19000000 req, miss ratio 0.1103, byte miss ratio 0.1103
result/io_traces.ns460.oracleGeneral.zst Cacheus cache size     2088, 19000000 req, miss ratio 0.3320, byte miss ratio 0.3320
